# TII open-data tables reachable at openapi.tii.org.tw/TIIOpenData/API/CSV_EXPORT?TableID=<id>
# Discovered 2026-09-05 by scripts/discover_opendata_catalogue.py (decisions 4.14).
# TableIDs cannot be guessed (I17 and I172 both answer 'table not find!'); they
# come only from a data.gov.tw dataset's resource url. FIRM-LEVEL tables here are
# business volume only (公司別 = by company: premiums, contracts). Nothing on this
# host carries firm balance sheets or firm fund utilisation, which is why the
# ins-info dependency survives.
table_id	data_gov_nid	title_zh	firm_level
I02	104106	保險業資產占金融機構資產比率表_NEW	no
I03	13514	保險密度、滲透度及人壽保險投保率表(保險事業發展中心)	no
I04	104108	保險業家數及其分支機構統計表_NEW	no
I05	13515	保險業精算人員統計表(保險事業發展中心)	no
I06	13516	保險業從業人員統計表(保險事業發展中心)	no
I07	13517	保險業保費收入統計表(保險事業發展中心)	no
I08	104086	財產保險業保費收入統計表_NEW	no
I09	104111	財產保險業保險賠款統計表_NEW	no
I10	104113	人身保險業保費收入統計表_NEW	no
I11	104127	人身保險業保險給付統計表_NEW	no
I12	13518	人身保險業業務員登錄統計表(保險事業發展中心)	no
I13	13519	人身保險業保單繼續率統計表(保險事業發展中心)	no
I14	13520	保險業資產負債表(保險事業發展中心)	no
I15	13521	保險業損益表(保險事業發展中心)	no
I161	13522	財產保險業資金運用表(保險事業發展中心)	no
I171	14501	人身保險業資金運用表	no
I18	14502	保險業新種商品審核件數統計表	no
I19	104128	保險代理人業務統計表_NEW	no
I20	104130	保險經紀人業務統計表_NEW	no
I21	104132	保險公證人業務統計表_NEW	no
I22	14503	財產保險申訴案件統計表	no
I23	14504	人身保險申訴案件統計表	no
I24	104134	強制汽機車責任保險統計表_NEW	no
I26	14506	住宅地震保險統計表	no
I27	104137	住宅地震保險基金統計表_NEW	no
I28	129377	世界各國總保費收入前20名排行表	no
I29	129374	世界各國保險密度前20名排行表	no
I30	129382	世界各國保險滲透度前20名排行表	no
I31	14507	保險業安定基金累積提撥統計表	no
I32	113829	微型保險累計被保險人按性別、投保年齡統計表	no
I33	113830	微型保險累計被保險人按性別、身分別統計	no
I34	113831	微型保險累計被保險人按區域別統計	no
K01	14508	再保費統計表	no
K03	14514	新聞稿(財團法人保險事業發展中心)	no
K04	22382	最近五年壽險業個人險新契約件數	no
K05	22383	最近五年壽險業團體險新契約人數	no
K06	22384	最近五年壽險業個人險新契約保額	no
K07	22385	最近五年壽險業團體險新契約保額	no
K08	22386	最近五年壽險業個人險有效契約件數	no
K09	22387	最近五年壽險業團體險有效契約人數	no
K10	22388	最近五年壽險業個人險有效契約保額	no
K100	39583	最近三年壽險業個人健康保險總保費收入-公司別	yes
K101	44724	保險法規動態	no
K102	44725	保險法律與命令	no
K103	44726	保險行政規則	no
K104	44727	保險行政函釋	no
K105	44728	財團法人保險事業發展中心最新訊息	no
K106	122361	保險公司基本資料(含分公司)	no
K107	122363	保險輔助人基本資料	no
K11	22389	最近五年壽險業團體險有效契約保額	no
K12	24317	最近三年產險市場任意汽車保險賠款率統計- (曆年制)	no
K13	24318	最近三年產險市場健康保險賠款率統計- (曆年制)	no
K14	24319	最近三年產險市場傷害保險賠款率統計- (曆年制)	no
K15	24321	最近三年產險市場意外保險賠款率統計- (曆年制)	no
K16	24324	最近三年產險市場漁船保險賠款率統計- (承保年度制)	no
K17	24325	最近三年產險市場火災保險賠款率統計- (意外事故年度制)	no
K18	24327	最近三年產險市場航空保險賠款率統計- (承保年度制)	no
K19	24328	最近三年產險市場船體保險賠款率統計- (承保年度制)	no
K20	24329	最近三年產險市場貨物運輸保險賠款率統計- (承保年度制)	no
K21	24330	最近五年壽險業來源別總保費收入	no
K22	24331	最近五年壽險業個人險保險給付件數	no
K23	24332	最近五年壽險業個人險保險給付金額	no
K24	24334	最近五年壽險業團體險保險給付人數	no
K25	24335	最近五年壽險業團體險保險給付金額	no
K26	24336	最近五年壽險業團體險總保費收入	no
K27	24337	最近五年壽險業總保費收入(初年度、續年度保費)	no
K28	24338	最近五年投資型商品新契約危險保額(保單面額)	no
K29	24340	最近五年投資型商品有效契約保單帳戶價值	no
K30	24341	最近五年投資型商品有效契約件數	no
K31	24342	最近五年投資型商品新契約件數	no
K32	24345	最近五年壽險業個人險總保費收入	no
K33	24592	最近五年產險市場貨物運輸保險總保費收入統計	no
K34	24593	最近一年壽險業分支機構家數	no
K35	24594	最近三年產險任意汽車保險簽單保費收入統計-按公司	yes
