as_of,hedge_ratio,unchained_ratio,coverage_share,n_firms,anchor,firms
2018-06-30,0.64291,0.75992,0.1757,1,False,Nan Shan=0.760@w0.176
2018-09-30,0.63199,0.59322,0.4208,2,False,Cathay=0.483@w0.245;Nan Shan=0.747@w0.176
2018-12-31,0.5915,0.55522,0.4208,2,False,Cathay=0.427@w0.245;Nan Shan=0.734@w0.176
2019-03-31,0.55806,0.52382,0.4208,2,False,Cathay=0.406@w0.245;Nan Shan=0.688@w0.176
2019-06-30,0.54199,0.50874,0.4208,2,False,Cathay=0.413@w0.245;Nan Shan=0.642@w0.176
2019-09-30,0.53846,0.51413,0.5643,3,False,Cathay=0.420@w0.245;Fubon=0.540@w0.143;Nan Shan=0.625@w0.176
2019-12-31,0.52501,0.5013,0.5643,3,False,Cathay=0.427@w0.245;Fubon=0.499@w0.143;Nan Shan=0.607@w0.176
2020-03-31,0.52312,0.49948,0.5649,3,False,Cathay=0.435@w0.245;Fubon=0.500@w0.144;Nan Shan=0.589@w0.176
2020-06-30,0.52833,0.50446,0.5655,3,False,Cathay=0.458@w0.245;Fubon=0.502@w0.145;Nan Shan=0.571@w0.176
2020-09-30,0.52648,0.50269,0.5661,3,False,Cathay=0.461@w0.245;Fubon=0.503@w0.145;Nan Shan=0.561@w0.176
2020-12-31,0.51785,0.49445,0.5667,3,False,Cathay=0.456@w0.245;Fubon=0.491@w0.146;Nan Shan=0.550@w0.176
2021-03-31,0.51907,0.48114,0.6363,4,False,Cathay=0.473@w0.245;Fubon=0.479@w0.147;Nan Shan=0.541@w0.176;Taiwan Life=0.360@w0.068
2021-06-30,0.50721,0.47015,0.6375,4,False,Cathay=0.447@w0.245;Fubon=0.467@w0.149;Nan Shan=0.531@w0.176;Taiwan Life=0.400@w0.067
2021-09-30,0.49814,0.46174,0.6383,4,False,Cathay=0.419@w0.245;Fubon=0.486@w0.151;Nan Shan=0.524@w0.176;Taiwan Life=0.400@w0.067
2021-12-31,0.50643,0.46943,0.6392,4,False,Cathay=0.440@w0.245;Fubon=0.505@w0.153;Nan Shan=0.516@w0.176;Taiwan Life=0.370@w0.066
2022-03-31,0.50913,0.47193,0.638,4,False,Cathay=0.455@w0.245;Fubon=0.509@w0.152;Nan Shan=0.509@w0.176;Taiwan Life=0.350@w0.066
2022-06-30,0.49971,0.4632,0.637,4,False,Cathay=0.435@w0.245;Fubon=0.514@w0.151;Nan Shan=0.501@w0.176;Taiwan Life=0.350@w0.065
2022-09-30,0.49414,0.44261,0.486,3,False,Cathay=0.437@w0.245;Nan Shan=0.492@w0.176;Taiwan Life=0.330@w0.065
2022-12-31,0.45615,0.40858,0.4858,3,False,Cathay=0.385@w0.245;Nan Shan=0.482@w0.176;Taiwan Life=0.300@w0.065
2023-03-31,0.45217,0.40501,0.485,3,False,Cathay=0.380@w0.245;Nan Shan=0.479@w0.176;Taiwan Life=0.300@w0.064
2023-06-30,0.46762,0.41885,0.4844,3,False,Cathay=0.401@w0.245;Nan Shan=0.476@w0.176;Taiwan Life=0.330@w0.064
2023-09-30,0.48239,0.43342,0.5595,4,False,Cathay=0.422@w0.245;KGI=0.442@w0.075;Nan Shan=0.483@w0.176;Taiwan Life=0.330@w0.063
2023-12-31,0.4873,0.43782,0.5593,4,False,Cathay=0.432@w0.245;KGI=0.449@w0.075;Nan Shan=0.491@w0.176;Taiwan Life=0.300@w0.063
2024-03-31,0.47468,0.43126,0.3133,3,False,KGI=0.408@w0.075;Nan Shan=0.489@w0.175;Taiwan Life=0.300@w0.063
2024-06-30,0.45531,0.41366,0.3125,3,False,KGI=0.367@w0.076;Nan Shan=0.486@w0.174;Taiwan Life=0.270@w0.063
2024-12-31,0.40566,0.40086,0.2899,3,False,Fubon=0.413@w0.151;KGI=0.469@w0.076;Taiwan Life=0.290@w0.063
2025-03-31,0.39026,0.42389,0.5331,4,False,Cathay=0.469@w0.244;Fubon=0.447@w0.150;KGI=0.328@w0.076;Taiwan Life=0.310@w0.063
2025-06-30,0.34876,0.34463,0.2883,3,False,Fubon=0.379@w0.149;KGI=0.288@w0.076;Taiwan Life=0.330@w0.063
2025-09-30,0.34555,0.34297,0.3947,4,False,Fubon=0.312@w0.149;KGI=0.442@w0.075;Shin Kong=0.347@w0.107;Taiwan Life=0.290@w0.064
2025-12-31,0.32087,0.31848,0.3934,4,False,Fubon=0.245@w0.148;KGI=0.429@w0.075;Shin Kong=0.347@w0.107;Taiwan Life=0.310@w0.064
2026-03-31,0.28563,0.2835,0.3934,4,False,Fubon=0.214@w0.148;KGI=0.285@w0.075;Shin Kong=0.381@w0.107;Taiwan Life=0.280@w0.064
2026-06-30,0.26326,0.26326,0.6399,5,True,Cathay=0.266@w0.247;Fubon=0.239@w0.148;KGI=0.270@w0.075;Shin Kong=0.322@w0.107;Taiwan Life=0.200@w0.064
