as_of,hedge_ratio,unchained_ratio,coverage_share,n_firms,anchor,firms
2017-12-31,0.47377,0.50517,0.3521,2,False,Cathay=0.441@w0.243;Shin Kong=0.648@w0.109
2018-03-31,0.47247,0.50379,0.3457,2,False,Cathay=0.441@w0.235;Shin Kong=0.637@w0.111
2018-06-30,0.47409,0.50552,0.3475,2,False,Cathay=0.448@w0.235;Shin Kong=0.626@w0.112
2018-09-30,0.49319,0.52588,0.3505,2,False,Cathay=0.483@w0.237;Shin Kong=0.615@w0.114
2018-12-31,0.46439,0.49517,0.3504,2,False,Cathay=0.427@w0.236;Shin Kong=0.636@w0.114
2019-03-31,0.42465,0.44647,0.4187,3,False,Cathay=0.406@w0.236;Shin Kong=0.551@w0.113;Taiwan Life=0.415@w0.070
2019-06-30,0.40747,0.39155,0.3069,2,False,Cathay=0.386@w0.237;Taiwan Life=0.409@w0.070
2019-09-30,0.42823,0.4115,0.3067,2,False,Cathay=0.414@w0.237;Taiwan Life=0.403@w0.070
2019-12-31,0.43435,0.41738,0.3103,2,False,Cathay=0.427@w0.241;Taiwan Life=0.384@w0.069
2020-03-31,0.43642,0.41937,0.3097,2,False,Cathay=0.435@w0.241;Taiwan Life=0.366@w0.069
2020-06-30,0.44923,0.43168,0.3085,2,False,Cathay=0.449@w0.240;Taiwan Life=0.372@w0.069
2020-09-30,0.45079,0.43317,0.3123,2,False,Cathay=0.455@w0.244;Taiwan Life=0.354@w0.068
2020-12-31,0.46267,0.4559,0.4223,3,False,Cathay=0.461@w0.244;Shin Kong=0.488@w0.110;Taiwan Life=0.384@w0.068
2021-03-31,0.46991,0.46303,0.4254,3,False,Cathay=0.476@w0.247;Shin Kong=0.498@w0.111;Taiwan Life=0.360@w0.068
2021-06-30,0.4625,0.45573,0.4228,3,False,Cathay=0.447@w0.244;Shin Kong=0.508@w0.111;Taiwan Life=0.400@w0.067
2021-09-30,0.44878,0.44221,0.422,3,False,Cathay=0.419@w0.243;Shin Kong=0.518@w0.112;Taiwan Life=0.400@w0.067
2021-12-31,0.46061,0.45386,0.4186,3,False,Cathay=0.440@w0.242;Shin Kong=0.534@w0.110;Taiwan Life=0.370@w0.066
2022-03-31,0.46576,0.46576,0.4946,4,False,Cathay=0.455@w0.242;KGI=0.504@w0.075;Shin Kong=0.532@w0.111;Taiwan Life=0.350@w0.066
2022-06-30,0.45053,0.45053,0.4943,4,False,Cathay=0.435@w0.241;KGI=0.469@w0.075;Shin Kong=0.530@w0.112;Taiwan Life=0.350@w0.065
2022-09-30,0.44144,0.44144,0.4921,4,False,Cathay=0.422@w0.238;KGI=0.469@w0.075;Shin Kong=0.527@w0.113;Taiwan Life=0.330@w0.065
2022-12-31,0.41483,0.41483,0.4959,4,True,Cathay=0.381@w0.241;KGI=0.456@w0.075;Shin Kong=0.525@w0.114;Taiwan Life=0.300@w0.065
2023-03-31,0.41848,0.38516,0.3832,3,False,Cathay=0.380@w0.244;KGI=0.476@w0.075;Taiwan Life=0.300@w0.064
2023-06-30,0.43616,0.40143,0.3817,3,False,Cathay=0.401@w0.243;KGI=0.462@w0.075;Taiwan Life=0.330@w0.064
2023-09-30,0.44591,0.41041,0.381,3,False,Cathay=0.422@w0.242;KGI=0.442@w0.075;Taiwan Life=0.330@w0.063
2023-12-31,0.45561,0.41933,0.3837,3,False,Cathay=0.441@w0.245;KGI=0.449@w0.075;Taiwan Life=0.300@w0.063
2024-03-31,0.41376,0.38081,0.383,3,False,Cathay=0.393@w0.244;KGI=0.408@w0.075;Taiwan Life=0.300@w0.063
2024-06-30,0.38521,0.35454,0.3815,3,False,Cathay=0.373@w0.243;KGI=0.367@w0.076;Taiwan Life=0.270@w0.063
2024-09-30,0.44332,0.40802,0.3835,3,False,Cathay=0.435@w0.245;KGI=0.354@w0.076;Taiwan Life=0.370@w0.063
2024-12-31,0.46324,0.42636,0.3823,3,False,Cathay=0.449@w0.243;KGI=0.469@w0.076;Taiwan Life=0.290@w0.063
2025-03-31,0.44352,0.40821,0.3817,3,False,Cathay=0.469@w0.243;KGI=0.328@w0.076;Taiwan Life=0.270@w0.063
2025-06-30,0.40774,0.37528,0.3831,3,False,Cathay=0.414@w0.244;KGI=0.288@w0.076;Taiwan Life=0.330@w0.063
2025-09-30,0.43354,0.38782,0.49,4,False,Cathay=0.414@w0.246;KGI=0.442@w0.075;Shin Kong=0.347@w0.106;Taiwan Life=0.290@w0.064
2025-12-31,0.36068,0.32263,0.492,4,False,Cathay=0.283@w0.246;KGI=0.429@w0.075;Shin Kong=0.347@w0.107;Taiwan Life=0.310@w0.064
2026-03-31,0.32609,0.2917,0.476,4,False,Cathay=0.264@w0.247;KGI=0.285@w0.075;Shin Kong=0.381@w0.090;Taiwan Life=0.280@w0.064
2026-06-30,0.30032,0.26864,0.476,4,False,Cathay=0.266@w0.247;KGI=0.270@w0.075;Shin Kong=0.322@w0.090;Taiwan Life=0.200@w0.064
