entity_id,as_of,hedge_ratio,source
cathay_life,2018-12-31,0.427,deck
cathay_life,2019-03-31,0.406,deck
cathay_life,2019-12-31,0.427,deck
cathay_life,2020-03-31,0.4347,deck
cathay_life,2021-06-30,0.4473,deck
cathay_life,2021-09-30,0.4189,deck
cathay_life,2021-12-31,0.4402,deck
cathay_life,2022-03-31,0.455,deck
cathay_life,2022-06-30,0.4352,deck
cathay_life,2023-06-30,0.4012,deck
cathay_life,2023-09-30,0.4216,deck
cathay_life,2026-06-30,0.2664,deck
fubon_life,2019-09-30,0.54329,filing
fubon_life,2019-12-31,0.49891,filing
fubon_life,2020-09-30,0.49298,filing
fubon_life,2021-06-30,0.49195,filing
fubon_life,2021-12-31,0.50529,filing
fubon_life,2022-06-30,0.51545,filing
fubon_life,2024-12-31,0.41306,filing
fubon_life,2025-03-31,0.44922,filing
fubon_life,2025-12-31,0.24533,filing
fubon_life,2026-03-31,0.20714,filing
fubon_life,2026-06-30,0.22974,filing
kgi_life,2023-09-30,0.442,deck
kgi_life,2023-12-31,0.4488,deck
kgi_life,2024-03-31,0.408,deck
kgi_life,2024-06-30,0.3672,deck
kgi_life,2024-09-30,0.3536,deck
kgi_life,2024-12-31,0.469,deck
kgi_life,2025-03-31,0.3283,deck
kgi_life,2025-06-30,0.2881,deck
kgi_life,2025-09-30,0.4422,deck
kgi_life,2025-12-31,0.429,deck
kgi_life,2026-03-31,0.2847,deck
kgi_life,2026-06-30,0.2701,deck
nanshan_life,2023-06-30,0.47129,filing
nanshan_life,2023-12-31,0.49139,filing
nanshan_life,2024-06-30,0.50097,filing
