obs_quarter,vintage,basis,fx_reserve_balance_mn,total_assets_mn,owners_equity_mn,reserve_derived,source_url,source_doc
2020-01-01,2020-03-31,IFRS4,11659.007,6974780.932,479142.636,False,https://www.cathayholdings.com/holdings/-/media/6232a0ff9468443a85c2267e83919665.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2020年第1季合併財務報表 合併資產負債表/現金流量表
2020-04-01,2020-06-30,IFRS4,6600.772,7274177.45,617907.872,False,https://www.cathayholdings.com/holdings/-/media/077d2ab638f74defa16918800054b803.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2020年第2季合併財務報表 合併資產負債表/現金流量表
2020-07-01,2020-09-30,IFRS4,10212.568,7426199.421,648400.397,False,https://www.cathayholdings.com/holdings/-/media/271fbd7484b5468db8edd438c1b8b22a.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2020年第3季合併財務報表 合併資產負債表/現金流量表
2020-10-01,2020-12-31,IFRS4,14820.865,7675559.325,721126.481,False,https://www.cathayholdings.com/holdings/-/media/b6bdac8c71ab4bd9b21ddcaeed93d528.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2020年第4季合併財務報表 合併資產負債表/現金流量表
2021-01-01,2021-03-31,IFRS4,13522.294,7770033.509,673727.425,False,https://www.cathayholdings.com/holdings/-/media/5873b35c2e12409a8c1dcbf93dae0536.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2021年第1季合併財務報表 合併資產負債表/現金流量表
2021-04-01,2021-06-30,IFRS4,9216.26,7894917.401,736939.745,False,https://www.cathayholdings.com/holdings/-/media/8e7975a1f4da41958b68093b158468d7.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2021年第2季合併財務報表 合併資產負債表/現金流量表
2021-07-01,2021-09-30,IFRS4,8042.954,7931771.756,704353.376,False,https://www.cathayholdings.com/holdings/-/media/f89b4b2e4cb5480594f2b2bcf7a337e3.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2021年第3季合併財務報表 合併資產負債表/現金流量表
2021-10-01,2021-12-31,IFRS4,9053.726,8073160.819,742132.811,False,https://www.cathayholdings.com/holdings/-/media/81eb82d3e57840e5a26d0d7d5579ebfa.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2021年第4季合併財務報表 合併資產負債表/現金流量表
2022-01-01,2022-03-31,IFRS4,23044.65,8086799.414,594058.703,False,https://www.cathayholdings.com/holdings/-/media/c0a0b7cdd07a4397aeb02e3e724969ed.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2022年第1季合併財務報表 合併資產負債表/現金流量表
2022-04-01,2022-06-30,IFRS4,33020.868,7885085.051,315687.603,False,https://www.cathayholdings.com/holdings/-/media/308c581680af4706a3f56229e2516849.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2022年第2季合併財務報表 合併資產負債表/現金流量表
2022-07-01,2022-09-30,IFRS4,50551.042,8046202.265,175901.051,False,https://www.cathayholdings.com/holdings/-/media/bd9d2952a4fa4b59afe3627957253692.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2022年第3季合併財務報表 合併資產負債表/現金流量表
2022-10-01,2022-12-31,IFRS4,49503.457,8172429.981,465788.707,False,https://www.cathayholdings.com/holdings/-/media/94defaf2d3bc4feb902ff32978930e22.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2022年第4季合併財務報表 合併資產負債表/現金流量表
2023-01-01,2023-03-31,IFRS4,42166.921,8234527.941,536160.324,False,https://www.cathayholdings.com/holdings/-/media/676856ee7724477585cd8d0487e4b921.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2023年第1季合併財務報表 合併資產負債表/現金流量表
2023-04-01,2023-06-30,IFRS4,42166.921,8449237.289,568055.024,False,https://www.cathayholdings.com/holdings/-/media/af375b4cace241cfa5fd45acfbbd98c7.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2023年第2季合併財務報表 合併資產負債表/現金流量表
2023-07-01,2023-09-30,IFRS4,42166.921,8584175.77,527649.449,False,https://www.cathayholdings.com/holdings/-/media/c45a21af5afc4c02824ad5c762ce5f6d.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2023年第3季合併財務報表 合併資產負債表/現金流量表
2023-10-01,2023-12-31,IFRS4,20773.326,8536001.619,627875.005,False,https://www.cathayholdings.com/holdings/-/media/095c16ffbf124646af6f1e87220919b1.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2023年第4季合併財務報表 合併資產負債表/現金流量表
2024-01-01,2024-03-31,IFRS4,32562.052,8818306.895,687253.887,False,https://www.cathayholdings.com/holdings/-/media/191bb5d2da1f42149f8fd6c58b1ea206.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2024年第1季合併財務報表 合併資產負債表/現金流量表
2024-04-01,2024-06-30,IFRS4,38567.988,8942492.01,725023.872,False,https://www.cathayholdings.com/holdings/-/media/4723ace15f0c4a81a78fc291cd1a7e14.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2024年第2季合併財務報表 合併資產負債表/現金流量表
2024-07-01,2024-09-30,IFRS4,43563.371,8945712.536,755748.202,False,https://www.cathayholdings.com/holdings/-/media/3ccae35334a34407b1936bf1884feda3.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2024年第3季合併財務報表 合併資產負債表/現金流量表
2024-10-01,2024-12-31,IFRS4,27514.387,9094381.562,717673.398,False,https://www.cathayholdings.com/holdings/-/media/4f9564f2844c469883330233d65bdee6.xlsx?sc_lang=zh-tw,國泰人壽 (5846) 2024年第4季合併財務報表 合併資產負債表/現金流量表
