matrix_code,item,sub_item,obs_month,value,unit,vintage
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1992-01-01,24.95,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1992-01-01,25.05,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1992-01-01,25.035,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1992-01-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1992-02-01,25.09,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1992-02-01,25.19,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1992-02-01,25.16,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1992-02-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1992-03-01,25.48,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1992-03-01,25.58,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1992-03-01,25.508,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1992-03-01,6.75,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1992-04-01,25.18,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1992-04-01,25.28,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1992-04-01,25.222,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1992-04-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1992-05-01,24.84,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1992-05-01,24.94,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1992-05-01,24.9,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1992-05-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1992-06-01,24.6,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1992-06-01,24.7,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1992-06-01,24.65,TWD per USD,2026-08-27
