obs_date,reserve_assets_total,fx_reserves,reserve_securities,reserve_deposits,gold,other_fx_assets,fx_forward_short_total
2021-12-30,553984.0,548408.0,506266.0,42142.0,5576.0,47842.0,91905.0
2022-06-30,554156.0,548963.0,515406.0,33557.0,5193.0,42332.0,87859.0
2022-12-30,559956.0,554932.0,518624.0,36308.0,5024.0,37864.0,84976.0
2023-06-30,569797.0,564834.0,532233.0,32601.0,4963.0,32745.0,85825.0
2023-12-29,575597.0,570595.0,536555.0,34040.0,5002.0,34590.0,86808.0
2024-06-28,578057.0,573299.0,542171.0,31128.0,4758.0,30185.0,81426.0
2024-12-31,581411.0,576677.0,544033.0,32644.0,4734.0,28539.0,77061.0
2025-06-30,603745.0,598432.0,554686.0,43746.0,5313.0,33441.0,79231.0
2025-09-30,608028.0,602943.0,565802.0,37141.0,5085.0,31164.0,79409.0
2025-12-31,607488.0,602553.0,564196.0,38357.0,4935.0,30990.0,78843.0
2026-03-31,601720.0,596886.0,561270.0,35616.0,4834.0,27502.0,76087.0
