obs_quarter,n_firms_gross,n_firms_econ,gross_pct_aw,gross_pct_ew,gross_spread_pp,econ_pct_aw,econ_pct_ew,econ_spread_pp,cathay_gross,kgi_gross,fubon_econ_published,fubon_econ_restated,fubon_base,bar_carried_q,sector_fi_ntd_mn,implied_hedge_ntd_mn
2014-06-01,0,0,,,,,,,,,76.6,89.1,restated_ex_equity_wedge,0,,
2014-09-01,0,0,,,,,,,,,75.8,86.0,restated_ex_equity_wedge,0,,
2014-12-01,1,1,37.24,37.24,,61.24,61.24,,37.2,,76.3,88.5,restated_ex_equity_wedge,3,,
2015-03-01,1,1,37.24,37.24,,61.24,61.24,,37.2,,,,,4,,
2015-06-01,0,0,,,,,,,,,75.5,88.7,restated_ex_equity_wedge,0,,
2015-09-01,0,0,,,,,,,,,75.2,86.6,restated_ex_equity_wedge,0,,
2018-03-01,0,0,,,,,,,,,95.2,95.2,as_published,0,14898157.0,
2018-06-01,0,0,,,,,,,,,92.4,92.4,as_published,0,15644415.0,
2018-09-01,1,1,48.3,48.3,,78.3,78.3,,48.3,,92.7,92.7,as_published,1,16057948.0,7755988.9
2018-12-01,1,1,42.7,42.7,,72.7,72.7,,42.7,,87.7,87.7,as_published,0,16307423.0,6963269.6
2019-03-01,1,1,40.6,40.6,,70.6,70.6,,40.6,,85.3,85.3,as_published,0,16948340.0,6881026.0
2019-06-01,0,0,,,,,,,,,83.5,83.5,as_published,0,17385618.0,
2019-09-01,0,0,,,,,,,,,89.4,89.4,as_published,0,17717809.0,
2019-12-01,1,1,42.7,42.7,,72.7,72.7,,42.7,,88.8,88.8,as_published,0,17599714.0,7515077.9
2020-03-01,1,1,43.47,43.47,,74.47,74.47,,43.5,,86.6,86.6,as_published,0,17581555.0,7642702.0
2020-06-01,1,1,45.54,45.54,,76.54,76.54,,45.5,,86.3,86.3,as_published,1,18145080.0,8263269.4
2020-09-01,1,1,45.54,45.54,,76.54,76.54,,45.5,,,,,2,18250807.0,8311417.5
2020-12-01,1,1,46.15,46.15,,75.15,75.15,,46.1,,85.5,85.5,as_published,2,18550984.0,8561279.1
2021-03-01,1,1,47.57,47.57,,76.57,76.57,,47.6,,83.8,83.8,as_published,1,18675390.0,8883883.0
2021-06-01,1,1,44.73,44.73,,73.73,73.73,,44.7,,84.7,84.7,as_published,0,19095348.0,8541349.2
2021-09-01,1,1,41.89,41.89,,70.89,70.89,,41.9,,87.9,87.9,as_published,0,19393260.0,8123836.6
2021-12-01,1,1,44.02,44.02,,73.02,73.02,,44.0,,89.7,89.7,as_published,0,19876294.0,8749544.6
2022-03-01,1,1,45.5,45.5,,75.5,75.5,,45.5,,84.0,84.0,as_published,0,20097152.0,9144204.2
2022-06-01,1,1,43.52,43.52,,75.52,75.52,,43.5,,83.9,83.9,as_published,0,20231301.0,8804662.2
2022-09-01,1,1,43.52,43.52,,75.52,75.52,,43.5,,81.5,81.5,as_published,1,20783630.0,9045035.8
2022-12-01,1,1,38.08,38.08,,70.08,70.08,,38.1,,82.5,82.5,as_published,0,21187253.0,8068105.9
2023-03-01,1,1,37.95,37.95,,68.95,68.95,,38.0,,81.0,81.0,as_published,0,21294310.0,8081190.6
2023-06-01,1,1,40.12,40.12,,72.12,72.12,,40.1,,78.5,78.5,as_published,0,21659472.0,8689780.2
2023-09-01,2,2,42.64,43.18,2.0,74.64,75.18,2.0,42.2,44.2,76.3,76.3,as_published,0,22122340.0,9432846.1
2023-12-01,1,1,42.84,42.84,,74.84,74.84,,42.8,,87.8,87.8,as_published,1,21857675.0,9363828.0
2024-03-01,1,1,40.8,40.8,,72.8,72.8,,,40.8,75.7,75.7,as_published,0,22380340.0,9131178.7
2024-06-01,1,1,36.72,36.72,,68.72,68.72,,,36.7,76.4,76.4,as_published,0,22779663.0,8364692.3
2024-09-01,1,1,35.36,35.36,,67.36,67.36,,,35.4,80.6,80.6,as_published,0,22652919.0,8010072.2
2024-12-01,0,0,,,,,,,,,74.6,74.6,as_published,0,23025601.0,
2025-03-01,2,2,43.59,39.88,14.1,75.06,71.88,12.1,46.9,32.8,71.0,71.0,as_published,1,23280722.0,10148625.7
2025-06-01,1,1,28.81,28.81,,61.81,61.81,,,28.8,78.9,78.9,as_published,0,21663827.0,6241348.6
2025-09-01,1,1,44.22,44.22,,77.22,77.22,,,44.2,61.8,61.8,as_published,0,22075370.0,9761728.6
2025-12-01,1,1,42.9,42.9,,76.9,76.9,,,42.9,57.7,57.7,as_published,0,22767215.0,9767135.2
2026-03-01,2,2,21.89,23.51,9.9,45.84,48.21,14.5,,28.5,,,restated_ex_equity_wedge,0,22035669.0,4823946.1
2026-06-01,2,2,26.73,26.83,0.4,52.96,53.33,1.4,26.6,27.0,,,restated_ex_equity_wedge,0,,
