entity_id,as_of,basis,hedged_pct,fx_policy_pct,naked_pct,equity_pct,cs_ndf_pct_of_risk,fx_risk_pct,foreign_assets_ntd_bn,deck,deck_date,page,source,includes_proxy
cathay_life,2017-12-31,fx_risk_base,44.1,30.0,15.4,10.5,63.0,70.0,3500.0,288220180322M001.pdf,2018-03-22,23,text,False
cathay_life,2018-03-31,fx_risk_base,44.1,30.0,14.7,11.2,63.0,70.0,3500.0,288220180515M003.pdf,2018-05-15,25,text,False
cathay_life,2018-06-30,fx_risk_base,44.8,30.0,13.3,11.9,64.0,70.0,3680.0,288220180823M001.pdf,2018-08-23,26,text,False
cathay_life,2018-09-30,fx_risk_base,48.3,30.0,11.2,10.5,69.0,70.0,3800.0,288220181114M001.pdf,2018-11-14,26,text,False
cathay_life,2018-12-31,fx_risk_base,42.7,30.0,15.4,11.9,61.0,70.0,3850.0,288220190325M002.pdf,2019-03-25,25,text,False
cathay_life,2019-03-31,fx_risk_base,40.6,30.0,18.9,10.5,58.0,70.0,4000.0,288220190520M001.pdf,2019-05-20,26,text,False
cathay_life,2019-06-30,fx_risk_base,38.64,31.0,20.7,9.66,56.0,69.0,4120.0,288220190822M001.pdf,2019-08-22,26,text,False
cathay_life,2019-09-30,fx_risk_base,41.4,31.0,18.63,8.97,60.0,69.0,4200.0,288220191118M001.pdf,2019-11-18,26,text,False
cathay_life,2019-12-31,fx_risk_base,42.7,30.0,18.2,9.1,61.0,70.0,4240.0,288220200317M001.pdf,2020-03-17,25,text,False
cathay_life,2020-03-31,fx_risk_base,43.47,31.0,14.49,11.04,63.0,69.0,4230.0,288220200519M001.pdf,2020-05-19,26,text,False
cathay_life,2020-06-30,fx_risk_base,44.88,32.0,13.6,9.52,66.0,68.0,4350.0,288220201104M001.pdf,2020-11-04,30,text,False
cathay_life,2020-09-30,fx_risk_base,45.54,31.0,14.49,8.97,66.0,69.0,4450.0,288220201204M001.pdf,2020-12-04,30,text,False
cathay_life,2020-12-31,fx_risk_base,46.15,29.0,14.91,9.94,65.0,71.0,4530.0,288220210408M001.pdf,2021-04-08,29,text,False
cathay_life,2021-03-31,fx_risk_base,47.57,29.0,13.49,9.94,67.0,71.0,4610.0,288220210813M001.pdf,2021-08-13,30,text,False
cathay_life,2021-06-30,fx_risk_base,44.73,29.0,16.33,9.94,63.0,71.0,4660.0,288220210906M002.pdf,2021-09-06,30,text,False
cathay_life,2021-09-30,fx_risk_base,41.89,29.0,19.17,9.94,59.0,71.0,4720.0,288220220218M001.pdf,2022-02-18,26,text,False
cathay_life,2021-12-31,fx_risk_base,44.02,29.0,17.04,9.94,62.0,71.0,4820.0,288220220503M001.pdf,2022-05-03,29,text,False
cathay_life,2022-03-31,fx_risk_base,45.5,30.0,14.7,9.8,65.0,70.0,4870.0,288220220607M001.pdf,2022-06-07,30,text,False
cathay_life,2022-06-30,fx_risk_base,43.52,32.0,15.64,8.84,64.0,68.0,4880.0,288220220907M001.pdf,2022-09-07,30,text,False
cathay_life,2022-09-30,fx_risk_base,42.24,34.0,15.84,7.92,64.0,66.0,4950.0,288220221207M001.pdf,2022-12-07,30,text,False
cathay_life,2022-12-31,fx_risk_base,38.08,32.0,22.44,8.16,56.0,68.0,5110.0,288220230407M001.pdf,2023-04-07,29,text,False
cathay_life,2023-03-31,fx_risk_base,37.95,31.0,22.77,8.28,55.0,69.0,5190.0,288220230608M001.pdf,2023-06-08,30,text,False
cathay_life,2023-06-30,fx_risk_base,40.12,32.0,20.4,7.48,59.0,68.0,5260.0,288220231108M001.pdf,2023-11-08,30,text,False
cathay_life,2023-09-30,fx_risk_base,42.16,32.0,18.36,7.48,62.0,68.0,5360.0,288220231206M001.pdf,2023-12-06,30,text,False
cathay_life,2023-12-31,fx_risk_base,44.1,30.0,18.2,7.7,63.0,70.0,5360.0,288220241203M001.pdf,2024-12-03,52,text,False
cathay_life,2024-03-31,fx_risk_base,39.33,31.0,22.77,6.9,57.0,69.0,5470.0,2024-05-24,2024-05-24,26,transcribed,False
cathay_life,2024-06-30,fx_risk_base,37.26,31.0,25.53,6.21,54.0,69.0,5530.0,2024-08-23,2024-08-23,28,transcribed,False
cathay_life,2024-09-30,fx_risk_base,43.47,31.0,20.01,5.52,63.0,69.0,5540.0,2024-11-27,2024-11-27,26,transcribed,False
cathay_life,2024-12-31,fx_risk_base,44.85,31.0,17.25,6.9,65.0,69.0,5600.0,2025-03-14,2025-03-14,27,transcribed,False
cathay_life,2025-03-31,fx_risk_base,46.92,32.0,14.96,6.12,69.0,68.0,5650.0,2025-05-23,2025-05-23,26,transcribed,False
cathay_life,2025-06-30,fx_risk_base,41.4,31.0,21.39,6.21,60.0,69.0,5290.0,288220251118M002.pdf,2025-11-18,30,text,False
cathay_life,2025-09-30,fx_risk_base,41.4,31.0,21.39,6.21,60.0,69.0,5420.0,288220260312M002.pdf,2026-03-12,65,text,False
cathay_life,2025-12-31,fx_risk_base,28.29,31.0,34.5,6.21,41.0,69.0,5610.0,2026-03-27,2026-03-27,23,transcribed,False
cathay_life,2026-01-31,fx_risk_base,26.64,26.0,45.14,2.22,36.0,74.0,5410.0,288220260506M001.pdf,2026-05-06,30,text,False
cathay_life,2026-03-31,fx_risk_base,26.42,26.0,45.14,2.22,35.7,74.0,5440.0,2026-05-29,2026-05-29,25,transcribed,False
cathay_life,2026-06-30,fx_risk_base,26.64,26.0,44.4,2.96,36.0,74.0,5540.0,288220260828M001.pdf,2026-08-28,26,text,False
kgi_life,2022-03-31,fx_risk_base,50.37,31.0,9.66,8.97,73.0,69.0,,288320220601M001.pdf,2022-06-01,22,text,False
kgi_life,2022-06-30,fx_risk_base,46.92,32.0,12.92,8.16,69.0,68.0,,288320220826M001.pdf,2022-08-26,26,text,False
kgi_life,2022-09-30,fx_risk_base,46.9,33.0,12.73,7.37,70.0,67.0,,288320230317M001.pdf,2023-03-17,22,text,False
kgi_life,2022-12-31,fx_risk_base,45.56,32.0,15.64,6.8,67.0,68.0,,288320230323M001.pdf,2023-03-23,22,text,False
kgi_life,2023-03-31,fx_risk_base,47.6,32.0,13.6,6.8,70.0,68.0,,288320230531M002.pdf,2023-05-31,20,text,False
kgi_life,2023-06-30,fx_risk_base,46.24,32.0,14.96,6.8,68.0,68.0,,288320230830M001.pdf,2023-08-30,20,text,False
kgi_life,2023-09-30,fx_risk_base,44.2,32.0,17.68,6.12,65.0,68.0,,288320231128M001.pdf,2023-11-28,20,text,False
kgi_life,2023-12-31,fx_risk_base,44.88,32.0,17.68,5.44,66.0,68.0,,288320240327M001.pdf,2024-03-27,21,text,False
kgi_life,2024-03-31,fx_risk_base,40.8,32.0,21.08,6.12,60.0,68.0,,288320240528M001.pdf,2024-05-28,18,text,False
kgi_life,2024-06-30,fx_risk_base,36.72,32.0,25.84,5.44,54.0,68.0,,288320240902M001.pdf,2024-09-02,16,text,False
kgi_life,2024-09-30,fx_risk_base,35.36,32.0,27.2,5.44,52.0,68.0,,288320241128M001.pdf,2024-11-28,16,text,False
kgi_life,2024-12-31,fx_risk_base,46.9,33.0,14.07,6.03,70.0,67.0,,288320250326M001.pdf,2025-03-26,20,text,False
