series_id,series_key,entity_id,obs_date,freq,value,unit,definition_version,basis,basis_note,source_url,source_doc,vintage
1,economic_hedge_ratio,fubon_life,2014-04-01,Q,0.766,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/128/CH/1H2014_Fubon presentation_CH_4NNDNF6rN2nh.pdf,"富邦金控 results deck, Fubon Life hedging page",2014-06-30
1,economic_hedge_ratio,fubon_life,2014-07-01,Q,0.758,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/136/CH/3Q14_presentation_chi_dPrjTnKDfyNF.pdf,"富邦金控 results deck, Fubon Life hedging page",2014-09-30
1,economic_hedge_ratio,fubon_life,2014-10-01,Q,0.763,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/144/CH/Presentation - 4Q14 - Chi_Lcp3JQEbaJc2.pdf,"富邦金控 results deck, Fubon Life hedging page",2014-12-31
1,economic_hedge_ratio,fubon_life,2015-04-01,Q,0.755,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/152/CH/Presentation - 1H15 - Chi_hAcJfLBtJkCM.pdf,"富邦金控 results deck, Fubon Life hedging page",2015-06-30
1,economic_hedge_ratio,fubon_life,2015-07-01,Q,0.752,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/165/CH/Presentation- 3Q15- Chi_unqBqLmcMP6p.pdf,"富邦金控 results deck, Fubon Life hedging page",2015-09-30
1,economic_hedge_ratio,fubon_life,2018-01-01,Q,0.952,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/226/CH/Presentation_1Q18_CH_A46njjCc7FkT.pdf,"富邦金控 results deck, Fubon Life hedging page",2018-03-31
1,economic_hedge_ratio,fubon_life,2018-04-01,Q,0.924,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/233/CH/Presentation_2Q18_CH_pjrnETCENDcp.pdf,"富邦金控 results deck, Fubon Life hedging page",2018-06-30
1,economic_hedge_ratio,fubon_life,2018-07-01,Q,0.927,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/237/CH/Presentation_3Q18_CH_pfUi3769mEgI.pdf,"富邦金控 results deck, Fubon Life hedging page",2018-09-30
1,economic_hedge_ratio,fubon_life,2018-10-01,Q,0.877,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/243/CH/Presentation_2018_CH_UI34HHMB75JD.pdf,"富邦金控 results deck, Fubon Life hedging page",2018-12-31
1,economic_hedge_ratio,fubon_life,2019-01-01,Q,0.853,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/248/CH/Presentation_1Q19_CH_mF5ktiljcJgI.pdf,"富邦金控 results deck, Fubon Life hedging page",2019-03-31
1,economic_hedge_ratio,fubon_life,2019-04-01,Q,0.835,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/257/CH/Presentation_2Q19_CH_affFFgH6JAQY.pdf,"富邦金控 results deck, Fubon Life hedging page",2019-06-30
1,economic_hedge_ratio,fubon_life,2019-07-01,Q,0.894,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/263/CH/Presentation_3Q19_CH_jpbbuDUHBjbk.pdf,"富邦金控 results deck, Fubon Life hedging page",2019-09-30
1,economic_hedge_ratio,fubon_life,2019-10-01,Q,0.888,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/267/CH/Presentation_4Q19_CH_v2_fKtjfA2AanlF.pdf,"富邦金控 results deck, Fubon Life hedging page",2019-12-31
1,economic_hedge_ratio,fubon_life,2020-01-01,Q,0.866,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/270/CH/Presentation_1Q20_EN_v2_g631C3Ll3IFj.pdf,"富邦金控 results deck, Fubon Life hedging page",2020-03-31
1,economic_hedge_ratio,fubon_life,2020-04-01,Q,0.863,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/274/CH/Presentation_2Q20_CH_BAnBF77MrAiB.pdf,"富邦金控 results deck, Fubon Life hedging page",2020-06-30
1,economic_hedge_ratio,fubon_life,2020-10-01,Q,0.855,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/290/CH/20210331133121-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2020-12-31
1,economic_hedge_ratio,fubon_life,2021-01-01,Q,0.838,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/295/CH/20210520134858-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2021-03-31
1,economic_hedge_ratio,fubon_life,2021-04-01,Q,0.847,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/309/CH/20210820134119-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2021-06-30
1,economic_hedge_ratio,fubon_life,2021-07-01,Q,0.879,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/321/CH/20211201175441-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2021-09-30
1,economic_hedge_ratio,fubon_life,2021-10-01,Q,0.897,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/327/CH/20220311133137-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2021-12-31
1,economic_hedge_ratio,fubon_life,2022-01-01,Q,0.84,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/349/CH/20220609083940-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2022-03-31
1,economic_hedge_ratio,fubon_life,2022-04-01,Q,0.839,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/361/CH/20220819133014-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2022-06-30
1,economic_hedge_ratio,fubon_life,2022-07-01,Q,0.815,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/371/CH/20221125133936-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2022-09-30
1,economic_hedge_ratio,fubon_life,2022-10-01,Q,0.825,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/389/CH/20230316133024-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2022-12-31
1,economic_hedge_ratio,fubon_life,2023-01-01,Q,0.81,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/397/CH/20230518133024-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2023-03-31
1,economic_hedge_ratio,fubon_life,2023-04-01,Q,0.785,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/409/CH/20230824133041-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2023-06-30
1,economic_hedge_ratio,fubon_life,2023-07-01,Q,0.763,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/422/CH/20231117133004-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2023-09-30
1,economic_hedge_ratio,fubon_life,2023-10-01,Q,0.878,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/438/CH/20240322133027-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2023-12-31
1,economic_hedge_ratio,fubon_life,2024-01-01,Q,0.757,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/452/CH/20240523131939-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2024-03-31
1,economic_hedge_ratio,fubon_life,2024-04-01,Q,0.764,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/471/CH/20240829133446-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2024-06-30
1,economic_hedge_ratio,fubon_life,2024-07-01,Q,0.806,ratio,deck_disclosed,IFRS4,"the deck's own wedge 外匯交換、無本金遠期外匯、外幣保單 — derivatives plus FX-policy backing as a share of FX assets; the wedge names its contents, so the base is stated, not inferred (decisions 4.2)",https://www.irpro.co/2881/events/480/CH/20250311094155-1.pdf,"富邦金控 results deck, Fubon Life hedging page",2024-09-30
