series_id,series_key,obs_date,freq,value,unit,definition_version,basis,basis_note,source_url,source_doc,vintage
4,reg_hedge_ratio,2024-04-01,M,0.66,ratio,v1,press_reported,,https://news.cnyes.com/news/id/5577871,鉅亨網: 壽險業4月稅前賺472億元攀9個月新高 保險局揭2原因助攻 | 鉅亨網 - 台股新聞,2024-05-28
4,reg_hedge_ratio,2024-12-01,M,0.6639,ratio,v1,press_reported,,https://money.udn.com/money/story/5613/9292493,經濟日報: 壽險業2025年底外價金飆新高　避險比率降至50%新低 | 金融脈動 | 金融 | 經濟日報,2026-01-27
2,reg_denominator,2024-12-01,M,15600000.0,NT$ mn,v1,press_reported,,https://money.udn.com/money/story/5613/9292493,經濟日報: 壽險業2025年底外價金飆新高　避險比率降至50%新低 | 金融脈動 | 金融 | 經濟日報,2026-01-27
5,hedge_principal,2024-12-01,M,10356840.0,NT$ mn,v1,estimated,regulatory denominator x ratio (single scope; denominator published,https://money.udn.com/money/story/5613/9292493,經濟日報: 壽險業2025年底外價金飆新高　避險比率降至50%新低 | 金融脈動 | 金融 | 經濟日報,2026-01-27
5,gross_hedge_ratio,2024-12-01,M,0.449797,ratio,v1,estimated,"hedge principal (regulatory scope) / FSC 國外投資 23,025,601 (ib_indicators) — the cross-scope construct sell-side quotes",https://money.udn.com/money/story/5613/9292493,經濟日報: 壽險業2025年底外價金飆新高　避險比率降至50%新低 | 金融脈動 | 金融 | 經濟日報,2026-01-27
4,reg_hedge_ratio,2025-04-01,M,0.6307,ratio,v1,press_reported,,https://news.cnyes.com/news/id/6000672,鉅亨網: 台幣強升！壽險業外匯準備金沖抵1196億元創高 新增3家申請新制 | 鉅亨網 - 台股新聞,2025-05-29
4,reg_hedge_ratio,2025-08-01,M,0.6225,ratio,v1,press_reported,,https://money.udn.com/money/story/5613/9039413,經濟日報: 能扛住匯損了！外匯準備金攀史上巔峰 壽險大降避險比率 | 金融脈動 | 金融 | 經濟日報,2025-09-30
2,reg_denominator,2025-09-01,M,15100000.0,NT$ mn,v1,press_reported,,https://news.cnyes.com/news/id/6260090,鉅亨網: 〈財委會質詢〉壽險今年避險成本估4000億元！彭金隆：從資產、負債、淨值強化體質 | 鉅亨網 - 台股新聞,2025-12-03
4,reg_hedge_ratio,2025-10-01,M,0.5855,ratio,v1,press_reported,,https://money.udn.com/money/story/5613/9167271,經濟日報: 台幣回貶加外價金助陣  壽險業10月避險比率降至58.55%的5年新低 | 金融脈動 | 金融 | 經濟日報,2025-11-27
2,reg_denominator,2025-10-01,M,15200000.0,NT$ mn,v1,press_reported,,https://money.udn.com/money/story/5613/9167271,經濟日報: 台幣回貶加外價金助陣  壽險業10月避險比率降至58.55%的5年新低 | 金融脈動 | 金融 | 經濟日報,2025-11-27
5,hedge_principal,2025-10-01,M,8899600.0,NT$ mn,v1,estimated,regulatory denominator x ratio (single scope; denominator published,https://money.udn.com/money/story/5613/9167271,經濟日報: 台幣回貶加外價金助陣  壽險業10月避險比率降至58.55%的5年新低 | 金融脈動 | 金融 | 經濟日報,2025-11-27
5,gross_hedge_ratio,2025-10-01,M,0.398949,ratio,v1,estimated,"hedge principal (regulatory scope) / FSC 國外投資 22,307,639 (ib_indicators) — the cross-scope construct sell-side quotes",https://money.udn.com/money/story/5613/9167271,經濟日報: 台幣回貶加外價金助陣  壽險業10月避險比率降至58.55%的5年新低 | 金融脈動 | 金融 | 經濟日報,2025-12-23
4,reg_hedge_ratio,2025-12-01,M,0.5023,ratio,v1,press_reported,,https://news.cnyes.com/news/id/6323663,鉅亨網: 告別高成本工具！壽險業去年底避險比率掉到50% 外價金6137億元續創新高 | 鉅亨網 - 台股新聞,2026-01-27
2,net_open_fx,2025-12-01,M,7700000.0,NT$ mn,v1,press_reported,,https://news.cnyes.com/news/id/6323663,鉅亨網: 告別高成本工具！壽險業去年底避險比率掉到50% 外價金6137億元續創新高 | 鉅亨網 - 台股新聞,2026-01-27
2,reg_denominator,2025-12-01,M,15400000.0,NT$ mn,v1,press_reported,,https://news.cnyes.com/news/id/6323663,鉅亨網: 告別高成本工具！壽險業去年底避險比率掉到50% 外價金6137億元續創新高 | 鉅亨網 - 台股新聞,2026-01-27
5,hedge_principal,2025-12-01,M,7735420.0,NT$ mn,v1,estimated,regulatory denominator x ratio (single scope; denominator published,https://news.cnyes.com/news/id/6323663,鉅亨網: 告別高成本工具！壽險業去年底避險比率掉到50% 外價金6137億元續創新高 | 鉅亨網 - 台股新聞,2026-01-27
5,gross_hedge_ratio,2025-12-01,M,0.339761,ratio,v1,estimated,"hedge principal (regulatory scope) / FSC 國外投資 22,767,215 (ib_indicators) — the cross-scope construct sell-side quotes",https://news.cnyes.com/news/id/6323663,鉅亨網: 告別高成本工具！壽險業去年底避險比率掉到50% 外價金6137億元續創新高 | 鉅亨網 - 台股新聞,2026-03-26
4,reg_hedge_ratio,2026-01-01,M,0.47,ratio,v2,press_reported,,https://money.udn.com/money/story/5613/9371869,經濟日報: 壽險業1月避險比率首見4字頭創新低 | 金融脈動 | 金融 | 經濟日報,2026-03-10
4,reg_hedge_ratio,2026-02-01,M,0.451,ratio,v2,press_reported,,https://money.udn.com/money/story/5613/9414972,經濟日報: 壽險避險比率45.1%新低 金管會：逾9000億可抵禦風險 | 金融脈動 | 金融 | 經濟日報,2026-03-31
3,buffer_total,2026-02-01,M,915600.0,NT$ mn,v2,press_reported,,https://money.udn.com/money/story/5613/9414972,經濟日報: 壽險避險比率45.1%新低 金管會：逾9000億可抵禦風險 | 金融脈動 | 金融 | 經濟日報,2026-03-31
4,reg_hedge_ratio,2026-03-01,M,0.4515,ratio,v2,press_reported,,https://news.cnyes.com/news/id/6435712,鉅亨網: 壽險業外價金水庫衝9111億元 金管會：可抵禦台幣升值10.6%衝擊 | 鉅亨網 - 台股新聞,2026-04-28
4,reg_hedge_ratio_effective,2026-03-01,M,0.5575,ratio,v2,press_reported,Bureau's own effective ratio including buffers (briefing memo),https://news.cnyes.com/news/id/6435712,鉅亨網: 壽險業外價金水庫衝9111億元 金管會：可抵禦台幣升值10.6%衝擊 | 鉅亨網 - 台股新聞,2026-04-28
2,net_open_fx,2026-03-01,M,8607300.0,NT$ mn,v2,press_reported,,https://news.cnyes.com/news/id/6435712,鉅亨網: 壽險業外價金水庫衝9111億元 金管會：可抵禦台幣升值10.6%衝擊 | 鉅亨網 - 台股新聞,2026-04-28
3,buffer_total,2026-03-01,M,911100.0,NT$ mn,v2,press_reported,,https://news.cnyes.com/news/id/6435712,鉅亨網: 壽險業外價金水庫衝9111億元 金管會：可抵禦台幣升值10.6%衝擊 | 鉅亨網 - 台股新聞,2026-04-28
3,absorbable_appreciation,2026-03-01,M,10.6,pct,v2,press_reported,,https://news.cnyes.com/news/id/6435712,鉅亨網: 壽險業外價金水庫衝9111億元 金管會：可抵禦台幣升值10.6%衝擊 | 鉅亨網 - 台股新聞,2026-04-28
2,reg_denominator,2026-03-01,M,15692433.910665,NT$ mn,v2_identity,estimated,"net_fx_exposure / (1 - ratio); both press_reported, same scope",https://news.cnyes.com/news/id/6435712,鉅亨網: 壽險業外價金水庫衝9111億元 金管會：可抵禦台幣升值10.6%衝擊 | 鉅亨網 - 台股新聞,2026-04-28
5,hedge_principal,2026-03-01,M,7085133.910665,NT$ mn,v2_identity,estimated,regulatory denominator x ratio (single scope; denominator recovered by identity,https://news.cnyes.com/news/id/6435712,鉅亨網: 壽險業外價金水庫衝9111億元 金管會：可抵禦台幣升值10.6%衝擊 | 鉅亨網 - 台股新聞,2026-04-28
5,gross_hedge_ratio,2026-03-01,M,0.32153,ratio,v2_identity,estimated,"hedge principal (regulatory scope) / FSC 國外投資 22,035,669 (ib_indicators) — the cross-scope construct sell-side quotes",https://news.cnyes.com/news/id/6435712,鉅亨網: 壽險業外價金水庫衝9111億元 金管會：可抵禦台幣升值10.6%衝擊 | 鉅亨網 - 台股新聞,2026-07-17
4,reg_hedge_ratio,2026-04-01,M,0.4431,ratio,v2,press_reported,,https://news.cts.com.tw/cna/money/202605/202605283037334.html,中央社（華視轉載）: 金管會：壽險外匯準備金　可抵禦新台幣升值3.51元 - 財經 - 華視新聞網,2026-05-28
4,reg_hedge_ratio_effective,2026-04-01,M,0.5541,ratio,v2,press_reported,Bureau's own effective ratio including buffers (briefing memo),https://news.cts.com.tw/cna/money/202605/202605283037334.html,中央社（華視轉載）: 金管會：壽險外匯準備金　可抵禦新台幣升值3.51元 - 財經 - 華視新聞網,2026-05-28
2,net_open_fx,2026-04-01,M,8702400.0,NT$ mn,v2,press_reported,,https://news.cts.com.tw/cna/money/202605/202605283037334.html,中央社（華視轉載）: 金管會：壽險外匯準備金　可抵禦新台幣升值3.51元 - 財經 - 華視新聞網,2026-05-28
3,buffer_total,2026-04-01,M,969800.0,NT$ mn,v2,press_reported,,https://news.cts.com.tw/cna/money/202605/202605283037334.html,中央社（華視轉載）: 金管會：壽險外匯準備金　可抵禦新台幣升值3.51元 - 財經 - 華視新聞網,2026-05-28
3,absorbable_appreciation,2026-04-01,M,11.1,pct,v2,press_reported,,https://news.cts.com.tw/cna/money/202605/202605283037334.html,中央社（華視轉載）: 金管會：壽險外匯準備金　可抵禦新台幣升值3.51元 - 財經 - 華視新聞網,2026-05-28
2,reg_denominator,2026-04-01,M,15626503.860657,NT$ mn,v2_identity,estimated,"net_fx_exposure / (1 - ratio); both press_reported, same scope",https://news.cts.com.tw/cna/money/202605/202605283037334.html,中央社（華視轉載）: 金管會：壽險外匯準備金　可抵禦新台幣升值3.51元 - 財經 - 華視新聞網,2026-05-28
5,hedge_principal,2026-04-01,M,6924103.860657,NT$ mn,v2_identity,estimated,regulatory denominator x ratio (single scope; denominator recovered by identity,https://news.cts.com.tw/cna/money/202605/202605283037334.html,中央社（華視轉載）: 金管會：壽險外匯準備金　可抵禦新台幣升值3.51元 - 財經 - 華視新聞網,2026-05-28
5,gross_hedge_ratio,2026-04-01,M,0.311971,ratio,v2_identity,estimated,"hedge principal (regulatory scope) / FSC 國外投資 22,194,693 (ib_indicators) — the cross-scope construct sell-side quotes",https://news.cts.com.tw/cna/money/202605/202605283037334.html,中央社（華視轉載）: 金管會：壽險外匯準備金　可抵禦新台幣升值3.51元 - 財經 - 華視新聞網,2026-07-17
4,reg_hedge_ratio,2026-05-01,M,0.4366,ratio,v2,press_reported,,https://news.cts.com.tw/cna/money/202607/202607023050938.html,中央社（華視轉載）: 壽險業前5月獲利2463億創同期新高　淨值飆3.9兆 - 財經 - 華視新聞網,2026-07-02
2,net_open_fx,2026-05-01,M,8775500.0,NT$ mn,v2,press_reported,,https://news.cts.com.tw/cna/money/202607/202607023050938.html,中央社（華視轉載）: 壽險業前5月獲利2463億創同期新高　淨值飆3.9兆 - 財經 - 華視新聞網,2026-07-02
3,buffer_total,2026-05-01,M,981000.0,NT$ mn,v2,press_reported,,https://news.cts.com.tw/cna/money/202607/202607023050938.html,中央社（華視轉載）: 壽險業前5月獲利2463億創同期新高　淨值飆3.9兆 - 財經 - 華視新聞網,2026-07-02
3,absorbable_appreciation,2026-05-01,M,11.2,pct,v2,press_reported,,https://news.cts.com.tw/cna/money/202607/202607023050938.html,中央社（華視轉載）: 壽險業前5月獲利2463億創同期新高　淨值飆3.9兆 - 財經 - 華視新聞網,2026-07-02
2,reg_denominator,2026-05-01,M,15575967.341143,NT$ mn,v2_identity,estimated,"net_fx_exposure / (1 - ratio); both press_reported, same scope",https://news.cts.com.tw/cna/money/202607/202607023050938.html,中央社（華視轉載）: 壽險業前5月獲利2463億創同期新高　淨值飆3.9兆 - 財經 - 華視新聞網,2026-07-02
5,hedge_principal,2026-05-01,M,6800467.341143,NT$ mn,v2_identity,estimated,regulatory denominator x ratio (single scope; denominator recovered by identity,https://news.cts.com.tw/cna/money/202607/202607023050938.html,中央社（華視轉載）: 壽險業前5月獲利2463億創同期新高　淨值飆3.9兆 - 財經 - 華視新聞網,2026-07-02
4,reg_hedge_ratio,2026-06-01,M,0.4289,ratio,v2,press_reported,,https://money.udn.com/money/story/5613/9661667,經濟日報: 壽險避險比率剩43%刷低 為何抗匯損能力反升級？關鍵原因曝 | 金融脈動 | 金融 | 經濟日報,2026-07-30
4,reg_hedge_ratio_effective,2026-06-01,M,0.55,ratio,v2,press_reported,Bureau's own effective ratio including buffers (briefing memo),https://money.udn.com/money/story/5613/9661667,經濟日報: 壽險避險比率剩43%刷低 為何抗匯損能力反升級？關鍵原因曝 | 金融脈動 | 金融 | 經濟日報,2026-07-30
2,net_open_fx,2026-06-01,M,8944900.0,NT$ mn,v2,press_reported,,https://money.udn.com/money/story/5613/9661667,經濟日報: 壽險避險比率剩43%刷低 為何抗匯損能力反升級？關鍵原因曝 | 金融脈動 | 金融 | 經濟日報,2026-07-30
3,buffer_total,2026-06-01,M,1064800.0,NT$ mn,v2,press_reported,,https://money.udn.com/money/story/5613/9661667,經濟日報: 壽險避險比率剩43%刷低 為何抗匯損能力反升級？關鍵原因曝 | 金融脈動 | 金融 | 經濟日報,2026-07-30
3,absorbable_appreciation,2026-06-01,M,11.9,pct,v2,press_reported,,https://money.udn.com/money/story/5613/9661667,經濟日報: 壽險避險比率剩43%刷低 為何抗匯損能力反升級？關鍵原因曝 | 金融脈動 | 金融 | 經濟日報,2026-07-30
2,reg_denominator,2026-06-01,M,15662580.984066,NT$ mn,v2_identity,estimated,"net_fx_exposure / (1 - ratio); both press_reported, same scope",https://money.udn.com/money/story/5613/9661667,經濟日報: 壽險避險比率剩43%刷低 為何抗匯損能力反升級？關鍵原因曝 | 金融脈動 | 金融 | 經濟日報,2026-07-30
5,hedge_principal,2026-06-01,M,6717680.984066,NT$ mn,v2_identity,estimated,regulatory denominator x ratio (single scope; denominator recovered by identity,https://money.udn.com/money/story/5613/9661667,經濟日報: 壽險避險比率剩43%刷低 為何抗匯損能力反升級？關鍵原因曝 | 金融脈動 | 金融 | 經濟日報,2026-07-30
4,reg_hedge_ratio,2026-07-01,M,0.4294,ratio,v2,press_reported,,https://money.udn.com/money/story/5613/9728229,經濟日報: 獲利降溫、抗匯防線反升高 壽險7月怎麼了？ | 金融脈動 | 金融 | 經濟日報,2026-09-01
2,net_open_fx,2026-07-01,M,9041700.0,NT$ mn,v2,press_reported,,https://money.udn.com/money/story/5613/9728229,經濟日報: 獲利降溫、抗匯防線反升高 壽險7月怎麼了？ | 金融脈動 | 金融 | 經濟日報,2026-09-01
3,buffer_total,2026-07-01,M,1083300.0,NT$ mn,v2,press_reported,,https://money.udn.com/money/story/5613/9728229,經濟日報: 獲利降溫、抗匯防線反升高 壽險7月怎麼了？ | 金融脈動 | 金融 | 經濟日報,2026-09-01
3,absorbable_appreciation,2026-07-01,M,12.0,pct,v2,press_reported,,https://money.udn.com/money/story/5613/9728229,經濟日報: 獲利降溫、抗匯防線反升高 壽險7月怎麼了？ | 金融脈動 | 金融 | 經濟日報,2026-09-01
