obs_quarter,period,ca_net_usd_mn,debt_all_assets_usd_mn,debt_ofi_assets_usd_mn,debt_ofi_long_term_usd_mn,debt_ofi_short_term_usd_mn,debt_banks_usd_mn,debt_cbc_usd_mn,reserves_usd_mn,ofi_share_of_debt_buying,cum_ofi_long_term_usd_mn
1984-01-01,1984Q1,1713.0,,,,,,,1037.0,,0.0
1984-04-01,1984Q2,1928.0,,,,,,,894.0,,0.0
1984-07-01,1984Q3,1766.0,,,,,,,788.0,,0.0
1984-10-01,1984Q4,1573.0,,,,,,,1254.0,,0.0
1985-01-01,1985Q1,1779.0,,,,,,,1953.0,,0.0
1985-04-01,1985Q2,2280.0,,,,,,,906.0,,0.0
1985-07-01,1985Q3,2705.0,,,,,,,1460.0,,0.0
1985-10-01,1985Q4,2442.0,,,,,,,2207.0,,0.0
1986-01-01,1986Q1,3211.0,50.0,,,,,,3415.0,,0.0
1986-04-01,1986Q2,3643.0,30.0,,,,,,4611.0,,0.0
1986-07-01,1986Q3,4584.0,-69.0,,,,,,7263.0,,0.0
1986-10-01,1986Q4,4844.0,-7.0,,,,,,8033.0,,0.0
1987-01-01,1987Q1,4599.0,-2.0,,,,,,8123.0,,0.0
1987-04-01,1987Q2,4915.0,-1.0,,,,,,6062.0,,0.0
1987-07-01,1987Q3,5389.0,4.0,,,,,,3790.0,,0.0
1987-10-01,1987Q4,3142.0,1.0,,,,,,10118.0,,0.0
1988-01-01,1988Q1,1281.0,3.0,,,,,,-2001.0,,0.0
1988-04-01,1988Q2,3296.0,140.0,,,,,,-2290.0,,0.0
1988-07-01,1988Q3,2354.0,76.0,,,,,,-951.0,,0.0
1988-10-01,1988Q4,3335.0,72.0,,,,,,3850.0,,0.0
1989-01-01,1989Q1,2742.0,127.0,,,,,,2530.0,,0.0
1989-04-01,1989Q2,2356.0,11.0,,,,,,-32.0,,0.0
1989-07-01,1989Q3,3455.0,75.0,,,,,,-1462.0,,0.0
1989-10-01,1989Q4,2950.0,367.0,,,,,,-1816.0,,0.0
