entity_id,as_of,currency,asset_dv01_ntd_k,liability_dv01_ntd_k,net_dv01_ntd_k,usdtwd
banktaiwan_life,2026-06-30,all,-149020.0,,,31.837
cathay_life,2018-03-31,AUD,-106.0,,,29.12
cathay_life,2018-03-31,EUR,-6978.0,,,29.12
cathay_life,2018-03-31,TWD,-189878.0,,,29.12
cathay_life,2018-03-31,USD,-859335.0,,,29.12
cathay_life,2019-03-31,CNY,-13339.0,,,30.825
cathay_life,2019-03-31,EUR,-7158.0,,,30.825
cathay_life,2019-03-31,GBP,-4444.0,,,30.825
cathay_life,2019-03-31,TWD,-121757.0,,,30.825
cathay_life,2019-03-31,USD,-909855.0,,,30.825
cathay_life,2019-06-30,CNY,-16361.0,,,31.072
cathay_life,2019-06-30,EUR,-6520.0,,,31.072
cathay_life,2019-06-30,GBP,-7293.0,,,31.072
cathay_life,2019-06-30,TWD,-90897.0,,,31.072
cathay_life,2019-06-30,USD,-886613.0,,,31.072
cathay_life,2019-09-30,CNY,-16566.0,,,31.042
cathay_life,2019-09-30,EUR,-13294.0,,,31.042
cathay_life,2019-09-30,GBP,-7619.0,,,31.042
cathay_life,2019-09-30,TWD,-85528.0,,,31.042
cathay_life,2019-09-30,USD,-921129.0,,,31.042
cathay_life,2020-03-31,CNY,-10264.0,,,30.254
cathay_life,2020-03-31,EUR,-7277.0,,,30.254
cathay_life,2020-03-31,GBP,-4212.0,,,30.254
cathay_life,2020-03-31,TWD,-252055.0,,,30.254
cathay_life,2020-03-31,USD,-761186.0,,,30.254
cathay_life,2020-06-30,CNY,-8482.0,,,29.66
cathay_life,2020-06-30,EUR,-9333.0,,,29.66
cathay_life,2020-06-30,GBP,-4076.0,,,29.66
cathay_life,2020-06-30,TWD,-284826.0,,,29.66
cathay_life,2020-06-30,USD,-968024.0,,,29.66
cathay_life,2020-09-30,CNY,-16643.0,,,29.126
cathay_life,2020-09-30,EUR,-4982.0,,,29.126
cathay_life,2020-09-30,GBP,-6246.0,,,29.126
cathay_life,2020-09-30,TWD,-326674.0,,,29.126
cathay_life,2020-09-30,USD,-1150760.0,,,29.126
cathay_life,2021-03-31,CNY,-56855.0,,,28.531
cathay_life,2021-03-31,EUR,-17285.0,,,28.531
cathay_life,2021-03-31,GBP,-5198.0,,,28.531
cathay_life,2021-03-31,TWD,-324910.0,,,28.531
cathay_life,2021-03-31,USD,-1381215.0,,,28.531
cathay_life,2021-06-30,CNY,-48032.0,,,27.87
cathay_life,2021-06-30,EUR,-9481.0,,,27.87
cathay_life,2021-06-30,GBP,-5078.0,,,27.87
cathay_life,2021-06-30,TWD,-355998.0,,,27.87
cathay_life,2021-06-30,USD,-1376831.0,,,27.87
cathay_life,2021-09-30,CNY,-44690.0,,,27.866
cathay_life,2021-09-30,EUR,-5009.0,,,27.866
cathay_life,2021-09-30,GBP,-3518.0,,,27.866
cathay_life,2021-09-30,TWD,-385924.0,,,27.866
cathay_life,2021-09-30,USD,-1477193.0,,,27.866
cathay_life,2021-09-30,all,-1932481.5,,,27.866
cathay_life,2022-03-31,CNY,-25398.0,,,28.622
cathay_life,2022-03-31,EUR,-4375.0,,,28.622
cathay_life,2022-03-31,GBP,-3782.0,,,28.622
cathay_life,2022-03-31,TWD,-670601.0,,,28.622
cathay_life,2022-03-31,USD,-1528008.0,,,28.622
cathay_life,2022-03-31,all,-1052595.1,,,28.622
cathay_life,2022-06-30,CNY,-7588.0,,,29.726
cathay_life,2022-06-30,EUR,-3647.0,,,29.726
cathay_life,2022-06-30,GBP,-3265.0,,,29.726
cathay_life,2022-06-30,TWD,-684979.0,,,29.726
cathay_life,2022-06-30,USD,-1592004.0,,,29.726
cathay_life,2022-06-30,all,-1155782.8,,,29.726
cathay_life,2022-09-30,CNY,-3130.0,,,31.743
cathay_life,2022-09-30,EUR,-4715.0,,,31.743
cathay_life,2022-09-30,GBP,-2539.0,,,31.743
cathay_life,2022-09-30,TWD,-442759.0,,,31.743
cathay_life,2022-09-30,USD,-1466838.0,,,31.743
cathay_life,2022-09-30,all,-1202522.6,,,31.743
cathay_life,2023-03-31,CNY,-1785.0,,,30.454
cathay_life,2023-03-31,EUR,-4262.0,,,30.454
cathay_life,2023-03-31,GBP,-3063.0,,,30.454
cathay_life,2023-03-31,TWD,-64880.0,,,30.454
cathay_life,2023-03-31,USD,-967909.0,,,30.454
cathay_life,2023-03-31,all,-1296949.3,,,30.454
cathay_life,2023-06-30,CNY,-1372.0,,,31.135
cathay_life,2023-06-30,EUR,-7355.0,,,31.135
cathay_life,2023-06-30,GBP,-3083.0,,,31.135
cathay_life,2023-06-30,TWD,-64682.0,,,31.135
cathay_life,2023-06-30,USD,-1068879.0,,,31.135
cathay_life,2023-06-30,all,-1299814.3,,,31.135
cathay_life,2023-09-30,CNY,-1692.0,,,32.268
cathay_life,2023-09-30,EUR,-7519.0,,,32.268
cathay_life,2023-09-30,GBP,-3205.0,,,32.268
cathay_life,2023-09-30,TWD,-62123.0,,,32.268
cathay_life,2023-09-30,USD,-1117611.0,,,32.268
cathay_life,2023-09-30,all,-1360230.8,,,32.268
cathay_life,2024-03-31,CNY,-1657.0,,,31.99
cathay_life,2024-03-31,EUR,-4314.0,,,31.99
cathay_life,2024-03-31,GBP,-3723.0,,,31.99
cathay_life,2024-03-31,TWD,-63150.0,,,31.99
cathay_life,2024-03-31,USD,-1214397.0,,,31.99
cathay_life,2024-06-30,CNY,-2431.0,,,32.45
cathay_life,2024-06-30,EUR,-4981.0,,,32.45
