insurer,uid,as_of,partial_year,item,amount_ntd_k,source_capture
旺旺友聯產物保險股份有限公司,03110001,2021-08,True,銀行存款,4543961.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2021-08,True,有價證券,6863703.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2021-08,True,不動產,1853409.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2021-08,True,放款,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2021-08,True,專案運用及公共投資,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2021-08,True,國外投資,9365.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2021-08,True,保險相關事業,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2021-08,True,衍生性商品,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2021-08,True,其他,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2021-08,True,資金運用總計,13270438.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2020-12,False,銀行存款,4025434.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2020-12,False,有價證券,6753274.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2020-12,False,不動產,1854975.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2020-12,False,放款,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2020-12,False,專案運用及公共投資,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2020-12,False,國外投資,66344.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2020-12,False,保險相關事業,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2020-12,False,衍生性商品,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2020-12,False,其他,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2020-12,False,資金運用總計,12700027.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2019-12,False,銀行存款,4370140.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2019-12,False,有價證券,5499992.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2019-12,False,不動產,1854889.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2019-12,False,放款,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2019-12,False,專案運用及公共投資,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2019-12,False,國外投資,314500.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2019-12,False,保險相關事業,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2019-12,False,衍生性商品,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2019-12,False,其他,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2019-12,False,資金運用總計,12039521.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2018-12,False,銀行存款,6148649.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2018-12,False,有價證券,3439413.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2018-12,False,不動產,1778286.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2018-12,False,放款,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2018-12,False,專案運用及公共投資,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2018-12,False,國外投資,146909.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2018-12,False,保險相關事業,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2018-12,False,衍生性商品,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2018-12,False,其他,0.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2018-12,False,資金運用總計,11513257.0,20210920023611
旺旺友聯產物保險股份有限公司,03110001,2022-05,True,銀行存款,4834473.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2022-05,True,有價證券,6963192.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2022-05,True,不動產,2016117.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2022-05,True,放款,0.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2022-05,True,專案運用及公共投資,0.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2022-05,True,國外投資,117881.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2022-05,True,保險相關事業,0.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2022-05,True,衍生性商品,0.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2022-05,True,其他,0.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2022-05,True,資金運用總計,13931663.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2021-12,False,銀行存款,5297270.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2021-12,False,有價證券,6556872.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2021-12,False,不動產,2020990.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2021-12,False,放款,0.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2021-12,False,專案運用及公共投資,0.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2021-12,False,國外投資,154412.0,20220517174919
旺旺友聯產物保險股份有限公司,03110001,2021-12,False,保險相關事業,0.0,20220517174919
