entity_id,co_id,filing,period_end,scope,table,label,shock,direction,pnl_ntd_k,equity_ntd_k
fubon_life,5865,202003_5865_AI1.pdf,2019-09-30,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,38065391.0
fubon_life,5865,202003_5865_AI1.pdf,2019-09-30,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,-2344819.0,0.0
fubon_life,5865,202003_5865_AI1.pdf,2019-09-30,子公司-富邦現代生命保險,rate,美元,50bp,上移,0.0,-790472.0
fubon_life,5865,202003_5865_AI1.pdf,2019-09-30,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-45525583.0
fubon_life,5865,202004_5865_AI1.pdf,2019-12-31,本公司,equity,價格指數,10%,上升,0.0,55622911.0
fubon_life,5865,202004_5865_AI1.pdf,2019-12-31,本公司,fx,新台幣/所有外幣,3%,升值,-8234065.0,-9392964.0
fubon_life,5865,202004_5865_AI1.pdf,2019-12-31,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,-2116545.0,0.0
fubon_life,5865,202004_5865_AI1.pdf,2019-12-31,本公司,rate,其他,50bp,上移,-297.0,-1611659.0
fubon_life,5865,202004_5865_AI1.pdf,2019-12-31,本公司,rate,台幣,50bp,上移,0.0,-10377917.0
fubon_life,5865,202004_5865_AI1.pdf,2019-12-31,本公司,rate,美元,50bp,上移,-4191.0,-30063215.0
fubon_life,5865,202004_5865_AI1.pdf,2019-12-31,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-55155067.0
fubon_life,5865,202101_5865_AI1.pdf,2020-03-31,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,20907864.0
fubon_life,5865,202101_5865_AI1.pdf,2020-03-31,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,-8329109.0,0.0
fubon_life,5865,202101_5865_AI1.pdf,2020-03-31,子公司-富邦現代生命保險,rate,美元,50bp,上移,0.0,-787572.0
fubon_life,5865,202101_5865_AI1.pdf,2020-03-31,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-50121579.0
fubon_life,5865,202102_5865_AI1.pdf,2020-06-30,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,77519368.0
fubon_life,5865,202102_5865_AI1.pdf,2020-06-30,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,-4283721.0,0.0
fubon_life,5865,202102_5865_AI1.pdf,2020-06-30,子公司-富邦現代生命保險,rate,美元,50bp,上移,0.0,-765183.0
fubon_life,5865,202102_5865_AI1.pdf,2020-06-30,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-58880270.0
fubon_life,5865,202103_5865_AI1.pdf,2020-09-30,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,84623417.0
fubon_life,5865,202003_5865_AI1.pdf,2020-09-30,本公司,fx,新台幣/所有外幣,3%,升值,-10180178.0,-9693286.0
fubon_life,5865,202103_5865_AI1.pdf,2020-09-30,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,1097366.0,0.0
fubon_life,5865,202003_5865_AI1.pdf,2020-09-30,本公司,rate,其他,50bp,上移,-369.0,-1046776.0
fubon_life,5865,202003_5865_AI1.pdf,2020-09-30,本公司,rate,台幣,50bp,上移,0.0,-8332609.0
fubon_life,5865,202103_5865_AI1.pdf,2020-09-30,子公司-富邦現代生命保險,rate,美元,50bp,上移,0.0,-726472.0
fubon_life,5865,202103_5865_AI1.pdf,2020-09-30,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-74477526.0
fubon_life,5865,202104_5865_AI1.pdf,2020-12-31,本公司,equity,價格指數,10%,上升,0.0,71818435.0
fubon_life,5865,202104_5865_AI1.pdf,2020-12-31,本公司,fx,新台幣/所有外幣,3%,升值,-10085355.0,-9940517.0
fubon_life,5865,202104_5865_AI1.pdf,2020-12-31,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,5859050.0,0.0
fubon_life,5865,202104_5865_AI1.pdf,2020-12-31,本公司,rate,其他,50bp,上移,-340.0,-943636.0
fubon_life,5865,202104_5865_AI1.pdf,2020-12-31,本公司,rate,台幣,50bp,上移,0.0,-10473416.0
fubon_life,5865,202104_5865_AI1.pdf,2020-12-31,本公司,rate,美元,50bp,上移,-4857.0,-27924431.0
fubon_life,5865,202104_5865_AI1.pdf,2020-12-31,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-76276488.0
fubon_life,5865,202201_5865_AI1.pdf,2021-03-31,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,85702520.0
fubon_life,5865,202201_5865_AI1.pdf,2021-03-31,子公司-富邦現代生命保險,fx,新台幣/所有外幣,3%,升值,-11222951.0,-10850175.0
fubon_life,5865,202101_5865_AI1.pdf,2021-03-31,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,7343098.0,0.0
fubon_life,5865,202201_5865_AI1.pdf,2021-03-31,子公司-富邦現代生命保險,rate,其他,50bp,上移,-238.0,-429099.0
fubon_life,5865,202201_5865_AI1.pdf,2021-03-31,子公司-富邦現代生命保險,rate,台幣,50bp,上移,0.0,-8784467.0
fubon_life,5865,202201_5865_AI1.pdf,2021-03-31,子公司-富邦現代生命保險,rate,美元,50bp,上移,-4813.0,-27863309.0
fubon_life,5865,202101_5865_AI1.pdf,2021-03-31,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-68832678.0
fubon_life,5865,202202_5865_AI1.pdf,2021-06-30,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,85530240.0
fubon_life,5865,202202_5865_AI1.pdf,2021-06-30,子公司-富邦現代生命保險,fx,新台幣/所有外幣,3%,升值,-11317203.0,-10979156.0
fubon_life,5865,202102_5865_AI1.pdf,2021-06-30,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,11375830.0,0.0
fubon_life,5865,202202_5865_AI1.pdf,2021-06-30,子公司-富邦現代生命保險,rate,其他,50bp,上移,-517.0,-405836.0
fubon_life,5865,202202_5865_AI1.pdf,2021-06-30,子公司-富邦現代生命保險,rate,台幣,50bp,上移,0.0,-10063879.0
fubon_life,5865,202202_5865_AI1.pdf,2021-06-30,子公司-富邦現代生命保險,rate,美元,50bp,上移,-7517.0,-31634423.0
fubon_life,5865,202102_5865_AI1.pdf,2021-06-30,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-75152830.0
fubon_life,5865,202203_5865_AI1.pdf,2021-09-30,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,76923117.0
fubon_life,5865,202203_5865_AI1.pdf,2021-09-30,子公司-富邦現代生命保險,fx,新台幣/所有外幣,3%,升值,-8886582.0,-11290790.0
fubon_life,5865,202103_5865_AI1.pdf,2021-09-30,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,16863582.0,0.0
fubon_life,5865,202203_5865_AI1.pdf,2021-09-30,子公司-富邦現代生命保險,rate,其他,50bp,上移,-358.0,-377701.0
fubon_life,5865,202203_5865_AI1.pdf,2021-09-30,子公司-富邦現代生命保險,rate,台幣,50bp,上移,0.0,-10040170.0
fubon_life,5865,202203_5865_AI1.pdf,2021-09-30,子公司-富邦現代生命保險,rate,美元,50bp,上移,-7831.0,-22582198.0
fubon_life,5865,202103_5865_AI1.pdf,2021-09-30,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-78623563.0
fubon_life,5865,202204_5865_AI1.pdf,2021-12-31,本公司,equity,價格指數,10%,上升,0.0,91864200.0
fubon_life,5865,202204_5865_AI1.pdf,2021-12-31,本公司,fx,新台幣/所有外幣,3%,升值,-8127924.0,-12684667.0
fubon_life,5865,202204_5865_AI1.pdf,2021-12-31,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,18558265.0,0.0
fubon_life,5865,202204_5865_AI1.pdf,2021-12-31,本公司,rate,其他,50bp,上移,-315.0,-385037.0
fubon_life,5865,202204_5865_AI1.pdf,2021-12-31,本公司,rate,台幣,50bp,上移,0.0,-12075660.0
fubon_life,5865,202204_5865_AI1.pdf,2021-12-31,本公司,rate,美元,50bp,上移,-7661.0,-37974192.0
fubon_life,5865,202204_5865_AI1.pdf,2021-12-31,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-73937391.0
fubon_life,5865,202301_5865_AI1.pdf,2022-03-31,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,80904307.0
fubon_life,5865,202301_5865_AI1.pdf,2022-03-31,子公司-富邦現代生命保險,fx,新台幣/所有外幣,3%,升值,-11726122.0,-12695546.0
fubon_life,5865,202201_5865_AI1.pdf,2022-03-31,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,19962248.0,0.0
fubon_life,5865,202301_5865_AI1.pdf,2022-03-31,子公司-富邦現代生命保險,rate,其他,50bp,上移,-235.0,-427738.0
fubon_life,5865,202301_5865_AI1.pdf,2022-03-31,子公司-富邦現代生命保險,rate,台幣,50bp,上移,0.0,-13259524.0
fubon_life,5865,202301_5865_AI1.pdf,2022-03-31,子公司-富邦現代生命保險,rate,美元,50bp,上移,-7488.0,-38268888.0
fubon_life,5865,202201_5865_AI1.pdf,2022-03-31,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-67124973.0
fubon_life,5865,202302_5865_AI1.pdf,2022-06-30,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,67021715.0
fubon_life,5865,202302_5865_AI1.pdf,2022-06-30,子公司-富邦現代生命保險,fx,新台幣/所有外幣,3%,升值,-11344287.0,-12049703.0
fubon_life,5865,202202_5865_AI1.pdf,2022-06-30,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,29123921.0,0.0
fubon_life,5865,202302_5865_AI1.pdf,2022-06-30,子公司-富邦現代生命保險,rate,其他,50bp,上移,-494.0,-385740.0
fubon_life,5865,202302_5865_AI1.pdf,2022-06-30,子公司-富邦現代生命保險,rate,台幣,50bp,上移,0.0,-12815877.0
fubon_life,5865,202302_5865_AI1.pdf,2022-06-30,子公司-富邦現代生命保險,rate,美元,50bp,上移,-7595.0,-39038562.0
fubon_life,5865,202202_5865_AI1.pdf,2022-06-30,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-65168774.0
fubon_life,5865,202303_5865_AI1.pdf,2022-09-30,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,63056821.0
fubon_life,5865,202303_5865_AI1.pdf,2022-09-30,子公司-富邦現代生命保險,fx,新台幣/所有外幣,3%,升值,-13306169.0,-11846014.0
fubon_life,5865,202203_5865_AI1.pdf,2022-09-30,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,18846210.0,0.0
fubon_life,5865,202303_5865_AI1.pdf,2022-09-30,子公司-富邦現代生命保險,rate,其他,50bp,上移,-355.0,-369298.0
fubon_life,5865,202303_5865_AI1.pdf,2022-09-30,子公司-富邦現代生命保險,rate,台幣,50bp,上移,0.0,-12900816.0
fubon_life,5865,202303_5865_AI1.pdf,2022-09-30,子公司-富邦現代生命保險,rate,美元,50bp,上移,-7704.0,-37941502.0
fubon_life,5865,202203_5865_AI1.pdf,2022-09-30,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-57102577.0
fubon_life,5865,202304_5865_AI1.pdf,2022-12-31,本公司,equity,價格指數,10%,上升,0.0,66468482.0
fubon_life,5865,202304_5865_AI1.pdf,2022-12-31,本公司,fx,新台幣/所有外幣,3%,升值,-12280352.0,-10281863.0
fubon_life,5865,202304_5865_AI1.pdf,2022-12-31,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,4511659.0,0.0
fubon_life,5865,202304_5865_AI1.pdf,2022-12-31,本公司,rate,其他,50bp,上移,-320.0,-358804.0
fubon_life,5865,202304_5865_AI1.pdf,2022-12-31,本公司,rate,台幣,50bp,上移,0.0,-8953128.0
fubon_life,5865,202304_5865_AI1.pdf,2022-12-31,本公司,rate,美元,50bp,上移,-6905.0,-40453537.0
fubon_life,5865,202304_5865_AI1.pdf,2022-12-31,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-52211254.0
fubon_life,5865,202401_5865_AI1.pdf,2023-03-31,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,74956955.0
fubon_life,5865,202401_5865_AI1.pdf,2023-03-31,子公司-富邦現代生命保險,fx,新台幣/所有外幣,3%,升值,-14293176.0,-10343452.0
fubon_life,5865,202301_5865_AI1.pdf,2023-03-31,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,14822040.0,0.0
fubon_life,5865,202401_5865_AI1.pdf,2023-03-31,子公司-富邦現代生命保險,rate,其他,50bp,上移,-240.0,-231592.0
fubon_life,5865,202401_5865_AI1.pdf,2023-03-31,子公司-富邦現代生命保險,rate,台幣,50bp,上移,0.0,-8729893.0
fubon_life,5865,202401_5865_AI1.pdf,2023-03-31,子公司-富邦現代生命保險,rate,美元,50bp,上移,-9671.0,-25130036.0
fubon_life,5865,202301_5865_AI1.pdf,2023-03-31,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-38166063.0
fubon_life,5865,202402_5865_AI1.pdf,2023-06-30,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,83176567.0
fubon_life,5865,202402_5865_AI1.pdf,2023-06-30,子公司-富邦現代生命保險,fx,新台幣/所有外幣,3%,升值,-16464776.0,-11782194.0
fubon_life,5865,202302_5865_AI1.pdf,2023-06-30,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,15242514.0,0.0
fubon_life,5865,202402_5865_AI1.pdf,2023-06-30,子公司-富邦現代生命保險,rate,其他,50bp,上移,-518.0,-218467.0
fubon_life,5865,202402_5865_AI1.pdf,2023-06-30,子公司-富邦現代生命保險,rate,台幣,50bp,上移,0.0,-8367824.0
fubon_life,5865,202402_5865_AI1.pdf,2023-06-30,子公司-富邦現代生命保險,rate,美元,50bp,上移,-9569.0,-25608285.0
fubon_life,5865,202302_5865_AI1.pdf,2023-06-30,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-36756047.0
fubon_life,5865,202403_5865_AI1.pdf,2023-09-30,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,69743744.0
fubon_life,5865,202403_5865_AI1.pdf,2023-09-30,子公司-富邦現代生命保險,fx,新台幣/所有外幣,3%,升值,-18454190.0,-10894989.0
fubon_life,5865,202303_5865_AI1.pdf,2023-09-30,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,20305160.0,0.0
fubon_life,5865,202403_5865_AI1.pdf,2023-09-30,子公司-富邦現代生命保險,rate,其他,50bp,上移,-379.0,-219105.0
fubon_life,5865,202403_5865_AI1.pdf,2023-09-30,子公司-富邦現代生命保險,rate,台幣,50bp,上移,0.0,-8119500.0
fubon_life,5865,202403_5865_AI1.pdf,2023-09-30,子公司-富邦現代生命保險,rate,美元,50bp,上移,-10777.0,-24920000.0
fubon_life,5865,202303_5865_AI1.pdf,2023-09-30,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-35255085.0
fubon_life,5865,202404_5865_AI1.pdf,2023-12-31,本公司,equity,價格指數,10%,上升,0.0,84069919.0
fubon_life,5865,202404_5865_AI1.pdf,2023-12-31,本公司,fx,新台幣/所有外幣,3%,升值,-8351446.0,-12323822.0
fubon_life,5865,202404_5865_AI1.pdf,2023-12-31,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,12079048.0,0.0
fubon_life,5865,202404_5865_AI1.pdf,2023-12-31,本公司,rate,其他,50bp,上移,-352.0,-212838.0
fubon_life,5865,202404_5865_AI1.pdf,2023-12-31,本公司,rate,台幣,50bp,上移,0.0,-7769860.0
fubon_life,5865,202404_5865_AI1.pdf,2023-12-31,本公司,rate,美元,50bp,上移,-10365.0,-29985054.0
fubon_life,5865,202404_5865_AI1.pdf,2023-12-31,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-36332162.0
fubon_life,5865,202501_5865_AI1.pdf,2024-03-31,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,93813386.0
fubon_life,5865,202501_5865_AI1.pdf,2024-03-31,子公司-富邦現代生命保險,fx,新台幣/所有外幣,3%,升值,-18463498.0,-13132233.0
fubon_life,5865,202401_5865_AI1.pdf,2024-03-31,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,13839501.0,0.0
fubon_life,5865,202501_5865_AI1.pdf,2024-03-31,子公司-富邦現代生命保險,rate,其他,50bp,上移,-246.0,-203096.0
fubon_life,5865,202501_5865_AI1.pdf,2024-03-31,子公司-富邦現代生命保險,rate,台幣,50bp,上移,0.0,-7516884.0
fubon_life,5865,202501_5865_AI1.pdf,2024-03-31,子公司-富邦現代生命保險,rate,美元,50bp,上移,-10140.0,-29473952.0
fubon_life,5865,202401_5865_AI1.pdf,2024-03-31,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-36797285.0
fubon_life,5865,202502_5865_AI1.pdf,2024-06-30,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,95687669.0
fubon_life,5865,202502_5865_AI1.pdf,2024-06-30,子公司-富邦現代生命保險,fx,新台幣/所有外幣,3%,升值,-18456466.0,-14568438.0
fubon_life,5865,202402_5865_AI1.pdf,2024-06-30,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,15596391.0,0.0
fubon_life,5865,202502_5865_AI1.pdf,2024-06-30,子公司-富邦現代生命保險,rate,其他,50bp,上移,-541.0,-203391.0
fubon_life,5865,202502_5865_AI1.pdf,2024-06-30,子公司-富邦現代生命保險,rate,台幣,50bp,上移,0.0,-7004141.0
fubon_life,5865,202502_5865_AI1.pdf,2024-06-30,子公司-富邦現代生命保險,rate,美元,50bp,上移,-9989.0,-32035843.0
fubon_life,5865,202402_5865_AI1.pdf,2024-06-30,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-36109804.0
fubon_life,5865,202503_5865_AI1.pdf,2024-09-30,子公司-富邦現代生命保險,equity,價格指數,10%,上升,0.0,85984781.0
fubon_life,5865,202503_5865_AI1.pdf,2024-09-30,子公司-富邦現代生命保險,fx,新台幣/所有外幣,3%,升值,-12962447.0,-13021186.0
fubon_life,5865,202403_5865_AI1.pdf,2024-09-30,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,13598872.0,0.0
fubon_life,5865,202503_5865_AI1.pdf,2024-09-30,子公司-富邦現代生命保險,rate,其他,50bp,上移,-386.0,-190688.0
fubon_life,5865,202503_5865_AI1.pdf,2024-09-30,子公司-富邦現代生命保險,rate,台幣,50bp,上移,0.0,-7129303.0
fubon_life,5865,202503_5865_AI1.pdf,2024-09-30,子公司-富邦現代生命保險,rate,美元,50bp,上移,-10356.0,-34835918.0
fubon_life,5865,202403_5865_AI1.pdf,2024-09-30,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-35410319.0
fubon_life,5865,202504_5865_AI1.pdf,2024-12-31,本公司,equity,價格指數,10%,上升,0.0,96243403.0
fubon_life,5865,202504_5865_AI1.pdf,2024-12-31,本公司,fx,新台幣/所有外幣,3%,升值,-19576217.0,-14386749.0
fubon_life,5865,202504_5865_AI1.pdf,2024-12-31,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,11182016.0,0.0
fubon_life,5865,202504_5865_AI1.pdf,2024-12-31,本公司,rate,其他,50bp,上移,-320.0,-166449.0
fubon_life,5865,202504_5865_AI1.pdf,2024-12-31,本公司,rate,台幣,50bp,上移,0.0,-6744216.0
fubon_life,5865,202504_5865_AI1.pdf,2024-12-31,本公司,rate,美元,50bp,上移,-10491.0,-33214324.0
