Date,BondCode,ShortName,Issuer,IssuingDate,MaturityDate,Tenor,CurrencyDenomination,AmountOfIssuance,Coupon,IRR,EarlyRedemption,NonCallPeriodYearxCallFrequencyYear,SecuritiesUnderwriterOrFinancialConsultingCompany,LiquidityProvider,ISIN,BondDatabase
20260905,F16603,P21ADCBU2,Abu Dhabi Commercial Bank PJSC,20210907,20260907,5,USD,285000000,1.720,0,Not Applicable,Not Applicable,Capital SecuritiesChinatrust BankKGI BankMega BankPresident SecuritiesSinoPac SecuritiesStandard CharteredTaipei Fubon BankTaishin InternatonalYuanta Securities Co,Taipei Fubon Bank,XS2376921016,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0136&MONYR_REG=202109&BOND_ID=F16603&KIND=A
20260905,F17901,P21BCI1,Banco de Credito e Inversiones,20210924,20260924,5,USD,133000000,1.885,0,Not Applicable,Not Applicable,Bank of TaiwanCACIB TaipeiSinoPac SecuritiesStandard CharteredTaipei Fubon BankTaishin Internatonal,Taipei Fubon Bank,XS2384719667,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0147&MONYR_REG=202109&BOND_ID=F17901&KIND=A
20260905,F02244,P19SG5,Societe Generale,20191002,20261002,7,USD,55000000,2.650,0,Not Applicable,Not Applicable,Bank of TaiwanCathay United BankE.SUN BankSG Securities TaipeiSinoPac Securities,SinoPac Securities,XS2027857197,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0010&MONYR_REG=201909&BOND_ID=F02244&KIND=A
20260905,F18101,P21SCOCH1,Scotiabank Chile,20211110,20261110,5,USD,125000000,2.160,0,Not Applicable,Not Applicable,CACIB TaipeiKGI BankSinoPac SecuritiesStandard CharteredTaipei Fubon BankTaishin InternatonalYuanta Securities Co,Taipei Fubon Bank,XS2401677948,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0149&MONYR_REG=202111&BOND_ID=F18101&KIND=A
20260905,F01017,P19KEXIM3,The Export-Import Bank of Korea,20191127,20261127,7,ZAR,600000000,8.430,0,Not Applicable,Not Applicable,Chinatrust BankE.SUN BankKGI BankSG Securities Taipei,E.SUN Bank,XS2081570355,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0003&MONYR_REG=201911&BOND_ID=F01017&KIND=A
20260905,F16902,P21PMH1,Phu My Hung Development Corporation,20211229,20261229,5,USD,150000000,2.000,0,Not Applicable,Not Applicable,Cathay United BankChinatrust BankCooperative BankMega BankTaipei Fubon Bank,Taipei Fubon Bank,TW000F169024,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0138&MONYR_REG=202112&BOND_ID=F16902&KIND=A
20260905,F18301,P22SBILD1,State Bank of India acting through its London branch,20220126,20270126,5,USD,300000000,2.490,0,Not Applicable,Not Applicable,CACIB TaipeiCitibank Taiwan Ltd.HSBC Bank(Taiwan)LtdKGI SecuritiesSinoPac SecuritiesStandard CharteredTaishin Internatonal,SinoPac Securities,XS2432299449,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0151&MONYR_REG=202201&BOND_ID=F18301&KIND=A
20260905,F13722,P20MSF3,Morgan Stanley Finance LLC,20200313,20270313,7,CNY,580000000,3.000,0,Not Applicable,Not Applicable,E.SUN Banksell the bond itself,Taishin Securities,XS1906334385,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0111&MONYR_REG=202003&BOND_ID=F13722&KIND=A
20260905,F02252,P20SG6,Societe Generale,20200826,20270826,7,ZAR,520000000,6.750,0,Applicable,3.000 x 1.000,Bank of TaiwanE.SUN BankNational SecuritiesSinoPac Securities,SinoPac Securities,XS2174519061,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0010&MONYR_REG=202008&BOND_ID=F02252&KIND=A
20260905,F15311,P21GSFCI8,Goldman Sachs Finance Corp International Ltd,20210827,20270827,6,USD,40000000,0.7578,0,Not Applicable,Not Applicable,E.SUN BankMega Bank,E.SUN Bank,XS2114071587,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0124&MONYR_REG=202108&BOND_ID=F15311&KIND=A
20260905,F18701,P22JPCFC1,JPMorgan Chase Financial Company LLC,20220920,20270920,5,USD,148000000,2.8987,0,Not Applicable,Not Applicable,E.SUN BankMega BankYuanta Securities Co,E.SUN Bank,XS1450710899,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0154&MONYR_REG=202209&BOND_ID=F18701&KIND=A
20260905,F02634,P20CACIB7,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,20200922,20270922,7,ZAR,560000000,6.420,0,Applicable,3.000 x 1.000,Bank of TaiwanChinatrust BankE.SUN Bank,Chinatrust Bank,XS1996644685,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0014&MONYR_REG=202009&BOND_ID=F02634&KIND=A
20260905,F02254,P20SG8,Societe Generale,20200923,20270923,7,ZAR,430000000,6.750,0,Applicable,4.000 x 1.000,Bank of TaiwanE.SUN BankSinoPac Securities,SinoPac Securities,XS2176033400,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0010&MONYR_REG=202009&BOND_ID=F02254&KIND=A
20260905,F14245,P22CGMHI6,Citigroup Global Markets Holdings Inc.,20220929,20270929,5,USD,88000000,3.7364,0,Not Applicable,Not Applicable,Chinatrust BankYuanta Securities Co,Yuanta Securities Co,XS2495887684,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0115&MONYR_REG=202209&BOND_ID=F14245&KIND=A
20260905,F19401,P24KODIT1,KODIT Global 2024-2 Co. Ltd.,20241029,20271029,3,USD,200000000,5.680,0,Not Applicable,Not Applicable,BNP PARIBAS TAIWANCathay United BankChinatrust BankKGI SecuritiesMega BankPresident SecuritiesSinoPac SecuritiesYuanta Securities Co,Yuanta Securities Co,XS2910446892,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0160&MONYR_REG=202410&BOND_ID=F19401&KIND=A
20260905,F10319,P20QNBF10,QNB Finance Ltd,20201117,20271117,7,CNY,500000000,3.950,0,Not Applicable,Not Applicable,SinoPac SecuritiesStandard Chartered,SinoPac Securities,XS2255698602,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0080&MONYR_REG=202011&BOND_ID=F10319&KIND=A
20260905,F14613,P20JPMCB2,JPMorgan Chase Bank N.A.,20201125,20271125,7,ZAR,340000000,6.300,0,Applicable,1.000 x 1.000,Bank of TaiwanTaishin Internatonal,Bank of Taiwan,XS1450874810,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0118&MONYR_REG=202011&BOND_ID=F14613&KIND=A
20260905,F07502,P16ISBI1,Intesa Sanpaolo Bank Ireland p.l.c,20160115,20280115,12,USD,63000000,4.250,0,Not Applicable,Not Applicable,National SecuritiesSinoPac Securities,Not Applicatible,XS1338373704,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0053&MONYR_REG=201601&BOND_ID=F07502&KIND=A
