insurer_name,entity_id,sector,obs_quarter,roc_year,quarter,vintage,basis,total_assets_ntd_k,total_liabilities_ntd_k,owners_equity_ntd_k,paid_in_capital_ntd_k,amount4,amount5,amount6,amount7,amount8,raw_record,file
兆豐產物保險股份有限公司,,nonlife,2026-04-01,115,2,2026-09-05,IFRS17,22975844.0,12214948.0,10760896.0,3286066.0,,,,0.0,0.0,"{""AMOUNT1"": ""22975844.00"", ""AMOUNT2"": ""12214948.00"", ""AMOUNT3"": ""10760896.00"", ""AMOUNT4"": """", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": ""0.0000000000"", ""AMOUNT8"": ""0.0000000000"", ""ActualCapital"": ""3286066.00"", ""INSURER_Name"": ""兆豐產物保險股份有限公司"", ""OccurSeason"": ""115年度第2季""}",json-06021011_20260905.json
臺灣產物保險股份有限公司,,nonlife,2026-04-01,115,2,2026-09-05,IFRS17,26227769.0,14125551.0,12102218.0,2535403.0,,,,0.0,0.0,"{""AMOUNT1"": ""26227769.00"", ""AMOUNT2"": ""14125551.00"", ""AMOUNT3"": ""12102218.00"", ""AMOUNT4"": """", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": ""0.0000000000"", ""AMOUNT8"": ""0.0000000000"", ""ActualCapital"": ""2535403.00"", ""INSURER_Name"": ""臺灣產物保險股份有限公司"", ""OccurSeason"": ""115年度第2季""}",json-06021011_20260905.json
富邦產物保險股份有限公司,,nonlife,2026-04-01,115,2,2026-09-05,IFRS17,132181069.0,92730806.0,39450263.0,3000000.0,,,,0.0,0.0,"{""AMOUNT1"": ""132181069.00"", ""AMOUNT2"": ""92730806.00"", ""AMOUNT3"": ""39450263.00"", ""AMOUNT4"": """", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": ""0.0000000000"", ""AMOUNT8"": ""0.0000000000"", ""ActualCapital"": ""3000000.00"", ""INSURER_Name"": ""富邦產物保險股份有限公司"", ""OccurSeason"": ""115年度第2季""}",json-06021011_20260905.json
和泰產物保險股份有限公司,,nonlife,2026-04-01,115,2,2026-09-05,IFRS17,33501482.0,21862422.0,11639060.0,2000000.0,,,,0.0,0.0,"{""AMOUNT1"": ""33501482.00"", ""AMOUNT2"": ""21862422.00"", ""AMOUNT3"": ""11639060.00"", ""AMOUNT4"": """", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": ""0.0000000000"", ""AMOUNT8"": ""0.0000000000"", ""ActualCapital"": ""2000000.00"", ""INSURER_Name"": ""和泰產物保險股份有限公司"", ""OccurSeason"": ""115年度第2季""}",json-06021011_20260905.json
泰安產物保險股份有限公司,,nonlife,2026-04-01,115,2,2026-09-05,IFRS17,30108325.0,18980837.0,11127488.0,2974119.0,,,,0.0,0.0,"{""AMOUNT1"": ""30108325.00"", ""AMOUNT2"": ""18980837.00"", ""AMOUNT3"": ""11127488.00"", ""AMOUNT4"": """", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": ""0.0000000000"", ""AMOUNT8"": ""0.0000000000"", ""ActualCapital"": ""2974119.00"", ""INSURER_Name"": ""泰安產物保險股份有限公司"", ""OccurSeason"": ""115年度第2季""}",json-06021011_20260905.json
明台產物保險股份有限公司,,nonlife,2026-04-01,115,2,2026-09-05,IFRS17,38764211.0,26897679.0,11866532.0,2535930.0,,,,0.0,0.0,"{""AMOUNT1"": ""38764211.00"", ""AMOUNT2"": ""26897679.00"", ""AMOUNT3"": ""11866532.00"", ""AMOUNT4"": """", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": ""0.0000000000"", ""AMOUNT8"": ""0.0000000000"", ""ActualCapital"": ""2535930.00"", ""INSURER_Name"": ""明台產物保險股份有限公司"", ""OccurSeason"": ""115年度第2季""}",json-06021011_20260905.json
南山產物保險股份有限公司,,nonlife,2026-04-01,115,2,2026-09-05,IFRS17,21544447.0,14717416.0,6827031.0,2524000.0,,,,0.0,0.0,"{""AMOUNT1"": ""21544447.00"", ""AMOUNT2"": ""14717416.00"", ""AMOUNT3"": ""6827031.00"", ""AMOUNT4"": """", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": ""0.0000000000"", ""AMOUNT8"": ""0.0000000000"", ""ActualCapital"": ""2524000.00"", ""INSURER_Name"": ""南山產物保險股份有限公司"", ""OccurSeason"": ""115年度第2季""}",json-06021011_20260905.json
第一產物保險股份有限公司,,nonlife,2026-04-01,115,2,2026-09-05,IFRS17,20087700.0,10845946.0,9241754.0,3011638.0,,,,0.0,0.0,"{""AMOUNT1"": ""20087700.00"", ""AMOUNT2"": ""10845946.00"", ""AMOUNT3"": ""9241754.00"", ""AMOUNT4"": """", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": ""0.0000000000"", ""AMOUNT8"": ""0.0000000000"", ""ActualCapital"": ""3011638.00"", ""INSURER_Name"": ""第一產物保險股份有限公司"", ""OccurSeason"": ""115年度第2季""}",json-06021011_20260905.json
旺旺友聯產物保險股份有限公司,,nonlife,2026-04-01,115,2,2026-09-05,IFRS17,27241415.0,17603145.0,9638270.0,2236080.0,,,,0.0,0.0,"{""AMOUNT1"": ""27241415.00"", ""AMOUNT2"": ""17603145.00"", ""AMOUNT3"": ""9638270.00"", ""AMOUNT4"": """", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": ""0.0000000000"", ""AMOUNT8"": ""0.0000000000"", ""ActualCapital"": ""2236080.00"", ""INSURER_Name"": ""旺旺友聯產物保險股份有限公司"", ""OccurSeason"": ""115年度第2季""}",json-06021011_20260905.json
華南產物保險股份有限公司,,nonlife,2026-04-01,115,2,2026-09-05,IFRS17,28827591.0,18810935.0,10016656.0,2001386.0,,,,0.0,0.0,"{""AMOUNT1"": ""28827591.00"", ""AMOUNT2"": ""18810935.00"", ""AMOUNT3"": ""10016656.00"", ""AMOUNT4"": """", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": ""0.0000000000"", ""AMOUNT8"": ""0.0000000000"", ""ActualCapital"": ""2001386.00"", ""INSURER_Name"": ""華南產物保險股份有限公司"", ""OccurSeason"": ""115年度第2季""}",json-06021011_20260905.json
