entity_id,uid,obs_date,period_kind,vintage,bank_deposits,securities,real_estate,loans,project_public_investment,foreign_investment,insurance_related,derivatives,other,total,file,note
cathay_life,03374707,2026-08-31,latest_month,2026-09-05,98470.0,1384795.24,545832.258,433027.545,49035.748,5555151.495,1359.151,,12915.653,8080587.09,Info2-1_cathay_life_20260905.html,
cathay_life,03374707,2025-12-31,year_end,2026-09-05,98945.538,1208146.156,535279.467,400443.281,48068.353,5612643.248,1416.447,,26889.684,7931832.174,Info2-1_cathay_life_20260905.html,
cathay_life,03374707,2024-12-31,year_end,2026-09-05,73615.454,1188922.719,517272.296,375893.989,25138.826,5600196.461,1464.071,,38543.671,7821047.487,Info2-1_cathay_life_20260905.html,
cathay_life,03374707,2023-12-31,year_end,2026-09-05,76127.418,1093868.012,501757.599,381730.734,23223.044,5358394.255,1268.278,,19933.343,7456302.683,Info2-1_cathay_life_20260905.html,
fubon_life,27935073,2026-08-31,latest_month,2026-09-05,84019.988,1541785.131,305572.107,252600.257,23046.503,3418632.043,0.0,0.0,52461.049,5678117.078,Info2-1_fubon_life_20260905.html,
fubon_life,27935073,2025-12-31,year_end,2026-09-05,143819.534,1272928.9,300313.378,215598.556,23546.612,3365331.065,0.0,0.0,83765.626,5405303.671,Info2-1_fubon_life_20260905.html,
fubon_life,27935073,2024-12-31,year_end,2026-09-05,90315.756,1128880.577,287784.481,168885.457,19573.019,3472176.7,0.0,0.0,63437.203,5231053.193,Info2-1_fubon_life_20260905.html,
fubon_life,27935073,2023-12-31,year_end,2026-09-05,83211.248,1077152.332,283514.743,171308.778,13062.036,3248563.192,0.0,1.383,53664.572,4930478.284,Info2-1_fubon_life_20260905.html,
kgi_life,03434016,2026-08-31,latest_month,2026-09-05,10499.881,576842.576,98650.876,36263.55,7756.493,1716824.223,0.0,0.0,0.0,2446837.599,Info2-1_kgi_life_20260905.html,renamed 凱基人壽 in 2023
kgi_life,03434016,2025-12-31,year_end,2026-09-05,14616.224,501940.592,80544.14,31422.161,7748.756,1711263.244,0.0,0.0,0.0,2347535.117,Info2-1_kgi_life_20260905.html,renamed 凱基人壽 in 2023
