insurer_name,entity_id,obs_quarter,roc_year,quarter,vintage,basis,liabilities_to_assets_pct,reserves_to_assets_pct,reserves_change_pct,reserves_net_increase_to_premium_pct,affiliate_investment_to_equity_pct,first_year_premium_ratio_pct,renewal_premium_ratio_pct,new_business_expense_ratio_pct,premium_income_change_pct,equity_change_pct,net_income_change_pct,funds_utilisation_ratio_pct,persistency_13m_pct,persistency_25m_pct,roa_pct,roe_pct,net_investment_yield_pct,investment_return_pct,operating_margin_pct,pretax_margin_total_revenue_pct,net_margin_pct,eps_ntd,real_estate_and_mortgage_to_assets_pct,raw_record,file
臺銀人壽保險股份有限公司,,2026-04-01,115,2,2026-09-04,IFRS17,89.7,82.22,,10.69,,,,,50.89,,99.85,98.55,88.69,,,,,,,,,,,"{""AMOUNT1"": ""89.70"", ""AMOUNT10"": ""N/A"", ""AMOUNT11"": ""99.85"", ""AMOUNT12"": ""98.55"", ""AMOUNT13"": ""88.69"", ""AMOUNT14"": """", ""AMOUNT15"": ""N/A"", ""AMOUNT16"": ""N/A"", ""AMOUNT17"": ""N/A"", ""AMOUNT18"": ""N/A"", ""AMOUNT19"": ""N/A"", ""AMOUNT2"": ""82.22"", ""AMOUNT20"": ""N/A"", ""AMOUNT21"": ""N/A"", ""AMOUNT22"": ""N/A"", ""AMOUNT23"": ""N/A"", ""AMOUNT3"": ""N/A"", ""AMOUNT4"": ""10.69"", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": """", ""AMOUNT8"": ""N/A"", ""AMOUNT9"": ""50.89"", ""ClaimQuarter"": ""2"", ""ClaimYear"": ""115"", ""INSURER_Name"": ""臺銀人壽保險股份有限公司""}",json-06161610_20260904.json
台灣人壽保險股份有限公司,taiwan_life,2026-04-01,115,2,2026-09-04,IFRS17,86.13,74.5,,14.75,,,,,99.25,,101.39,96.4,93.93,,,,,,,,,,,"{""AMOUNT1"": ""86.13"", ""AMOUNT10"": ""N/A"", ""AMOUNT11"": ""101.39"", ""AMOUNT12"": ""96.40"", ""AMOUNT13"": ""93.93"", ""AMOUNT14"": """", ""AMOUNT15"": ""N/A"", ""AMOUNT16"": ""N/A"", ""AMOUNT17"": ""N/A"", ""AMOUNT18"": ""N/A"", ""AMOUNT19"": ""N/A"", ""AMOUNT2"": ""74.50"", ""AMOUNT20"": ""N/A"", ""AMOUNT21"": ""N/A"", ""AMOUNT22"": ""N/A"", ""AMOUNT23"": ""N/A"", ""AMOUNT3"": ""N/A"", ""AMOUNT4"": ""14.75"", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": """", ""AMOUNT8"": ""N/A"", ""AMOUNT9"": ""99.25"", ""ClaimQuarter"": ""2"", ""ClaimYear"": ""115"", ""INSURER_Name"": ""台灣人壽保險股份有限公司""}",json-06161610_20260904.json
保誠人壽保險股份有限公司,,2026-04-01,115,2,2026-09-04,IFRS17,93.73,88.94,,6.79,,,,,0.24,,100.39,98.41,97.59,,,,,,,,,,,"{""AMOUNT1"": ""93.73"", ""AMOUNT10"": ""N/A"", ""AMOUNT11"": ""100.39"", ""AMOUNT12"": ""98.41"", ""AMOUNT13"": ""97.59"", ""AMOUNT14"": """", ""AMOUNT15"": ""N/A"", ""AMOUNT16"": ""N/A"", ""AMOUNT17"": ""N/A"", ""AMOUNT18"": ""N/A"", ""AMOUNT19"": ""N/A"", ""AMOUNT2"": ""88.94"", ""AMOUNT20"": ""N/A"", ""AMOUNT21"": ""N/A"", ""AMOUNT22"": ""N/A"", ""AMOUNT23"": ""N/A"", ""AMOUNT3"": ""N/A"", ""AMOUNT4"": ""6.79"", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": """", ""AMOUNT8"": ""N/A"", ""AMOUNT9"": ""0.24"", ""ClaimQuarter"": ""2"", ""ClaimYear"": ""115"", ""INSURER_Name"": ""保誠人壽保險股份有限公司""}",json-06161610_20260904.json
國泰人壽保險股份有限公司,cathay_life,2026-04-01,115,2,2026-09-04,IFRS17,89.62,76.27,,11.78,,,,,90.02,,98.13,97.73,95.13,,,,,,,,,,,"{""AMOUNT1"": ""89.62"", ""AMOUNT10"": ""N/A"", ""AMOUNT11"": ""98.13"", ""AMOUNT12"": ""97.73"", ""AMOUNT13"": ""95.13"", ""AMOUNT14"": """", ""AMOUNT15"": ""N/A"", ""AMOUNT16"": ""N/A"", ""AMOUNT17"": ""N/A"", ""AMOUNT18"": ""N/A"", ""AMOUNT19"": ""N/A"", ""AMOUNT2"": ""76.27"", ""AMOUNT20"": ""N/A"", ""AMOUNT21"": ""N/A"", ""AMOUNT22"": ""N/A"", ""AMOUNT23"": ""N/A"", ""AMOUNT3"": ""N/A"", ""AMOUNT4"": ""11.78"", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": """", ""AMOUNT8"": ""N/A"", ""AMOUNT9"": ""90.02"", ""ClaimQuarter"": ""2"", ""ClaimYear"": ""115"", ""INSURER_Name"": ""國泰人壽保險股份有限公司""}",json-06161610_20260904.json
凱基人壽保險股份有限公司,kgi_life,2026-04-01,115,2,2026-09-04,IFRS17,86.81,75.46,,14.19,,,,,62.69,,101.13,97.05,95.31,,,,,,,,,,,"{""AMOUNT1"": ""86.81"", ""AMOUNT10"": ""N/A"", ""AMOUNT11"": ""101.13"", ""AMOUNT12"": ""97.05"", ""AMOUNT13"": ""95.31"", ""AMOUNT14"": """", ""AMOUNT15"": ""N/A"", ""AMOUNT16"": ""N/A"", ""AMOUNT17"": ""N/A"", ""AMOUNT18"": ""N/A"", ""AMOUNT19"": ""N/A"", ""AMOUNT2"": ""75.46"", ""AMOUNT20"": ""N/A"", ""AMOUNT21"": ""N/A"", ""AMOUNT22"": ""N/A"", ""AMOUNT23"": ""N/A"", ""AMOUNT3"": ""N/A"", ""AMOUNT4"": ""14.19"", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": """", ""AMOUNT8"": ""N/A"", ""AMOUNT9"": ""62.69"", ""ClaimQuarter"": ""2"", ""ClaimYear"": ""115"", ""INSURER_Name"": ""凱基人壽保險股份有限公司""}",json-06161610_20260904.json
南山人壽保險股份有限公司,nanshan_life,2026-04-01,115,2,2026-09-04,IFRS17,90.16,78.18,,10.39,,,,,95.07,,98.96,96.42,94.7,,,,,,,,,,,"{""AMOUNT1"": ""90.16"", ""AMOUNT10"": ""N/A"", ""AMOUNT11"": ""98.96"", ""AMOUNT12"": ""96.42"", ""AMOUNT13"": ""94.70"", ""AMOUNT14"": """", ""AMOUNT15"": ""N/A"", ""AMOUNT16"": ""N/A"", ""AMOUNT17"": ""N/A"", ""AMOUNT18"": ""N/A"", ""AMOUNT19"": ""N/A"", ""AMOUNT2"": ""78.18"", ""AMOUNT20"": ""N/A"", ""AMOUNT21"": ""N/A"", ""AMOUNT22"": ""N/A"", ""AMOUNT23"": ""N/A"", ""AMOUNT3"": ""N/A"", ""AMOUNT4"": ""10.39"", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": """", ""AMOUNT8"": ""N/A"", ""AMOUNT9"": ""95.07"", ""ClaimQuarter"": ""2"", ""ClaimYear"": ""115"", ""INSURER_Name"": ""南山人壽保險股份有限公司""}",json-06161610_20260904.json
國華人壽保險股份有限公司,,2013-01-01,102,1,2026-09-04,IFRS4,2861.78,,,,,,,48.3,,-11.53,,-1.53,92.4,83.8,,,,,,,,,,"{""AMOUNT1"": ""2861.78"", ""AMOUNT10"": ""-11.53"", ""AMOUNT11"": ""N/A"", ""AMOUNT12"": ""-1.53"", ""AMOUNT13"": ""92.40"", ""AMOUNT14"": ""83.80"", ""AMOUNT15"": ""N/A"", ""AMOUNT16"": ""N/A"", ""AMOUNT17"": ""N/A"", ""AMOUNT18"": ""N/A"", ""AMOUNT19"": ""N/A"", ""AMOUNT2"": ""N/A"", ""AMOUNT20"": ""N/A"", ""AMOUNT21"": ""N/A"", ""AMOUNT22"": ""N/A"", ""AMOUNT23"": ""N/A"", ""AMOUNT3"": ""N/A"", ""AMOUNT4"": ""N/A"", ""AMOUNT5"": ""N/A"", ""AMOUNT6"": ""N/A"", ""AMOUNT7"": ""N/A"", ""AMOUNT8"": ""48.30"", ""AMOUNT9"": ""N/A"", ""ClaimQuarter"": ""1"", ""ClaimYear"": ""102"", ""INSURER_Name"": ""國華人壽保險股份有限公司""}",json-06161610_20260904.json
新光人壽保險股份有限公司（115.1.1合併前）,shinkong_life,2025-10-01,114,4,2026-09-04,IFRS4,95.17,90.68,0.24,4.35,2.45,92.4,101.59,33.01,-0.35,5.41,360.18,99.79,96.97,93.52,-0.67,-14.43,0.83,0.79,-16.67,-16.43,-12.26,-3.13,6.95,"{""AMOUNT1"": ""95.17"", ""AMOUNT10"": ""5.41"", ""AMOUNT11"": ""360.18"", ""AMOUNT12"": ""99.79"", ""AMOUNT13"": ""96.97"", ""AMOUNT14"": ""93.52"", ""AMOUNT15"": ""-0.67"", ""AMOUNT16"": ""-14.43"", ""AMOUNT17"": ""0.83"", ""AMOUNT18"": ""0.79"", ""AMOUNT19"": ""-16.67"", ""AMOUNT2"": ""90.68"", ""AMOUNT20"": ""-16.43"", ""AMOUNT21"": ""-12.26"", ""AMOUNT22"": ""-3.13"", ""AMOUNT23"": ""6.95"", ""AMOUNT3"": ""0.24"", ""AMOUNT4"": ""4.35"", ""AMOUNT5"": ""2.45"", ""AMOUNT6"": ""92.40"", ""AMOUNT7"": ""101.59"", ""AMOUNT8"": ""33.01"", ""AMOUNT9"": ""-0.35"", ""ClaimQuarter"": ""4"", ""ClaimYear"": ""114"", ""INSURER_Name"": ""新光人壽保險股份有限公司（115.1.1合併前）""}",json-06161610_20260904.json
富邦人壽保險股份有限公司,fubon_life,2026-04-01,115,2,2026-09-04,IFRS17,85.68,72.05,,15.3,,,,,66.44,,100.31,97.02,95.47,,,,,,,,,,,"{""AMOUNT1"": ""85.68"", ""AMOUNT10"": ""N/A"", ""AMOUNT11"": ""100.31"", ""AMOUNT12"": ""97.02"", ""AMOUNT13"": ""95.47"", ""AMOUNT14"": """", ""AMOUNT15"": ""N/A"", ""AMOUNT16"": ""N/A"", ""AMOUNT17"": ""N/A"", ""AMOUNT18"": ""N/A"", ""AMOUNT19"": ""N/A"", ""AMOUNT2"": ""72.05"", ""AMOUNT20"": ""N/A"", ""AMOUNT21"": ""N/A"", ""AMOUNT22"": ""N/A"", ""AMOUNT23"": ""N/A"", ""AMOUNT3"": ""N/A"", ""AMOUNT4"": ""15.30"", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": """", ""AMOUNT8"": ""N/A"", ""AMOUNT9"": ""66.44"", ""ClaimQuarter"": ""2"", ""ClaimYear"": ""115"", ""INSURER_Name"": ""富邦人壽保險股份有限公司""}",json-06161610_20260904.json
三商美邦人壽保險股份有限公司,,2026-04-01,115,2,2026-09-04,IFRS17,92.76,73.32,,8.8,,,,,14.38,,98.4,96.18,92.85,,,,,,,,,,,"{""AMOUNT1"": ""92.76"", ""AMOUNT10"": ""N/A"", ""AMOUNT11"": ""98.40"", ""AMOUNT12"": ""96.18"", ""AMOUNT13"": ""92.85"", ""AMOUNT14"": """", ""AMOUNT15"": ""N/A"", ""AMOUNT16"": ""N/A"", ""AMOUNT17"": ""N/A"", ""AMOUNT18"": ""N/A"", ""AMOUNT19"": ""N/A"", ""AMOUNT2"": ""73.32"", ""AMOUNT20"": ""N/A"", ""AMOUNT21"": ""N/A"", ""AMOUNT22"": ""N/A"", ""AMOUNT23"": ""N/A"", ""AMOUNT3"": ""N/A"", ""AMOUNT4"": ""8.80"", ""AMOUNT5"": """", ""AMOUNT6"": """", ""AMOUNT7"": """", ""AMOUNT8"": ""N/A"", ""AMOUNT9"": ""14.38"", ""ClaimQuarter"": ""2"", ""ClaimYear"": ""115"", ""INSURER_Name"": ""三商美邦人壽保險股份有限公司""}",json-06161610_20260904.json
