entity_id,uid,page,obs_date,period_kind,vintage,layout,fx_volatility_reserve,special_reserve_liability,other_reserve,policy_reserve,total,items,unnamed_items
cathay_life,03374707,Info2-14,2026-06-30,quarter,2026-09-05,labelled,,0.0,210946.362,,223960.991,"{""service_contract_liability"": 13014.629, ""special_reserve_liability"": 0.0, ""other_reserve"": 210946.362}",{}
fubon_life,27935073,Info2-14,2026-06-30,quarter,2026-09-05,labelled,,0.0,236264.936,,241571.536,"{""service_contract_liability"": 5306.6, ""special_reserve_liability"": 0.0, ""other_reserve"": 236264.936}",{}
kgi_life,03434016,Info2-14,2026-06-30,quarter,2026-09-05,labelled,,0.0,82271.455,,83606.726,"{""service_contract_liability"": 1335.271, ""special_reserve_liability"": 0.0, ""other_reserve"": 82271.455}",{}
nanshan_life,11456006,Info2-14,2026-06-30,quarter,2026-09-05,labelled,,3211.794,251230.607,,257631.221,"{""service_contract_liability"": 3188.82, ""special_reserve_liability"": 3211.794, ""other_reserve"": 251230.607}",{}
shinkong_life,70789634,Info2-14,2026-06-30,quarter,2026-09-05,labelled,,0.0,0.0,,1287.784,"{""service_contract_liability"": 1287.784, ""special_reserve_liability"": 0.0, ""other_reserve"": 0.0}",{}
taiwan_life,03557017,Info2-14,2026-06-30,quarter,2026-09-05,labelled,,0.0,65950.028,,68153.129,"{""service_contract_liability"": 2203.101, ""special_reserve_liability"": 0.0, ""other_reserve"": 65950.028}",{}
cathay_life,03374707,Info2-5,2026-06-30,quarter,2026-09-05,unlabelled,,,,,7630269.969,{},"{""row_1:&nbsp;"": -606.719, ""row_2:&nbsp;"": -31345.587, ""row_3:&nbsp;"": 611723.754, ""row_4:&nbsp;"": 0.0, ""row_5:&nbsp;"": 7041769.723, ""row_6:&nbsp;"": 8728.798}"
fubon_life,27935073,Info2-5,2026-06-30,quarter,2026-09-05,unlabelled,,,,,4632548.931,{},"{""row_1:&nbsp;"": 0.0, ""row_2:&nbsp;"": -37488.829, ""row_3:&nbsp;"": 217655.837, ""row_4:&nbsp;"": 3564.042, ""row_5:&nbsp;"": 4445338.138, ""row_6:&nbsp;"": 3479.743}"
kgi_life,03434016,Info2-5,2026-06-30,quarter,2026-09-05,unlabelled,,,,,2082438.043,{},"{""row_1:&nbsp;"": -8.82, ""row_2:&nbsp;"": -166.279, ""row_3:&nbsp;"": 74760.101, ""row_4:&nbsp;"": 0.0, ""row_5:&nbsp;"": 1995160.867, ""row_6:&nbsp;"": 12692.174}"
nanshan_life,11456006,Info2-5,2026-06-30,quarter,2026-09-05,unlabelled,,,,,4696444.742,{},"{""row_1:&nbsp;"": 0.0, ""row_2:&nbsp;"": -1997.863, ""row_3:&nbsp;"": 174201.017, ""row_4:&nbsp;"": 0.0, ""row_5:&nbsp;"": 4480683.7, ""row_6:&nbsp;"": 43557.888}"
shinkong_life,70789634,Info2-5,2026-06-30,quarter,2026-09-05,unlabelled,,,,,3416599.967,{},"{""row_1:&nbsp;"": 0.0, ""row_2:&nbsp;"": -1447.173, ""row_3:&nbsp;"": 72341.656, ""row_4:&nbsp;"": 0.0, ""row_5:&nbsp;"": 3329753.954, ""row_6:&nbsp;"": 15951.53}"
shinkong_life,03458902,Info2-5,2025-12-31,year_end,2026-09-05,labelled,99586.781,598.685,0.0,3221421.112,3340238.967,"{""unearned_premium"": 13255.869, ""claims_reserve"": 4395.202, ""policy_reserve"": 3221421.112, ""special_reserve_liability"": 598.685, ""premium_deficiency"": 806.702, ""liability_adequacy"": 0.0, ""other_reserve"": 0.0, ""financial_instrument_contract_reserve"": 174.616, ""fx_volatility_reserve"": 99586.781}",{}
shinkong_life,03458902,Info2-5,2024-12-31,year_end,2026-09-05,labelled,45145.827,1396.979,0.0,3268414.896,3332309.921,"{""unearned_premium"": 12122.17, ""claims_reserve"": 4196.4, ""policy_reserve"": 3268414.896, ""special_reserve_liability"": 1396.979, ""premium_deficiency"": 905.718, ""liability_adequacy"": 0.0, ""other_reserve"": 0.0, ""financial_instrument_contract_reserve"": 127.931, ""fx_volatility_reserve"": 45145.827}",{}
shinkong_life,03458902,Info2-5,2023-12-31,year_end,2026-09-05,labelled,13218.699,7011.673,0.0,3254410.93,3290773.104,"{""unearned_premium"": 10963.732, ""claims_reserve"": 4042.526, ""policy_reserve"": 3254410.93, ""special_reserve_liability"": 7011.673, ""premium_deficiency"": 1054.695, ""liability_adequacy"": 0.0, ""other_reserve"": 0.0, ""financial_instrument_contract_reserve"": 70.849, ""fx_volatility_reserve"": 13218.699}",{}
taiwan_life,03557017,Info2-5,2026-06-30,quarter,2026-09-05,unlabelled,,,,,1960770.68,{},"{""row_1:&nbsp;"": 0.0, ""row_2:&nbsp;"": -25331.33, ""row_3:&nbsp;"": 101059.539, ""row_4:&nbsp;"": 0.0, ""row_5:&nbsp;"": 1876843.223, ""row_6:&nbsp;"": 8199.248}"
