basis,flows_are_ytd,foreign_investments,obs_month,reporting_channel,retrieved_at,source_doc,source_id,source_note,source_url,total_assets,vintage
disclosed,False,12780827,2017-01-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 106年1月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2017/01),106-01,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/201801102039450.pdf&filedisplay=201701指標.pdf&flag=doc,22233289,2018-01-10
disclosed,False,13050724,2017-03-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 106年3月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2017/03),106-03,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/201801102041470.pdf&filedisplay=201703指標.pdf&flag=doc,22558732,2018-01-10
disclosed,False,13118308,2017-04-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 106年4月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2017/04),106-04,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/201801102042530.pdf&filedisplay=201704指標.pdf&flag=doc,22689910,2018-01-10
disclosed,False,13175855,2017-05-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 106年5月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2017/05),106-05,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/201801102044250.pdf&filedisplay=201705指標.pdf&flag=doc,22912721,2018-01-10
disclosed,False,13331433,2017-06-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 106年6月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2017/06),106-06,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/201801102045230.pdf&filedisplay=201706指標.pdf&flag=doc,23324039,2018-01-10
disclosed,False,13610677,2017-07-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 106年7月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2017/07),106-07,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/201801102046180.pdf&filedisplay=201707指標.pdf&flag=doc,23578294,2018-01-10
disclosed,False,13771617,2017-08-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 106年8月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2017/08),106-08,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/201801102047180.pdf&filedisplay=201708指標.pdf&flag=doc,23765836,2018-01-10
disclosed,False,14001973,2017-09-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 106年9月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2017/09),106-09,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/201801102048120.pdf&filedisplay=201709指標.pdf&flag=doc,23994893,2018-01-10
disclosed,False,14176755,2017-10-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 106年10月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2017/10),106-10,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/201801102049040.pdf&filedisplay=201710指標.pdf&flag=doc,24105273,2018-01-10
disclosed,False,14311568,2017-11-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 106年11月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2017/11),106-11,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/201802061923160.pdf&filedisplay=201711指標.pdf&flag=doc,24231342,2018-02-06
disclosed,False,14406120,2017-12-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 106年12月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column year-end),106-12,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/201808301059390.pdf&filedisplay=201712指標(調整).pdf&flag=doc,24465010,2018-08-30
disclosed,False,14682289,2018-01-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 107年1月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2018/01),107-01,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/201808301100070.pdf&filedisplay=201801指標(調整).pdf&flag=doc,25045014,2018-08-30
