obs_month,fx_pl,hedge_instr_pl,swap_cost,fx_reserve_net,foreign_investment,vintage,carry_imputed,informative,h_month,h_month_with_reserve,h_roll,h_roll_r2,h_roll_centre,h_roll_carry_imputed,h_roll_with_reserve,published_h
2018-06-01,160100.0,-159260.0,,-2400.0,15644415.0,2018-07-26,True,False,,,,,,,,
2018-07-01,24700.0,-36460.0,,3400.0,15805614.0,2018-08-28,True,False,,,,,,,,
2018-08-01,35200.0,-29660.0,,-5500.0,15970684.0,2018-09-27,True,False,,,,,,,,
2018-09-01,-64900.0,51140.0,,4400.0,16057948.0,2018-10-25,True,False,,,,,,,,
2018-10-01,135500.0,-121260.0,,-10200.0,16175140.0,2018-11-22,True,False,,,,,,,,
2018-11-01,-35400.0,29940.0,,-600.0,16276461.0,2018-12-27,True,False,,,,,,,,
2018-12-01,-37900.0,26640.0,,-2300.0,16307423.0,2019-01-24,True,False,,,,,,,,
2019-01-01,15400.0,-15960.0,,-5500.0,16669719.0,2019-02-26,True,False,,,,,,,,
2019-02-01,12200.0,-9860.0,,-4300.0,16794070.0,2019-03-26,True,False,,,,,,,,
2019-05-01,239800.0,-191060.0,,-32100.0,17396196.0,2019-06-20,True,True,0.7967,0.9306,,,,,,
2019-06-01,-187300.0,153040.0,,18300.0,17385618.0,2019-07-25,True,False,,,,,,,,
2019-07-01,3900.0,-7660.0,,0.0,17452321.0,2019-08-29,True,False,,,0.8518,0.989,2019-01-01,True,0.9432,
2019-08-01,92900.0,-77960.0,,-10600.0,17725555.0,2019-09-26,True,False,,,0.8225,0.995,2019-02-01,True,0.9306,
2019-09-01,-129200.0,98040.0,,13900.0,17717809.0,2019-10-29,True,False,,,0.8124,0.997,2019-05-01,True,0.9215,
2019-10-01,-201900.0,150640.0,,20800.0,17553228.0,2019-11-28,True,True,0.7461,0.8491,0.7976,0.997,2019-06-01,True,0.905,
2019-11-01,17600.0,-21660.0,,1000.0,17596572.0,2019-12-26,True,False,,,0.7985,0.996,2019-06-01,True,0.9066,
2019-12-01,-143500.0,111400.0,-14700.0,3900.0,17599714.0,2020-01-30,False,False,,,0.7863,0.998,2019-08-01,True,0.8886,
2020-01-01,50100.0,-59900.0,-15200.0,2800.0,17740143.0,2020-02-25,False,False,,,0.7915,0.994,2019-08-01,True,0.8924,
2020-02-01,22100.0,-28300.0,-12600.0,200.0,17837281.0,2020-03-26,False,False,,,0.7935,0.993,2019-08-01,True,0.8954,
2020-03-01,-45000.0,46200.0,-11700.0,-1500.0,17581555.0,2020-04-30,False,False,,,0.7958,0.993,2019-08-01,True,0.8958,
2020-04-01,-153700.0,106400.0,-16500.0,18700.0,17717456.0,2020-05-28,False,False,,,0.784,0.991,2019-09-01,True,0.8863,
2020-05-01,81100.0,-93200.0,-14300.0,2000.0,18012442.0,2020-06-30,False,False,,,0.7946,0.978,2019-10-01,True,0.8801,
2020-06-01,-137700.0,119800.0,-13400.0,1800.0,18145080.0,2020-07-30,False,False,,,0.7992,0.975,2020-01-01,True,0.8719,
2020-07-01,-44700.0,38200.0,-13700.0,-6900.0,18423140.0,2020-08-27,False,False,,,0.7998,0.975,2020-01-01,True,0.8694,
2020-08-01,21900.0,-15500.0,-12000.0,-11000.0,18476330.0,2020-10-06,False,False,,,0.797,0.972,2020-01-01,True,0.8652,
2020-09-01,-157100.0,130600.0,-11200.0,13900.0,18250807.0,2020-10-29,False,False,,,0.8074,0.974,2020-03-01,True,0.8745,
2020-10-01,-79000.0,79500.0,-11700.0,-5900.0,18174899.0,2020-11-26,False,False,,,0.8418,0.97,2020-05-01,True,0.8874,
2020-11-01,-20100.0,11600.0,-12900.0,-2500.0,18553098.0,2020-12-24,False,False,,,0.8397,0.969,2020-05-01,False,0.8849,
