firm_id,fy,eev_tn,yen_gap_tn_years,gap_two_sided_tn_years,estimator,shock_floor,shock_scope,asset_dollar_duration_tn_years,d_vif_up_tn,ufr_held_fixed,risk_margin_treatment,source_document,source_page,extraction_method,flags,general_account_assets_tn,assets_consolidation,asset_basis,years_gap
dai_ichi,2008,1.7959,-80.36,-87.97,one_sided_up,floored_at_zero,jpy_only,120.78,0.9917999999999999,False,undisclosed,raw/dai_ichi/2008/eev/index_007.pdf,17.0,parsed,down_shock_unusable:floored_at_zero;one_sided_estimator_convexity_uncancelled;reinvestment_bias_negative;anw_asset_duration_available;years_gap_unavailable:no_asset_value;legacy_english_format;ufr_shock_treatment_not_disclosed,30.022243,non_consolidated,book_unadjusted,-2.6766820853458553
dai_ichi,2009,2.868,-67.86,-75.53,one_sided_up,floored_at_zero,jpy_only,119.33,0.9498,False,undisclosed,raw/dai_ichi/2009/eev/index_009.pdf,18.0,parsed,down_shock_unusable:floored_at_zero;one_sided_estimator_convexity_uncancelled;reinvestment_bias_negative;anw_asset_duration_available;years_gap_unavailable:no_asset_value;legacy_english_format;ufr_shock_treatment_not_disclosed,30.822467,non_consolidated,book_unadjusted,-2.201640770675495
dai_ichi,2010,2.4796,-56.16,-63.86,one_sided_up,floored_at_zero,undisclosed,136.06,0.9611,False,undisclosed,raw/dai_ichi/2010/eev/2010_index_001.pdf,18.0,parsed,down_shock_unusable:floored_at_zero;one_sided_estimator_convexity_uncancelled;needs_currency_bridge:undisclosed;reinvestment_bias_negative;anw_asset_duration_available;years_gap_unavailable:no_asset_value,30.869661,non_consolidated,book_unadjusted,-1.8192619607970426
dai_ichi,2011,2.715,-55.56,-63.64,one_sided_up,floored_at_zero,undisclosed,171.28,1.1342,False,undisclosed,raw/dai_ichi/2011/eev/2011_index_001.pdf,24.0,parsed,down_shock_unusable:floored_at_zero;one_sided_estimator_convexity_uncancelled;needs_currency_bridge:undisclosed;reinvestment_bias_negative;anw_asset_duration_available;years_gap_unavailable:no_asset_value,31.46194,non_consolidated,book_unadjusted,-1.7659432317269692
dai_ichi,2012,3.3529,-54.52,-64.12,one_sided_up,floored_at_zero,undisclosed,195.28,1.249,False,undisclosed,raw/dai_ichi/2012/eev/2012_index_001.pdf,22.0,parsed,down_shock_unusable:floored_at_zero;one_sided_estimator_convexity_uncancelled;needs_currency_bridge:undisclosed;reinvestment_bias_negative;anw_asset_duration_available;years_gap_unavailable:no_asset_value,33.0724,non_consolidated,book_unadjusted,-1.6485044931725548
dai_ichi,2013,4.2685,-42.26,-51.67,one_sided_up,floored_at_zero,undisclosed,199.28,1.2077,False,undisclosed,raw/dai_ichi/2013/eev/2013_index_001.pdf,22.0,parsed,down_shock_unusable:floored_at_zero;one_sided_estimator_convexity_uncancelled;needs_currency_bridge:undisclosed;reinvestment_bias_negative;anw_asset_duration_available;years_gap_unavailable:no_asset_value,34.0288,non_consolidated,book_unadjusted,-1.2418892232461916
dai_ichi,2014,5.7008,-71.38,-81.13,one_sided_up,floored_at_zero,undisclosed,225.92,1.4865,False,undisclosed,raw/dai_ichi/2014/eev/2014_index_001.pdf,26.0,parsed,down_shock_unusable:floored_at_zero;one_sided_estimator_convexity_uncancelled;needs_currency_bridge:undisclosed;reinvestment_bias_negative;anw_asset_duration_available;years_gap_unavailable:no_asset_value,36.828768,non_consolidated,book_unadjusted,-1.9381587784853407
dai_ichi,2015,4.4414,-102.0,-87.07,one_sided_up,undisclosed,undisclosed,249.22,1.7561,True,undisclosed,raw/dai_ichi/2015/eev/2015_index_001.pdf,29.0,parsed,down_shock_unusable:undisclosed;one_sided_estimator_convexity_uncancelled;needs_currency_bridge:undisclosed;reinvestment_bias_negative;anw_asset_duration_available;ufr_held_fixed_under_shock;years_gap_unavailable:no_asset_value,35.894956,non_consolidated,book_unadjusted,-2.8416248789941405
dai_ichi,2016,4.4276,-97.16,-97.16,two_sided,none,undisclosed,262.06,1.6759,True,undisclosed,raw/dai_ichi/2016/eev/2016_index_004.pdf,33.0,parsed,needs_currency_bridge:undisclosed;reinvestment_bias_negative;anw_asset_duration_available;ufr_held_fixed_under_shock;years_gap_unavailable:no_asset_value,35.686645,non_consolidated,book_unadjusted,-2.722587119074937
dai_ichi,2017,4.887,-101.4,-101.4,two_sided,none,undisclosed,261.44,1.6926,True,undisclosed,raw/dai_ichi/2017/eev/2017_index_002.pdf,35.0,parsed,needs_currency_bridge:undisclosed;reinvestment_bias_negative;anw_asset_duration_available;ufr_held_fixed_under_shock;years_gap_unavailable:no_asset_value,36.33919,non_consolidated,book_unadjusted,-2.7903758999581445
