fy,years_gap,basis,firms,note
2008,-2.677,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2009,-2.259,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2010,-1.613,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2011,-1.618,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2012,-1.498,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2013,-0.733,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2014,-1.217,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2015,-2.456,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2016,-1.878,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2017,-1.621,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2018,-1.919,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2019,-1.992,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2020,-0.958,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2021,-0.868,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2022,-0.706,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2023,-0.009,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2024,0.075,eev_composite_4_firms,"dai_ichi,meiji_yasuda,sumitomo,japan_post",asset minus liability rate sensitivity in years of duration; negative = liabilities more rate-sensitive than assets (liability-long)
2025,-0.058,statutory_7_firms,"meiji_yasuda,asahi,sumitomo,daido,nippon,japan_post,taiyo","statutory cross-section at March 2026, 7 firms, not like-for-like with the EEV composite; JLIM plots it dashed and calls it provisional"
