firm_id,fy,period,hedge_notional_yen_bn,fx_asset_total_yen_bn,accounting_ratio_pct,ratio_type,hedge_accounting_scope,denominator
asahi,2008,annual,294.732,335.974,87.7,accounting,applied_only,all_foreign_securities
fukoku,2008,annual,126.50900000000001,441.71,28.6,accounting,applied_only,all_foreign_securities
asahi,2009,annual,278.438,309.645,89.9,accounting,applied_only,all_foreign_securities
fukoku,2009,annual,146.365,458.695,31.9,accounting,applied_only,all_foreign_securities
japan_post,2009,annual,89.354,518.195,17.2,accounting,applied_only,all_foreign_securities
meiji_yasuda,2009,annual,851.091,1899.026,44.8,accounting,applied_only,all_foreign_securities
sumitomo,2009,annual,1611.785,1879.131,85.8,accounting,applied_only,all_foreign_securities
taiju,2009,annual,110.994,616.35,18.0,accounting,applied_only,all_foreign_securities
taiyo,2009,annual,669.183,915.252,73.1,accounting,applied_only,all_foreign_securities
asahi,2010,annual,201.53,240.456,83.8,accounting,applied_only,all_foreign_securities
fukoku,2010,annual,130.704,696.207,18.8,accounting,applied_only,all_foreign_securities
japan_post,2010,annual,77.114,485.702,15.9,accounting,applied_only,all_foreign_securities
meiji_yasuda,2010,annual,877.804,2510.685,35.0,accounting,applied_only,all_foreign_securities
sumitomo,2010,annual,1933.873,2279.42,84.8,accounting,applied_only,all_foreign_securities
taiju,2010,annual,93.983,594.014,15.8,accounting,applied_only,all_foreign_securities
taiyo,2010,annual,710.597,928.3,76.5,accounting,applied_only,all_foreign_securities
asahi,2011,annual,158.567,184.522,85.9,accounting,applied_only,all_foreign_securities
daido,2011,annual,201.322,479.269,42.0,accounting,applied_only,all_foreign_securities
fukoku,2011,annual,115.58900000000001,770.441,15.0,accounting,applied_only,all_foreign_securities
japan_post,2011,annual,46.682,380.605,12.3,accounting,applied_only,all_foreign_securities
meiji_yasuda,2011,annual,683.264,2723.128,25.1,accounting,applied_only,all_foreign_securities
sumitomo,2011,annual,1891.743,2498.552,75.7,accounting,applied_only,all_foreign_securities
taiju,2011,annual,70.988,575.154,12.3,accounting,applied_only,all_foreign_securities
taiyo,2011,annual,690.191,956.873,72.1,accounting,applied_only,all_foreign_securities
asahi,2012,annual,207.74900000000002,226.414,91.8,accounting,applied_only,all_foreign_securities
daido,2012,annual,410.69,700.867,58.6,accounting,applied_only,all_foreign_securities
fukoku,2012,annual,139.52200000000002,959.813,14.5,accounting,applied_only,all_foreign_securities
japan_post,2012,annual,263.203,658.954,39.9,accounting,applied_only,all_foreign_securities
meiji_yasuda,2012,annual,1660.463,4258.637,39.0,accounting,applied_only,all_foreign_securities
sumitomo,2012,annual,2584.727,3699.814,69.9,accounting,applied_only,all_foreign_securities
taiju,2012,annual,70.99,736.99,9.6,accounting,applied_only,all_foreign_securities
taiyo,2012,annual,779.915,1324.248,58.9,accounting,applied_only,all_foreign_securities
asahi,2013,annual,254.82800000000003,248.394,102.6,accounting,applied_only,all_foreign_securities
daido,2013,annual,541.284,867.571,62.4,accounting,applied_only,all_foreign_securities
fukoku,2013,annual,364.79,1302.072,28.0,accounting,applied_only,all_foreign_securities
japan_post,2013,annual,404.256,1128.78,35.8,accounting,applied_only,all_foreign_securities
meiji_yasuda,2013,annual,2058.116,5008.45,41.1,accounting,applied_only,all_foreign_securities
sumitomo,2013,annual,2957.627,3856.203,76.7,accounting,applied_only,all_foreign_securities
taiju,2013,annual,67.992,823.347,8.3,accounting,applied_only,all_foreign_securities
taiyo,2013,annual,1354.518,1676.699,80.8,accounting,applied_only,all_foreign_securities
asahi,2014,annual,452.876,467.198,96.9,accounting,applied_only,all_foreign_securities
daido,2014,annual,1046.552,1440.519,72.7,accounting,applied_only,all_foreign_securities
fukoku,2014,annual,524.132,1572.701,33.3,accounting,applied_only,all_foreign_securities
japan_post,2014,annual,363.12,2196.349,16.5,accounting,applied_only,all_foreign_securities
meiji_yasuda,2014,annual,2390.33,6452.535,37.0,accounting,applied_only,all_foreign_securities
sumitomo,2014,annual,3329.371,4473.488,74.4,accounting,applied_only,all_foreign_securities
taiju,2014,annual,78.973,1081.261,7.3,accounting,applied_only,all_foreign_securities
taiyo,2014,annual,1271.226,1944.604,65.4,accounting,applied_only,all_foreign_securities
asahi,2015,annual,642.674,573.558,112.1,accounting,applied_only,all_foreign_securities
daido,2015,annual,1174.9170000000001,1570.76,74.8,accounting,applied_only,all_foreign_securities
fukoku,2015,annual,1045.081,1875.134,55.7,accounting,applied_only,all_foreign_securities
japan_post,2015,annual,1693.683,3949.417,42.9,accounting,applied_only,all_foreign_securities
meiji_yasuda,2015,annual,2162.91,7111.751,30.4,accounting,applied_only,all_foreign_securities
sumitomo,2015,annual,4395.293,5725.806,76.8,accounting,applied_only,all_foreign_securities
taiju,2015,annual,71.931,1249.385,5.8,accounting,applied_only,all_foreign_securities
taiyo,2015,annual,1375.099,1976.254,69.6,accounting,applied_only,all_foreign_securities
asahi,2016,annual,722.307,543.295,132.9,accounting,applied_only,all_foreign_securities
dai_ichi,2016,annual,6311.533,8407.769,75.1,accounting,applied_only,all_foreign_securities
daido,2016,annual,1302.528,1708.228,76.3,accounting,applied_only,all_foreign_securities
fukoku,2016,annual,966.608,1966.868,49.1,accounting,applied_only,all_foreign_securities
japan_post,2016,annual,2438.39,4753.649,51.3,accounting,applied_only,all_foreign_securities
meiji_yasuda,2016,annual,2892.258,8041.467,36.0,accounting,applied_only,all_foreign_securities
sumitomo,2016,annual,5736.315,7367.77,77.9,accounting,applied_only,all_foreign_securities
taiju,2016,annual,62.899,1429.006,4.4,accounting,applied_only,all_foreign_securities
taiyo,2016,annual,1470.684,1947.246,75.5,accounting,applied_only,all_foreign_securities
asahi,2017,annual,893.6759999999999,646.941,138.1,accounting,applied_only,all_foreign_securities
dai_ichi,2017,annual,6303.424,8938.137,70.5,accounting,applied_only,all_foreign_securities
daido,2017,annual,1366.774,1886.449,72.5,accounting,applied_only,all_foreign_securities
fukoku,2017,annual,615.945,1998.72,30.8,accounting,applied_only,all_foreign_securities
japan_post,2017,annual,2704.698,4748.512,57.0,accounting,applied_only,all_foreign_securities
meiji_yasuda,2017,annual,3416.5099999999998,8524.354,40.1,accounting,applied_only,all_foreign_securities
sumitomo,2017,annual,7270.236,9252.661,78.6,accounting,applied_only,all_foreign_securities
