obs_month,net_yen_bn,rolling12_yen_bn,source_url,source_doc,vintage
2005-01,-411.3,,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2005-02,-218.2,,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2005-03,-181.6,,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2005-04,316.2,,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2005-05,122.1,,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2005-06,92.3,,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2005-07,715.2,,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2005-08,-333.4,,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2005-09,-643.8,,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2005-10,153.9,,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
