event_id,lang,url,page,deck_period,yield_pre_hedge_pct_series,hedging_cost_pct_series,fx_reserve_ntd_bn_series,cs_ndf_pct,naked_usd_other_pct,overseas_equity_pct,fx_risk_pct,fx_policy_pct
203,CH,https://www.irpro.co/2883/events/203/CH/20230531163929-1.pdf,20,1Q23,"{""1Q22"": 3.15, ""1Q23"": 3.4, ""2020"": 3.83, ""2021"": 3.51, ""2022"": 3.75}",{},"{""1Q22"": 6.74, ""1Q23"": 9.53, ""2020"": 4.02, ""2021"": 3.35, ""2022"": 10.89}",,,,68.0,32.0
204,EN,https://www.irpro.co/2883/events/204/EN/20230531164010-1.pdf,20,1Q23,"{""1Q22"": 3.15, ""1Q23"": 3.4, ""2020"": 3.83, ""2021"": 3.51, ""2022"": 3.75}",{},"{""1Q22"": 6.74, ""1Q23"": 9.53, ""2020"": 4.02, ""2021"": 3.35, ""2022"": 10.89}",,,20.0,68.0,32.0
205,CH,https://www.irpro.co/2883/events/205/CH/20230830142321-1.pdf,20,1H23,"{""1H22"": 3.47, ""1H23"": 3.66, ""2020"": 3.83, ""2021"": 3.51, ""2022"": 3.75}",{},"{""1H22"": 9.42, ""1H23"": 11.51, ""2020"": 4.02, ""2021"": 3.35, ""2022"": 10.89}",,,,68.0,32.0
206,EN,https://www.irpro.co/2883/events/206/EN/20230830142410-1.pdf,20,1H23,"{""1H22"": 3.47, ""1H23"": 3.66, ""2020"": 3.83, ""2021"": 3.51, ""2022"": 3.75}",{},"{""1H22"": 9.42, ""1H23"": 11.51, ""2020"": 4.02, ""2021"": 3.35, ""2022"": 10.89}",,,,,32.0
207,CH,https://www.irpro.co/2883/events/207/CH/20231128135857-1.pdf,20,9M23,"{""9M22"": 3.75, ""9M23"": 3.85, ""2020"": 3.83, ""2021"": 3.51, ""2022"": 3.75}",{},"{""9M22"": 16.53, ""9M23"": 16.53, ""2020"": 4.02, ""2021"": 3.35, ""2022"": 10.89}",65.0,26.0,,68.0,32.0
208,EN,https://www.irpro.co/2883/events/208/EN/20231128135824-1.pdf,20,9M23,"{""9M22"": 3.75, ""9M23"": 3.85, ""2020"": 3.83, ""2021"": 3.51, ""2022"": 3.75}",{},"{""9M22"": 16.53, ""9M23"": 16.53, ""2020"": 4.02, ""2021"": 3.35, ""2022"": 10.89}",,26.0,9.0,,32.0
209,CH,https://www.irpro.co/2883/events/209/CH/20240327140345-1.pdf,21,23,"{""2020"": 3.83, ""2021"": 3.51, ""2022"": 3.75, ""2023"": 3.86}",{},"{""2020"": 4.02, ""2021"": 3.35, ""2022"": 10.89, ""2023"": 9.77}",,,8.0,68.0,32.0
210,EN,https://www.irpro.co/2883/events/210/EN/20240327140435-1.pdf,21,23,"{""2020"": 3.83, ""2021"": 3.51, ""2022"": 3.75, ""2023"": 3.86}",{},"{""2020"": 4.02, ""2021"": 3.35, ""2022"": 10.89, ""2023"": 9.77}",,26.0,,,32.0
211,CH,https://www.irpro.co/2883/events/211/CH/20240528162124-1.pdf,18,1Q24,"{""1Q23"": 3.4, ""1Q24"": 3.45, ""2021"": 3.51, ""2022"": 3.75, ""2023"": 3.86}",{},"{""1Q23"": 9.53, ""1Q24"": 13.9, ""2021"": 3.35, ""2022"": 10.89, ""2023"": 9.77}",60.0,31.0,9.0,68.0,32.0
212,EN,https://www.irpro.co/2883/events/212/EN/20240528162529-1.pdf,18,1Q24,"{""1Q23"": 3.4, ""1Q24"": 3.45, ""2021"": 3.51, ""2022"": 3.75, ""2023"": 3.86}",{},"{""1Q23"": 9.53, ""1Q24"": 13.9, ""2021"": 3.35, ""2022"": 10.89, ""2023"": 9.77}",60.0,31.0,9.0,,32.0
213,CH,https://www.irpro.co/2883/events/213/CH/20240902142126-1.pdf,16,1H24,"{""1H23"": 3.66, ""1H24"": 3.57, ""2021"": 3.51, ""2022"": 3.75, ""2023"": 3.86}",{},"{""1H23"": 11.51, ""1H24"": 16.79, ""2021"": 3.35, ""2022"": 10.89, ""2023"": 9.77}",,38.0,8.0,68.0,32.0
214,EN,https://www.irpro.co/2883/events/214/EN/20250304162942-1.pdf,16,1H24,"{""1H23"": 3.66, ""1H24"": 3.57, ""2021"": 3.51, ""2022"": 3.75, ""2023"": 3.86}",{},"{""1H23"": 11.51, ""1H24"": 16.79, ""2021"": 3.35, ""2022"": 10.89, ""2023"": 9.77}",54.0,38.0,8.0,,
215,CH,https://www.irpro.co/2883/events/215/CH/20241128153013-1.pdf,16,9M24,"{""9M23"": 3.85, ""9M24"": 3.88, ""2021"": 3.51, ""2022"": 3.75, ""2023"": 3.86}",{},"{""9M23"": 16.53, ""9M24"": 13.26, ""2021"": 3.35, ""2022"": 10.89, ""2023"": 9.77}",,40.0,8.0,68.0,32.0
