co_id,entity_id,year,q,report,obs_quarter,assets_mn,liabilities_mn,equity_mn,fx_reserve_mn,fx_reserve_net_change_ytd_mn
2823,kgi_life,2025,4,A,2025-10-01,2542383.934,2341548.506,200835.428,43372.327,-12667.117
2823,kgi_life,2026,1,A,2026-01-01,2518852.626,2271698.032,247154.594,,-1461.764
2823,kgi_life,2026,2,A,2026-04-01,2644052.38,2295303.857,348748.523,,-5621.52
2833,taiwan_life,2026,1,C,2026-01-01,2378544.911,2174663.383,203881.528,,-2044.375
2833,taiwan_life,2026,2,C,2026-04-01,2538026.754,2185649.813,352376.941,,-5410.448
5865,fubon_life,2025,4,C,2025-10-01,6388704.628,5751542.922,637161.706,142124.635,-112638.262
5865,fubon_life,2026,1,C,2026-01-01,6275251.737,5638239.853,637011.884,,-5264.372
5865,fubon_life,2026,2,C,2026-04-01,6604842.795,5713909.769,890933.026,,-11552.634
5874,nanshan_life,2025,4,C,2025-10-01,5631365.122,5274298.703,357066.419,68045.189,-4350.884
5874,nanshan_life,2026,2,C,2026-04-01,5776294.449,5213330.284,562964.165,,-13613.657
6985,shinkong_life,2026,1,C,2026-01-01,4087355.822,3805114.698,282241.124,,-613.877
6985,shinkong_life,2026,2,C,2026-04-01,4209479.534,3805844.974,403634.56,,-5025.683
