民國年月,資產/GDP(比率),資產報酬率(ROA)(比率),權益報酬率(ROE)(稅前)(比率),權益報酬率(ROE)(稅後)(比率),資本適足率(比率),權益/投資性資產(比率)
10503,117.63,0.23,4.53,4.03,-,5.93
10506,120.91,0.45,8.67,7.49,278.38,5.87
10509,123.12,0.58,10.81,10.05,-,6.24
10512,126.51,0.5,9.98,9.86,301.25,5.57
10603,125.24,-0.08,-1.58,0.44,-,5.62
10606,129.47,0.26,4.98,5.99,300.72,5.95
10609,133.21,0.58,10.98,11.29,-,6.08
10612,135.81,0.5,9.42,9.92,304.9,6.2
10703,135.77,0.66,11.77,15.81,-,6.22
10706,140.56,0.51,9.47,11.72,309.74,5.89
10709,142.56,0.61,11.27,12.07,-,5.87
10712,142.87,0.33,6.82,7.81,268.43,4.6
10803,145.03,0.49,10.13,9.19,-,6.02
10806,149.2,0.68,13.16,11.74,297.01,6.77
10809,152.4,0.84,15.81,13.93,-,7.13
10812,154.91,0.55,10.24,9.65,292.54,7.29
10903,144.98,0.87,14.93,14.02,-,5.54
10906,151.02,0.74,11.02,10.39,285.36,7.55
10909,153.96,0.87,12.71,12.21,-,7.88
10912,158.59,0.67,9.27,9.38,299.13,8.8
11003,147.72,2.15,27.97,25.15,-,8.27
11006,149.87,1.61,20.07,18.69,325.88,8.99
11009,150.75,1.49,18.89,17.68,-,8.69
11012,153.13,1.19,14.83,13.78,335.17,9.1
11103,146.95,1.54,20.96,17.64,-,7.3
11106,144.26,1.29,21.5,17.89,324.99,4.34
11109,147.29,1.18,22.34,18.62,-,2.85
11112,147.34,0.51,7.97,6.77,297.82,5.34
11203,143.81,-0.31,-6.03,-3.55,-,6.31
11206,147.12,0.3,5.71,6.21,290.95,6.7
11209,149.12,0.68,13.11,11.96,-,6.36
11212,147.91,0.24,4.2,4.6,298.09,7.27
11303,139.66,1.08,16.24,15.05,-,7.85
11306,141.76,1.2,17.57,16.38,318.59,8.26
11309,140.78,1.1,15.93,14.74,-,8.36
11312,143.37,0.88,13.06,12.38,331.95,8
11403,128.69,0.92,13.57,11.69,-,7.44
11406,124.13,0.02,0.29,1.55,312.03,7.09
11409,127.48,0.33,4.67,5.8,-,8.25
11412,131.22,0.42,5.92,6.83,315.09,8.24
11503,111.19,1.04,13.92,12.24,-,8.86
