年度,月份,壽險股票(億元),壽險債券(億元),產險股票(億元),產險債券(億元)
2024,12,25565,218869,502,994
2025,01,25452,218663,502,1001
2025,02,24969,219523,516,1007
2025,03,23458,221556,484,1027
2025,04,22382,214125,448,1035
2025,05,22291,201789,463,1021
2025,06,24051,201952,485,1037
2025,07,24676,203199,511,1043
2025,08,26353,208605,550,1059
2025,09,27072,209428,567,1081
2025,10,28175,212149,604,1083
2025,11,26264,217118,599,1104
2025,12,25796,217963,616,1114
2026,01,29808,209149,648,1129
2026,02,31834,209432,708,1129
2026,03,28231,211318,673,1148
2026,04,35914,210672,790,1160
2026,05,38749,210293,840,1165
2026,06,38425,213242,876,1210	
2026,07,35098,214795,778,1219
