年,月,銀行存款_金額,銀行存款_占率,有價證券_金額,有價證券_占率,公債及國庫券_金額,公債及國庫券_占率,金融債券存單匯票與本票_金額,金融債券存單匯票與本票_占率,股票_金額,股票_占率,公司債_金額,公司債_占率,基金及受益憑證_金額,基金及受益憑證_占率,證劵化商品及其他_金額,證劵化商品及其他_占率,不動產_金額,不動產_占率,投資用_金額,投資用_占率,自用_金額,自用_占率,壽險貸款_金額,壽險貸款_占率,放款_金額,放款_占率,國外投資_金額,國外投資_占率,專案運用及公共投資_金額,專案運用及公共投資_占率,投資保險相關事業_金額,投資保險相關事業_占率,從事衍生性商品交易_金額,從事衍生性商品交易_占率,其他經核准之資金運用_金額,其他經核准之資金運用_占率,資金運用總額_金額,資金運用總額_占率,資金總額_金額,資金總額_占率,資產總額_金額,資產總額_占率,資金運用率_金額,資金運用率_占率,備註
2011,,705586,6.15,4701699,40.99,2445461,21.32,774614,6.75,713844,6.22,519105,4.53,150735,1.31,97941,0.85,543463,4.74,461322,4.02,82141,0.72,569041,4.96,569507,4.97,4327024,37.73,17030,0.15,9586,0.08,13988,0.12,12570,0.11,11469494,100.00,11614795,,13051676,,,98.75,"資料來源：財團法人保險事業發展中心(2022年9月前)；
　　　　　財團法人保險安定基金(2022年9月起)
註：1.資金運用率為資金運用總額與資金總額之比率。
註：2.2024年資料尚未經會計師查核簽證。
註：3.本表自2011年起適用保險法第一四六條相關條文修正，部份項目配合調整。
註：4.本表紙本印刷僅公布近5年統計，其餘年度詳中心網站(https://www.tii.org.tw/tii/information/information1/000001.html)
註：5.本表自2022年9月起資金運用項目包含「抵繳存出保證金」及「墊繳保費」，並將RS(附賣回條件債券投資)歸入「其他經核准之資金運用」項下。"
2012,,813423,6.24,5029684,38.60,2471116,18.96,847006,6.50,870985,6.68,584669,4.49,151954,1.17,103955,0.80,642903,4.93,550460,4.22,92444,0.71,557819,4.28,631634,4.85,5290579,40.60,17420,0.13,12557,0.10,21005,0.16,14297,0.11,13031322,100.00,13158782,,14712083,,,99.03
2013,,708878,4.83,5325451,36.28,2469572,16.83,775067,5.28,1091072,7.43,645939,4.40,249921,1.70,93879,0.64,819790,5.59,702443,4.79,117347,0.80,556811,3.79,819819,5.59,6396747,43.58,17574,0.12,6850,0.05,9456,0.06,16280,0.11,14677656,100.00,14590239,,16496910,,,100.60
2014,,378033,2.30,5147895,31.27,2305671,14.00,716153,4.35,1237517,7.52,613791,3.73,172758,1.05,102004,0.62,1089781,6.62,970965,5.90,118816,0.72,542909,3.30,940560,5.71,8273352,50.25,23286,0.14,4124,0.03,-9606,-0.06,74482,0.45,16464816,100.00,16379602,,18635127,,,100.52
2015,,278159,1.54,4762975,26.32,2116760,11.70,706190,3.90,1094944,6.05,500319,2.77,268727,1.49,76036,0.42,1146574,6.34,1011131,5.59,135443,0.75,543849,3.01,874051,4.83,10419906,57.59,51084,0.28,4400,0.02,-9975,-0.06,23393,0.13,18094414,100.00,18049908,,20278304,,,100.25
2016,,407335,2.03,4407992,22.00,1789345,8.93,620930,3.10,1230724,6.14,493329,2.46,194931,0.97,78732,0.39,1196248,5.97,1051655,5.25,144593,0.72,543917,2.71,827726,4.13,12589119,62.82,53867,0.27,10898,0.05,-9382,-0.05,10672,0.05,20038393,100.00,20024242,,22247223,,,100.07
2017,,525813,2.38,4559076,20.60,1681965,7.60,550616,2.49,1512889,6.84,482748,2.18,227379,1.03,103479,0.47,1218348,5.51,1077707,4.87,140640,0.64,541324,2.45,794942,3.59,14406349,65.10,59021,0.27,11285,0.05,9881,0.04,4500,0.02,22130539,100.00,22111983,,24462565,,,100.08
2018,,402614,1.70,4432759,18.66,1330123,5.60,540362,2.28,1510045,6.36,451907,1.90,152955,0.64,447367,1.88,1231737,5.19,1090959,4.59,140778,0.59,563990,2.37,750860,3.16,16305518,68.65,65581,0.28,11076,0.05,-13466,-0.06,0,0.00,23750669,100.00,23783404,,26322170,,,99.86
2019,,720879,2.72,5506763,20.81,1242812,4.70,615636,2.33,1540527,5.82,488200,1.84,202206,0.76,1417383,5.36,1302576,4.92,1155123,4.36,147453,0.56,570722,2.16,675953,2.55,17596964,66.49,63951,0.24,11693,0.04,15150,0.06,0,0.00,26464651,100.00,26374893,,29392070,,,100.34
2020,,896216,3.13,6349100,22.20,1459242,5.10,736217,2.57,1859684,6.50,610119,2.13,322808,1.13,1361029,4.76,1482094,5.18,1352108,4.73,129986,0.45,551364,1.93,638087,2.23,18550380,64.86,80926,0.28,12733,0.04,39035,0.14,0,0.00,28599936,100.00,28491277,,31752150,,,100.38
2021,,660422,2.21,6569788,21.96,1402419,4.69,796756,2.66,2166217,7.24,678037,2.27,157669,0.53,1368690,4.57,1522862,5.09,1375052,4.60,147810,0.49,561407,1.88,616875,2.06,19878660,66.43,91181,0.30,13297,0.04,8985,0.03,0,0.00,29923477,100.00,29905773,,33342734,,,100.06
2022,,434137,1.44,5634809,18.74,1124436,3.74,821588,2.73,1601936,5.33,683930,2.28,154596,0.51,1248323,4.15,1575018,5.24,1427675,4.75,147344,0.49,546398,1.82,580387,1.93,21184914,70.47,93067,0.31,5046,0.02,7982,0.03,0,0.00,30061759,100.00,30024455,,33623783,,,100.12
2023,,1.19,,19.16,,3.11,,2.32,,6.14,,1.99,,0.50,,5.09,,5.19,,4.70,,0.49,,1.98,,1.56,,69.95,,0.42,,0.04,,0.07,,0.45,,100.00,,,,,,99.09,
2024,,409891,1.25,6212549,19.01,869001,2.66,674905,2.07,1991678,6.10,623921,1.91,150344,0.46,1902699,5.82,1652051,5.06,1500425,4.59,151626,0.46,650650,1.99,455032,1.39,23025710,70.47,145591,0.45,15209,0.05,-20450,-0.06,127293,0.39,32673525,100.00,32986404,,36900415,,,99.05
2025,,710487,2.13,6589073,19.78,817012,2.45,774116,2.32,2024408,6.08,729446,2.19,290623,0.87,1953467,5.86,1730431,5.19,1571247,4.72,159184,0.48,671995,2.02,523198,1.57,22765264,68.33,182483,0.55,15208,0.05,-24671,-0.07,151765,0.46,33315232,100.00,33737495,,37698055,,,98.75
2026,05,491802,1.45,7932703,23.34,992838,2.92,595567,1.75,3120434,9.18,727834,2.14,233215,0.69,2262814,6.66,1807342,5.32,1633374,4.81,173969,0.51,687497,2.02,570214,1.68,22154213,65.19,181281,0.53,16926,0.05,1395,0.00,142121,0.42,33985494,100.00,34747433,,38689074,,,97.81
