line_code,line_label_en,line_label_zh,obs_month,retrieved_at,source_doc,source_url,value_ntd_mn,vintage
foreign_assets,Foreign assets,國外資產,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,12076776,2026-07-01
loans,Loans,放款,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,1495752,2026-07-01
portfolio_nonfin_total,"Portfolio investments in entities excluding financial institutions, subtotal",對非金融機構證券投資 計,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,3688155,2026-07-01
portfolio_nonfin_govt,Government agencies,政府機關,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,1754221,2026-07-01
portfolio_nonfin_govt_ent,Government enterprises,公營事業,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,146988,2026-07-01
portfolio_nonfin_private,Private enterprises,民營企業,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,1786946,2026-07-01
portfolio_fin,Portfolio investments in financial institutions,對金融機構證券投資,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,779334,2026-07-01
real_estate,Real estate investments,不動產投資,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,990245,2026-07-01
claims_on_fin,Claims on financial institutions,對金融機構債權,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,665448,2026-07-01
cash_in_vaults,Cash in vaults,庫存現金,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,322,2026-07-01
other_assets,Other assets,其他資產,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,2552781,2026-07-01
total_assets,Total assets = total liabilities and equity,資產合計,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,22248813,2026-07-01
life_and_ic_liabilities,Life insurance and investment contract liabilities,人壽保險與投資合約負債,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,18944639,2026-07-01
other_liabilities,Other liabilities,其他負債,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,2191014,2026-07-01
equity,Equity,權益,2016-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,1113160,2026-07-01
foreign_assets,Foreign assets,國外資產,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,13532601,2026-07-01
loans,Loans,放款,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,1476852,2026-07-01
portfolio_nonfin_total,"Portfolio investments in entities excluding financial institutions, subtotal",對非金融機構證券投資 計,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,3973874,2026-07-01
portfolio_nonfin_govt,Government agencies,政府機關,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,1724651,2026-07-01
portfolio_nonfin_govt_ent,Government enterprises,公營事業,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,128723,2026-07-01
portfolio_nonfin_private,Private enterprises,民營企業,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,2120500,2026-07-01
portfolio_fin,Portfolio investments in financial institutions,對金融機構證券投資,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,761169,2026-07-01
real_estate,Real estate investments,不動產投資,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,1018364,2026-07-01
claims_on_fin,Claims on financial institutions,對金融機構債權,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,934271,2026-07-01
cash_in_vaults,Cash in vaults,庫存現金,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,317,2026-07-01
other_assets,Other assets,其他資產,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,2764329,2026-07-01
total_assets,Total assets = total liabilities and equity,資產合計,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,24461777,2026-07-01
life_and_ic_liabilities,Life insurance and investment contract liabilities,人壽保險與投資合約負債,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,20760292,2026-07-01
other_liabilities,Other liabilities,其他負債,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,2337494,2026-07-01
equity,Equity,權益,2017-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,1363991,2026-07-01
foreign_assets,Foreign assets,國外資產,2018-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,15597241,2026-07-01
loans,Loans,放款,2018-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,1468548,2026-07-01
portfolio_nonfin_total,"Portfolio investments in entities excluding financial institutions, subtotal",對非金融機構證券投資 計,2018-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,3889983,2026-07-01
portfolio_nonfin_govt,Government agencies,政府機關,2018-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,1389912,2026-07-01
portfolio_nonfin_govt_ent,Government enterprises,公營事業,2018-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,113687,2026-07-01
portfolio_nonfin_private,Private enterprises,民營企業,2018-12-01,2026-09-04T00:19:01.524875+00:00,"CBC Financial Statistics Monthly, appendix table 8 (life insurance companies' balance sheet)",https://www.cbc.gov.tw/public/data/EBOOKXLS/065_EF67_A4L.csv,2386384,2026-07-01
