basis,buffer_absorbable_appreciation_pct,effective_hedge_ratio_memo,flows_are_ytd,foreign_investments,fx_buffer_total,fx_combined_effect,fx_reserve_change,fx_reserve_change_basis,fx_reserve_fixed,fx_reserve_total,fx_reserve_volatility,hedge_cost_cs_annual_pct,hedge_cost_ndf_annual_pct,hedge_cs_share_note,hedge_ndf_share_note,hedge_ratio_regulatory,hedging_swap_cost,net_fx_exposure,obs_month,one_off_provision,owners_equity,pretax_profit_life,pretax_profit_nonlife,pretax_profit_total,regulatory_fx_exposure,reported_by,reporting_channel,retrieved_at,source_doc,source_id,source_note,source_quote,source_url,special_reserve_fx_fixed,special_reserve_fx_strengthening,usdtwd_month_end,vintage
press_reported,,,True,,,,,,,,,,,,,0.66,,,2024-04-01,,,,,,,保險局副局長蔡火炎,briefing_press,2026-09-03T23:57:16.540592+00:00,鉅亨網: 壽險業4月稅前賺472億元攀9個月新高 保險局揭2原因助攻 | 鉅亨網 - 台股新聞,5577871,"Ratio stated to whole-percent precision only ('66%'), unlike the two-decimal figures reported from 2025 on; treat as rounded when charting. The YTD flows in the same sentence are the release's own figures and are already held in channel `release` for this month.",保險局副局長蔡火炎說明，壽險業累計兌換利益達 7885 億元，由於海外投資部位有 66% 的避險比率，因而產生的評價損失為 5871 億元，累積避險工具換匯成本 1379 億元，外匯價格變動準備金淨提存 1113 億元。,https://news.cnyes.com/news/id/5577871,,,,2024-05-28
press_reported,,,True,23000000,,,,,,,,,,,,0.6639,,,2024-12-01,,,,,,15600000,保險局副局長蔡火炎,briefing_press,2026-09-03T23:57:16.540592+00:00,經濟日報: 壽險業2025年底外價金飆新高　避險比率降至50%新低 | 金融脈動 | 金融 | 經濟日報,9292493,Year-end anchor stated retrospectively at the January 2026 briefing. Exposure as described deducts FX-policy liabilities only; the notice's further deductions (unhedged non-FVTPL equities and funds) are not mentioned.,壽險業2024年底國外投資金額23兆元，扣除外幣保單後的曝險金額為15.6兆元，2024年底避險比率為66.39%,https://money.udn.com/money/story/5613/9292493,,,,2026-01-27
press_reported,,,True,,,,,,,164800,,,,,,0.6307,,,2025-04-01,,,,,,,金管會統計（未具名）,briefing_press,2026-09-03T23:57:16.540592+00:00,鉅亨網: 台幣強升！壽險業外匯準備金沖抵1196億元創高 新增3家申請新制 | 鉅亨網 - 台股新聞,6000672,"Ratio rose month-on-month as insurers re-hedged into the April 2025 TWD surge. Reserve balance 1,648億 is the accumulated balance at 4月底 and is a cross-check against the release for the same month.",在完全不避險下，壽險業兌換利益為 -3221 億元，有 63.07% 避險比率後，避險部位產生評價利益 2452 億元，累積避險交易的換匯成本是 970 億元，外匯價格準備金淨變動是淨沖抵 556 億元，總計匯兌淨影響數為 -1183 億元。今年截至 4 月底，新台幣兌美元匯率相對去年底升值幅度為 2.39%，壽險業外匯價格變動準備金累積餘額為 1648 億元，較去年底減少 548 億元。,https://news.cnyes.com/news/id/6000672,,,,2025-05-29
press_reported,,,True,,,,,,,372600,,2.55,,,,0.6225,,,2025-08-01,,,,,,,金管會統計（未具名）,briefing_press,2026-09-03T23:57:16.540592+00:00,經濟日報: 能扛住匯損了！外匯準備金攀史上巔峰 壽險大降避險比率 | 金融脈動 | 金融 | 經濟日報,9039413,"Reserve balance agrees with the August 2025 release (3,726億). NDF cost quoted only as '高掛4%'; not stored.",外價金充裕下，壽險業大幅調降避險操作，避險比率下滑至62.25%…8月底壽險業避險大宗的CS（換匯交易）年化成本為2.55%,https://money.udn.com/money/story/5613/9039413,,,,2025-09-30
press_reported,,,True,,,,,,,384500,,,,,,0.5855,,,2025-10-01,,,,,,,金管會保險局,briefing_press,2026-09-03T23:57:16.540592+00:00,經濟日報: 台幣回貶加外價金助陣  壽險業10月避險比率降至58.55%的5年新低 | 金融脈動 | 金融 | 經濟日報,9167271,"Reserve balance agrees with the October 2025 release (3,845億). The article states the briefing series starts in ROC 109 (2020).","10月的避險比率58.55%，不僅比上月減少，亦為109年以來最低；而截至今年10月底為止，壽險業外匯價格變動準備金的累積餘額為3,845億元",https://money.udn.com/money/story/5613/9167271,,,,2025-11-27
press_reported,,,True,22800000,,,,,,613700,,,,>70%,25–30%,0.5023,,7700000,2025-12-01,82337,,,,,15400000,保險局副局長蔡火炎,briefing_press,2026-09-03T23:57:16.540592+00:00,鉅亨網: 告別高成本工具！壽險業去年底避險比率掉到50% 外價金6137億元續創新高 | 鉅亨網 - 台股新聞,6323663,"Reserve balance agrees with the December 2025 release (6,137億). Net exposure of 7.7兆 is an approximate figure given by the Bureau's specialist on 12 Feb 2026; used for the identity check denominator × (1 − ratio) ≈ net exposure. Share notes are bounds as spoken, not figures. Also: https://money.udn.com/money/story/5613/9414972 (2026-03-31); https://news.cnyes.com/news/id/6343469 (2026-02-12)",截至去年底，壽險業國外投資金額達 22.8 兆元，扣除外幣保單後的曝險金額為 15.4 兆元，避險比率降至約 5 成…整體壽險業避險比例…大幅降至 50.23%…目前 CS(換匯交易) 占比仍高於 7 成，而 NDF 占比已降至 25% 到 30% 之間…總計提存金額達 823.37 億元，因此推升去年底壽險業外價金累積餘額來到 6137 億元 ‖ 截至2025年底提存的特別盈餘公積2897億元 ‖ 目前整體壽險業的淨曝險部位約新台幣 7.7 兆元，現有 6137 億元全數轉入 P,https://news.cnyes.com/news/id/6323663,289700,,,2026-01-27
press_reported,,,True,,,,,,,,,2.03,0.74,>75%,<25%,0.47,,,2026-01-01,,,,,,,保險局副局長蔡火炎,briefing_press,2026-09-03T23:57:16.540592+00:00,經濟日報: 壽險業1月避險比率首見4字頭創新低 | 金融脈動 | 金融 | 經濟日報,9371869,No reserve balance was reported for January. Also: https://money.udn.com/money/story/5613/9371789 (2026-03-10),壽險業2025年12月底外匯避險比率為50.23%，至今年1月避險比率降至47%…今年1月CS比重則高於75%，NDF比重低於25% ‖ 1月底CS年化成本率約2.03%，月減0.1個百分點；NDF年化成本率0.74%，月增0.45個百分點,https://money.udn.com/money/story/5613/9371869,,,,2026-03-10
press_reported,,,True,,915600,,,,10000,625900,615900,1.96,1.01,>75%,<25%,0.451,,,2026-02-01,,,,,,,保險局副局長蔡火炎,briefing_press,2026-09-03T23:57:16.540592+00:00,經濟日報: 壽險避險比率45.1%新低 金管會：逾9000億可抵禦風險 | 金融脈動 | 金融 | 經濟日報,9414972,"The April briefing restated the February reserve balance as 6,277億 (cnyes 6435712: '較 2 月修正後數字 (6277 億元)'). Kept as first reported; the revision is recorded here, not applied. Also: https://money.udn.com/money/story/5613/9414846 (2026-03-31)",壽險業2月底外匯價格變動準備金餘額為6259億元…特別盈餘公積2897億元，兩者加總為9156億元…以2月底數字來看，P跟Q分別為6159億元與100億元，X跟Y尚無相關數字 ‖ 2月底CS年化成本率1.96%，月減0.07個百分點；NDF年化成本率則升至1.01%，月增0.27個百分點,https://money.udn.com/money/story/5613/9414972,289700,,,2026-03-31
press_reported,10.6,0.5575,True,,911100,,,,20800,621400,600600,,,>75%,<25%,0.4515,,8607300,2026-03-01,,,,,,,保險局副局長蔡火炎,briefing_press,2026-09-03T23:57:16.540592+00:00,鉅亨網: 壽險業外價金水庫衝9111億元 金管會：可抵禦台幣升值10.6%衝擊 | 鉅亨網 - 台股新聞,6435712,Also: https://money.udn.com/money/story/5613/9470127 (2026-04-28),截至今年 3 月底，壽險業國外投資之避險比率為 45.15%…外匯價格變動準備金 (負債項下) 合計 6214 億元，分別為 P(波動準備金)6006 億元與 Q(固定準備金) 208 億元…特別盈餘公積 (權益項下) 合計為 2897 億元，皆為 X…Y…目前為 0 元…3 月底壽險業國外投資淨曝險部位為 8 兆 6073 億元…可緩衝新台幣升值幅度達 10.6% ‖ 3月底壽險業避險比率為45.15%，但若納入外價金與特別盈餘公積，在全數匯回情境下，實質避險比率約55.75%,https://news.cnyes.com/news/id/6435712,289700,0,,2026-04-28
press_reported,11.1,0.5541,True,,969800,,,,31500,680100,648600,,,>75%,<25%,0.4431,,8702400,2026-04-01,,,,,,,保險局副局長陳清源,briefing_press,2026-09-03T23:57:16.540592+00:00,中央社（華視轉載）: 金管會：壽險外匯準備金　可抵禦新台幣升值3.51元 - 財經 - 華視新聞網,202605283037334,Also: https://money.udn.com/money/story/5613/9532002 (2026-05-28),壽險業4月底外匯避險比率為44.31%…4月底外匯價格變動準備金餘額為6801億元，其中P為6486億元，Q為315億元；另外2桶金中，X為2897億元，Y…目前為0…合計達9698億元…壽險業4月底國外投資淨曝險為8兆7024億元…可以緩衝新台幣升值幅度11.1%，以4月底新台幣收盤價31.648元 ‖ 4月底壽險業避險比率為44.31%，但若納入外價金與特別盈餘公積，在全數匯回情境下，實質避險比率是拉高到55.41%,https://news.cts.com.tw/cna/money/202605/202605283037334.html,289700,0,31.648,2026-05-28
