basis,flows_are_ytd,foreign_investments,fx_combined_effect,fx_gain_loss,fx_reserve_change,fx_reserve_change_basis,fx_reserve_net_change,fx_reserve_total,hedging_gain_loss,hedging_instrument_gain_loss,hedging_split_available,hedging_swap_cost,net_foreign_investment_income,obs_month,one_off_provision,owners_equity,owners_equity_nonlife,owners_equity_total,pretax_profit_life,pretax_profit_nonlife,pretax_profit_total,reporting_channel,retrieved_at,source_doc,source_id,source_note,source_url,total_assets,twd_change_ytd_pct,vintage
disclosed,True,,-80300,63700,8600,prev_month,-14700,42800,-129300,,False,,,2018-05-01,,1350000,117700,1467700,44700,7700,52400,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 107年5月保險業損益、淨值及匯兌損益情形,201806280005,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=201806280005&dtable=News",,-0.44,2018-06-28
disclosed,True,,-98400,223800,2300,prev_month,-17100,45100,-305100,,False,,,2018-06-01,,1370300,117100,1487400,63700,9300,73000,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 107年6月保險業損益、淨值及匯兌損益情形,201807260005,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=201807260005&dtable=News",,-2.18,2018-07-26
disclosed,True,,-123300,248500,-3300,prev_month,-13700,41800,-358100,,False,,,2018-07-01,,1446200,119100,1565300,108800,11300,120100,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 107年7月保險業損益、淨值及匯兌損益情形,201808280005,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=201808280005&dtable=News",,-2.57,2018-08-28
disclosed,True,,-139800,283700,5500,prev_month,-19200,47300,-404300,,False,,,2018-08-01,,1451400,120200,1571600,116200,12800,129000,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 107年8月保險業損益、淨值及匯兌損益情形,201809270005,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=201809270005&dtable=News",,-2.96,2018-09-27
disclosed,True,,-165700,218800,-4500,prev_month,-14800,42800,-369700,,False,,,2018-09-01,,1384300,120200,1504500,114900,13600,128500,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 107年9月保險業損益、淨值及匯兌損益情形,201810250002,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=201810250002&dtable=News",,-2.36,2018-10-25
disclosed,True,,-178200,354300,10200,prev_month,-25000,53000,-507500,,False,,,2018-10-01,,1118200,116900,1235100,117400,14000,131400,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 107年10月保險業損益、淨值及匯兌損益情形,201811220001,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=201811220001&dtable=News",,-3.75,2018-11-22
disclosed,True,,-200800,318900,700,prev_month,-25600,53700,-494100,,False,,,2018-11-01,,1119100,117900,1237000,108700,14400,123100,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 107年11月保險業損益、淨值及匯兌損益情形,201812270007,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=201812270007&dtable=News",,-3.36,2018-12-27
disclosed,True,,-230900,281000,2300,prev_month,-27900,56000,-484000,,False,,,2018-12-01,,1090100,117500,1207600,84200,14900,99100,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 107年12月保險業損益、淨值及匯兌損益情形,201901240001,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=201901240001&dtable=News",,-2.97,2019-01-24
disclosed,True,,-22600,15400,5500,prev_month,-5500,61400,-32500,,False,,,2019-01-01,,1262200,120500,1382700,4600,1100,5700,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 108年1月保險業損益、淨值及匯兌損益情形,201902260009,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=201902260009&dtable=News",,-0.02,2019-02-26
disclosed,True,,-41100,27600,4400,prev_month,-9800,65800,-58900,,False,,,2019-02-01,,1358400,124000,1482400,17600,3000,20600,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 108年2月保險業損益、淨值及匯兌損益情形,201903260004,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=201903260004&dtable=News",,-0.14,2019-03-26
disclosed,True,,-83000,66700,4800,prev_month,-13900,69900,-135800,,False,,,2019-04-01,,1572000,125800,1697800,47600,5800,53400,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 108年4月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,201905230002,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=201905230002&dtable=News",,-0.56,2019-05-23
