obs_month,currency,twd_per_unit
1987-05,AUD,22.5
1987-06,AUD,22.405
1987-07,AUD,21.57
1987-08,AUD,21.435
1987-09,AUD,21.655
1987-10,AUD,20.22
1987-11,AUD,20.79
1987-12,AUD,20.59
1988-01,AUD,20.42
1988-02,AUD,20.61
1988-03,AUD,21.115
1988-04,AUD,21.715
1988-05,AUD,22.96
1988-06,AUD,22.925
1988-07,AUD,22.945
1988-08,AUD,23.22
1988-09,AUD,22.635
1988-10,AUD,23.47
1988-11,AUD,24.745
1988-12,AUD,24.07
1989-01,AUD,24.505
1989-02,AUD,21.975
1989-03,AUD,22.475
1989-04,AUD,20.265
1989-05,AUD,19.495
1989-06,AUD,19.56
1989-07,AUD,19.33
1989-08,AUD,19.64
1989-09,AUD,19.87
1989-10,AUD,20.175
1989-11,AUD,20.38
1989-12,AUD,20.635
1990-01,AUD,20.1
1990-02,AUD,19.89
1990-03,AUD,19.965
1990-04,AUD,19.805
1990-05,AUD,21.19
1990-06,AUD,21.58
1990-07,AUD,21.51
1990-08,AUD,22.28
1990-09,AUD,22.645
1990-10,AUD,21.415
1990-11,AUD,21.095
1990-12,AUD,20.94
1991-01,AUD,21.26
1991-02,AUD,21.315
1991-03,AUD,21.25
1991-04,AUD,21.405
1991-05,AUD,20.65
1991-06,AUD,20.79
1991-07,AUD,20.89
1991-08,AUD,20.945
1991-09,AUD,21.21
1991-10,AUD,20.77
1991-11,AUD,20.2
1991-12,AUD,19.56
1992-01,AUD,18.765
1992-02,AUD,18.915
1992-03,AUD,19.605
1992-04,AUD,19.145
1992-05,AUD,18.845
1992-06,AUD,18.465
1992-07,AUD,18.58
1992-08,AUD,17.905
1992-09,AUD,17.975
1992-10,AUD,17.59
1992-11,AUD,17.41
1992-12,AUD,17.49
1993-01,AUD,17.33
1993-02,AUD,17.91
1993-03,AUD,18.605
1993-04,AUD,18.37
1993-05,AUD,17.88
1993-06,AUD,17.685
1993-07,AUD,18.56
1993-08,AUD,18.095
1993-09,AUD,17.44
1993-10,AUD,17.905
1993-11,AUD,17.715
1993-12,AUD,18.03
1994-01,AUD,18.825
1994-02,AUD,18.99
1994-03,AUD,18.44
1994-04,AUD,18.89
1994-05,AUD,19.925
1994-06,AUD,19.59
1994-07,AUD,19.68
1994-08,AUD,19.49
1994-09,AUD,19.365
1994-10,AUD,19.335
1994-11,AUD,20.155
1994-12,AUD,20.365
1995-01,AUD,19.955
1995-02,AUD,19.465
1995-03,AUD,18.97
1995-04,AUD,18.485
1995-05,AUD,18.43
1995-06,AUD,18.41
1995-07,AUD,19.555
1995-08,AUD,20.82
1995-09,AUD,20.48
1995-10,AUD,20.45
1995-11,AUD,20.47
1995-12,AUD,20.28
1996-01,AUD,20.46
1996-02,AUD,20.975
1996-03,AUD,21.355
1996-04,AUD,21.4
1996-05,AUD,22.17
1996-06,AUD,21.67
1996-07,AUD,21.69
1996-08,AUD,21.7
1996-09,AUD,21.78
1996-10,AUD,21.8
1996-11,AUD,22.44
1996-12,AUD,21.92
1997-01,AUD,20.99
1997-02,AUD,21.32
1997-03,AUD,21.61
1997-04,AUD,21.64
1997-05,AUD,21.19
1997-06,AUD,20.74
1997-07,AUD,21.26
1997-08,AUD,21.01
1997-09,AUD,20.61
1997-10,AUD,21.585
1997-11,AUD,21.895
1997-12,AUD,21.28
1998-01,AUD,22.785
1998-02,AUD,21.53
1998-03,AUD,21.82
1998-04,AUD,21.46
1998-05,AUD,21.17
1998-06,AUD,21.18
1998-07,AUD,21.03
1998-08,AUD,19.78
1998-09,AUD,20.45
1998-10,AUD,20.23
1998-11,AUD,20.5
1998-12,AUD,19.81
1999-01,AUD,20.38
1999-02,AUD,20.62
1999-03,AUD,20.9
1999-04,AUD,21.55
1999-05,AUD,21.25
1999-06,AUD,21.34
1999-07,AUD,20.93
1999-08,AUD,20.32
1999-09,AUD,20.76
1999-10,AUD,20.21
1999-11,AUD,20.15
1999-12,AUD,20.46
2000-01,AUD,19.57
2000-02,AUD,18.87
2000-03,AUD,18.68
2000-04,AUD,17.9
2000-05,AUD,17.75
2000-06,AUD,18.47
2000-07,AUD,18.1
2000-08,AUD,17.85
2000-09,AUD,17.0
2000-10,AUD,16.64
2000-11,AUD,17.32
2000-12,AUD,18.45
2001-01,AUD,17.68
2001-02,AUD,16.92
2001-03,AUD,16.1
2001-04,AUD,16.73
2001-05,AUD,17.35
2001-06,AUD,17.47
2001-07,AUD,17.205
2001-08,AUD,18.42
2001-09,AUD,17.05
2001-10,AUD,17.45
2001-11,AUD,17.91
2001-12,AUD,17.9
2002-01,AUD,17.73
2002-02,AUD,18.05
2002-03,AUD,18.68
2002-04,AUD,18.73
2002-05,AUD,19.4
2002-06,AUD,18.98
2002-07,AUD,18.48
2002-08,AUD,18.97
2002-09,AUD,19.04
2002-10,AUD,19.24
2002-11,AUD,19.51
2002-12,AUD,19.69
2003-01,AUD,20.45
2003-02,AUD,21.12
2003-03,AUD,20.99
2003-04,AUD,21.74
2003-05,AUD,22.69
2003-06,AUD,23.1
