obs_month,usdtwd
2012-01,29.6200
2012-02,29.4200
2012-03,29.5300
2012-04,29.2320
2012-05,29.8600
2012-06,29.9000
2012-07,30.0100
2012-08,29.9660
2012-09,29.3420
2012-10,29.2600
2012-11,29.1160
2012-12,29.1360
2013-01,29.5820
2013-02,29.7050
2013-03,29.8750
2013-04,29.6160
2013-05,30.0600
2013-06,30.1200
2013-07,30.1200
2013-08,29.9830
2013-09,29.6700
2013-10,29.4550
2013-11,29.6790
2013-12,29.9500
2014-01,30.3760
2014-02,30.3550
2014-03,30.5100
2014-04,30.2580
2014-05,30.0500
2014-06,29.9150
2014-07,30.0400
2014-08,29.9700
2014-09,30.4360
2014-10,30.4780
2014-11,31.0390
2014-12,31.7180
2015-01,31.5550
2015-02,31.5030
2015-03,31.4010
2015-04,30.7520
2015-05,30.8710
2015-06,31.0700
2015-07,31.6820
2015-08,32.8100
2015-09,33.1280
2015-10,32.8020
2015-11,32.8300
2015-12,33.0660
2016-01,33.6500
2016-02,33.4920
2016-03,32.2820
2016-04,32.2810
2016-05,32.6300
2016-06,32.2860
2016-07,31.9260
2016-08,31.7260
2016-09,31.3660
2016-10,31.5800
2016-11,31.8900
2016-12,32.2790
2017-01,31.3600
2017-02,30.6500
2017-03,30.3360
2017-04,30.2180
2017-05,30.1020
2017-06,30.4360
2017-07,30.2270
2017-08,30.2030
2017-09,30.3050
2017-10,30.1700
2017-11,30.0100
2017-12,29.8480
2018-01,29.1500
2018-02,29.2300
2018-03,29.1200
2018-04,29.6050
2018-05,29.9800
2018-06,30.5000
2018-07,30.6140
2018-08,30.7310
2018-09,30.5510
2018-10,30.9680
2018-11,30.8500
2018-12,30.7330
2019-01,30.7400
2019-02,30.7750
2019-03,30.8250
2019-04,30.9050
2019-05,31.6120
2019-06,31.0720
2019-07,31.0960
2019-08,31.4100
2019-09,31.0420
2019-10,30.4620
2019-11,30.5130
2019-12,30.1060
2020-01,30.2500
2020-02,30.3300
2020-03,30.2540
2020-04,29.8020
2020-05,30.0320
2020-06,29.6600
2020-07,29.5020
2020-08,29.5260
2020-09,29.1260
2020-10,28.9250
2020-11,28.8240
2020-12,28.5080
2021-01,28.4120
2021-02,28.3060
2021-03,28.5310
2021-04,27.9500
2021-05,27.6570
2021-06,27.8700
2021-07,27.9660
2021-08,27.7720
2021-09,27.8660
2021-10,27.8200
2021-11,27.8100
2021-12,27.6900
2022-01,27.8280
2022-02,28.0210
2022-03,28.6220
2022-04,29.4800
2022-05,29.0650
2022-06,29.7260
2022-07,29.9380
2022-08,30.4350
2022-09,31.7430
2022-10,32.2100
2022-11,30.9020
2022-12,30.7080
2023-01,30.0520
2023-02,30.4800
2023-03,30.4540
2023-04,30.7400
2023-05,30.7660
2023-06,31.1350
2023-07,31.4300
2023-08,31.8540
2023-09,32.2680
2023-10,32.4190
2023-11,31.2600
2023-12,30.7350
2024-01,31.3010
2024-02,31.5770
2024-03,31.9900
2024-04,32.5420
2024-05,32.4200
2024-06,32.4500
2024-07,32.8360
2024-08,31.9400
2024-09,31.6510
2024-10,32.0310
2024-11,32.4570
2024-12,32.7810
2025-01,32.6820
2025-02,32.8200
2025-03,33.1820
2025-04,32.0170
2025-05,29.9290
2025-06,29.9020
2025-07,29.9160
2025-08,30.6050
2025-09,30.4690
2025-10,30.7490
2025-11,31.4080
2025-12,31.4380
2026-01,31.4680
2026-02,31.2510
2026-03,31.9800
2026-04,31.6480
2026-05,31.3840
2026-06,31.8370
2026-07,32.2920
