Two measures of 'hedged', weighted together.

  quarter        mixed   cov   n  deck-only   cov   n  difference
  2017-12-31     61.6%   54%   4      47.4%   35%   2     -14.3pp
  2018-03-31     60.3%   53%   4      47.2%   35%   2     -13.1pp
  2018-06-30     59.1%   53%   4      47.4%   35%   2     -11.7pp
  2018-09-30     59.9%   53%   4      49.3%   35%   2     -10.6pp
  2018-12-31     57.4%   53%   4      46.4%   35%   2     -11.0pp
  2019-03-31     53.1%   59%   4      42.5%   42%   3     -10.7pp
  2019-06-30     50.3%   48%   3      40.7%   31%   2      -9.5pp
  2019-09-30     50.9%   67%   5      42.8%   31%   2      -8.1pp
  2019-12-31     50.2%   67%   5      43.4%   31%   2      -6.8pp
  2020-03-31     50.0%   67%   5      43.6%   31%   2      -6.3pp
  2020-06-30     50.7%   68%   6      44.9%   31%   2      -5.7pp
  2020-09-30     49.5%   69%   6      45.1%   31%   2      -4.4pp
  2020-12-31     49.9%   80%   7      46.3%   42%   3      -3.6pp
  2021-03-31     49.3%   80%   7      47.0%   43%   3      -2.3pp
  2021-06-30     48.7%   80%   7      46.2%   42%   3      -2.5pp
  2021-09-30     47.9%   80%   7      44.9%   42%   3      -3.0pp
  2021-12-31     48.0%   81%   8      46.1%   42%   3      -1.9pp
  2022-03-31     48.4%   88%   9      46.6%   49%   4      -1.8pp
  2022-06-30     48.3%   88%   9      45.1%   49%   4      -3.2pp
  2022-09-30     47.0%   88%   9      44.1%   49%   4      -2.9pp
  2022-12-31     45.9%   88%   9      41.5%   50%   4      -4.4pp
  2023-03-31     45.1%   77%   8      41.8%   38%   3      -3.2pp
  2023-06-30     45.2%   77%   8      43.6%   38%   3      -1.6pp
  2023-09-30     45.1%   77%   8      44.6%   38%   3      -0.5pp
  2023-12-31     47.9%   77%   8      45.6%   38%   3      -2.4pp
  2024-03-31     45.1%   76%   7      41.4%   38%   3      -3.8pp
  2024-06-30     42.8%   76%   7      38.5%   38%   3      -4.3pp
  2024-09-30     48.5%   76%   7      44.3%   38%   3      -4.2pp
  2024-12-31     46.9%   76%   7      46.3%   38%   3      -0.6pp
  2025-03-31     46.2%   76%   7      44.4%   38%   3      -1.8pp
  2025-06-30     48.9%   76%   7      40.8%   38%   3      -8.1pp
  2025-09-30     42.4%   86%   8      43.4%   49%   4      +1.0pp
  2025-12-31     34.8%   86%   8      36.1%   49%   4      +1.2pp
  2026-03-31     32.0%   81%   7      32.6%   48%   4      +0.6pp
  2026-06-30     30.7%   81%   7      30.0%   48%   4      -0.7pp

  mean -4.8pp over 35 quarters, from -14.3 to +1.2

  peak to trough, mixed:     61.6% -> 30.7%   (-30.9pp)
  peak to trough, deck-only: 47.4% -> 30.0%   (-17.3pp)

  The gap is widest where the deck-publishing firms are thinnest.
  Read the difference as the size of the open question in 4.72,
  not as an error bar: neither series is known to be the wrong one.
